folio;depto;area;s09a_01;s09a_01a;s09a_02;s09a_02a;s09a_03;s09a_03a;s09a_04;s09a_04a;s09a_05;s09a_05a;s09a_06;s09a_06a;s09a_07;s09a_07a;s09a_08;s09a_08a;s09a_09;s09a_09a;s09a_10;s09a_11;s09a_11a;s09a_12;s09a_12a;s09a_13;s09a_13a;s09a_14;s09a_14a;s09a_15;s09a_15a;s09a_16;s09a_16a;s09a_17;s09a_17a;upm;estrato;factor
141-03570358991-D-0351;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-03570358991-D;21;315,442521781534
141-03570358991-D-0421;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03570358991-D;21;315,442521781534
141-03570358991-D-0481;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03570358991-D;21;315,442521781534
141-03570358991-D-0551;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03570358991-D;21;315,442521781534
141-03570358991-D-0621;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03570358991-D;21;315,442521781534
141-03570358991-D-0681;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03570358991-D;21;315,442521781534
141-03570358991-D-0751;Chuquisaca;Rural;1. Si;1. Si;1. Si;1. Si;1. Si;2. No;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-03570358991-D;21;315,442521781534
141-03931603983-D-0011;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0051;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0091;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0131;Chuquisaca;Rural;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0171;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0211;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0251;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0291;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0331;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0371;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0411;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-03931603983-D;21;337,84361054139
141-03931603983-D-0451;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-03931603983-D;21;337,84361054139
141-04412847196-D-0011;Chuquisaca;Rural;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0031;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0051;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0081;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0101;Chuquisaca;Rural;2. No; ;2. No; ;1. Si;2. No;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;2. No;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0121;Chuquisaca;Rural;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0151;Chuquisaca;Rural;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0171;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0191;Chuquisaca;Rural;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0221;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No;1. Si;2. No;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0241;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141-04412847196-D;21;49,4785145934731
141-04412847196-D-0261;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;141-04412847196-D;21;49,4785145934731
142-03311397376-D-0011;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0041;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0061;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0091;Chuquisaca;Rural;1. Si;1. Si;1. Si;2. No;1. Si;1. Si;1. Si;1. Si;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0111;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0131;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0161;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0181;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0211;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0231;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0251;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03311397376-D;22;124,854665153741
142-03311397376-D-0281;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03311397376-D;22;124,854665153741
142-03615752542-D-0081;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0161;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0241;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0331;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0411;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0491;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0571;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0661;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0741;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0821;Chuquisaca;Rural;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0901;Chuquisaca;Rural;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;142-03615752542-D;22;248,632996987192
142-03615752542-D-0991;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;2. No;2. No; ;2. No; ;1. Si;2. No;1. Si;1. Si;1. Si;2. No;2. No; ;1. Si;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-03615752542-D;22;248,632996987192
142-04054680985-D-0021;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0091;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0161;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0221;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;1. Si;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0291;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0351;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0421;Chuquisaca;Rural;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0481;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0551;Chuquisaca;Rural;1. Si;2. No;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0621;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0681;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04054680985-D;22;906,990211231777
142-04054680985-D-0751;Chuquisaca;Rural;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No;2. No; ;2. No; ;142-04054680985-D;22;906,990211231777
142-04158476057-D-0021;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-0111;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-0201;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-0291;Chuquisaca;Rural;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-0381;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-0471;Chuquisaca;Rural;1. Si;1. Si;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-0561;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-0651;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-0741;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-0841;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-0931;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04158476057-D-1021;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04158476057-D;22;750,850124234914
142-04387261837-D-0031;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;2. No;1. Si;2. No;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0061;Chuquisaca;Rural;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0091;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0121;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0141;Chuquisaca;Rural;1. Si;2. No;2. No; ;2. No; ;1. Si;1. Si;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0171;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0201;Chuquisaca;Rural;2. No; ;2. No; ;1. Si;2. No;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0231;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0261;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0291;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0311;Chuquisaca;Rural;1. Si;2. No;2. No; ;1. Si;2. No;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04387261837-D;22;124,202341929323
142-04387261837-D-0341;Chuquisaca;Rural;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;142-04387261837-D;22;124,202341929323
143-03286412787-A-0021;Chuquisaca;Rural;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;143-03286412787-A;23;248,061832695556
143-03286412787-A-0031;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;143-03286412787-A;23;248,061832695556
143-03286412787-A-0051;Chuquisaca;Rural;2. No; ;2. No; ;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;143-03286412787-A;23;248,061832695556
