folio;depto;area;s09a_01;s09a_01a;s09a_02;s09a_02a;s09a_03;s09a_03a;s09a_04;s09a_04a;s09a_05;s09a_05a;s09a_06;s09a_06a;s09a_07;s09a_07a;s09a_08;s09a_08a;s09a_09;s09a_09a;s09a_10;s09a_11;s09a_11a;s09a_12;s09a_12a;s09a_13;s09a_13a;s09a_14;s09a_14a;s09a_15;s09a_15a;s09a_16;s09a_16a;s09a_17;s09a_17a;upm;estrato;factor
111-04178102688-A-0181;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;208,595891289014
111-04178102688-A-0211;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;208,595891289014
111-04178102688-A-0231;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04178102688-A;11;208,595891289014
111-04178102688-A-0251;Chuquisaca;Urbana;1. Si;2. No;2. No; ;1. Si;2. No;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04178102688-A;11;208,595891289014
111-04178102688-A-0281;Chuquisaca;Urbana;2. No; ;1. Si;1. Si;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;3. NO SABE/NO RESPONDE; ;3. NO SABE/NO RESPONDE; ;1. Si;2. No;2. No; ;111-04178102688-A;11;208,595891289014
111-04182242505-A-0251;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04182242505-A;11;112,14481302842
111-04182242505-A-0291;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04182242505-A;11;112,14481302842
111-04182242505-A-0331;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04182242505-A;11;112,14481302842
111-04182242505-A-0371;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04182242505-A;11;112,14481302842
111-04182242505-A-0411;Chuquisaca;Urbana;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04182242505-A;11;112,14481302842
111-04182242505-A-0451;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04182242505-A;11;112,14481302842
111-04182242505-A-0491;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04182242505-A;11;112,14481302842
111-04188770035-A-0011;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0041;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0061;Chuquisaca;Urbana;2. No; ;3. NO SABE/NO RESPONDE; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0091;Chuquisaca;Urbana;1. Si;2. No;1. Si;2. No;1. Si;1. Si;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0111;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0131;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0161;Chuquisaca;Urbana;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0181;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0211;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0231;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;1. Si;1. Si;2. No; ;1. Si;2. No;1. Si;1. Si;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0251;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04188770035-A-0281;Chuquisaca;Urbana;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;2. No;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04188770035-A;11;146,01712390231
111-04195800632-A-0041;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0081;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0131;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0171;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0211;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0251;Chuquisaca;Urbana;1. Si;2. No;2. No; ;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0291;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0331;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;2. No; ;2. No; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0371;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0411;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0451;Chuquisaca;Urbana;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04195800632-A;11;137,065882590291
111-04195800632-A-0491;Chuquisaca;Urbana;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04195800632-A;11;137,065882590291
112-00415940829-A-0011;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;189,710454789638
112-00415940829-A-0031;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;112-00415940829-A;12;189,710454789638
112-00415940829-A-0051;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;112-00415940829-A;12;189,710454789638
112-00415940829-A-0071;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;112-00415940829-A;12;189,710454789638
112-00415940829-A-0091;Chuquisaca;Urbana;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;112-00415940829-A;12;189,710454789638
