folio;depto;area;s10b_10_01;s10b_10_02;s10b_10_03;s10b_10_04;s10b_10_05;s10b_10_06;s10b_10_07;s10b_10_08;s10b_10_09;s10b_10_10;s10b_10_11;s10b_10_12;s10b_10_13;s10b_10_14;s10b_10_15;s10b_10_16;s10b_10_17;s10b_10_18;s10b_10_19;s10b_10_20;s10b_10_21;s10b_10_22;s10b_10_23;s10b_10_24;s10b_10_25;s10b_10_26;s10b_10_27;s10b_10_28;s10b_10_29;s10b_10_30;s10b_10_31;s10b_10_32;s10b_11_01;s10b_11_02;s10b_11_03;s10b_11_04;s10b_11_05;s10b_11_06;s10b_11_07;s10b_11_08;s10b_12_01;s10b_12_02;s10b_12_03;s10b_13_01;s10b_13_02;s10b_13_03;s10b_13_04;s10b_13_05;s10b_13_06;s10b_13_07;s10b_13_08;s10b_13_09;s10b_13_10;s10b_13_11;s10b_13_12;s10b_13_13;s10b_13_14;upm;estrato;factor
261-06008316363-A-0031;La Paz;Urbana;30;35;0;0;50;20;25;0;20;0;0;0;20;0;0;0;0;0;0;0;25;0;0;0;0;0;0;100;0;50;0;0;0;100;50;50;0;0;0;0;25;0;40;0;0;0;0;0;130;0;0;0;0;0;0;0;450;261-06008316363-A;11;269,667176786102
261-06008316363-A-0041;La Paz;Urbana;20;250;0;0;0;0;20;0;25;0;400;0;50;50;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;20;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;261-06008316363-A;11;269,667176786102
261-06008316363-A-0061;La Paz;Urbana;40;20;0;0;0;0;20;20;20;0;30;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;300;2000;240;0;0;0;0;0;0;261-06008316363-A;11;269,667176786102
261-06008316363-A-0071;La Paz;Urbana;20;10;50;0;100;10;50;20;30;0;0;0;0;100;400;200;300;150;20;400;20;0;0;0;0;0;0;0;0;50;30;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06008316363-A;11;269,667176786102
261-06008316363-A-0081;La Paz;Urbana;20;20;0;0;20;10;20;100;20;0;0;0;0;0;100;0;50;50;20;100;50;0;0;0;0;0;0;0;0;100;100;0;0;200;100;150;0;0;0;0;0;0;0;0;40;0;50;0;0;0;0;0;0;0;120;200;0;261-06008316363-A;11;269,667176786102
261-06008316363-A-0131;La Paz;Urbana;40;120;0;0;30;10;30;20;20;0;0;0;0;0;150;0;0;50;30;0;25;0;0;0;0;0;0;0;0;80;50;0;0;0;200;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;200;0;261-06008316363-A;11;269,667176786102
261-06008316363-A-0141;La Paz;Urbana;15;100;0;0;0;0;20;15;15;0;0;0;60;0;100;0;50;100;20;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;50;70;0;0;0;20;0;0;0;0;0;0;150;0;200;250;30;0;0;0;0;300;0;261-06008316363-A;11;269,667176786102
261-06008316363-A-0151;La Paz;Urbana;20;24;0;0;0;0;13;0;0;0;0;0;0;70;250;70;200;50;10;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06008316363-A;11;269,667176786102
261-06008316363-A-0171;La Paz;Urbana;30;250;0;0;0;0;20;10;20;0;0;0;0;0;0;0;0;50;0;50;20;0;0;0;0;0;0;0;0;50;20;0;0;0;50;70;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;100;0;261-06008316363-A;11;269,667176786102
261-06020264371-A-0021;La Paz;Urbana;15;200;0;0;0;5;0;0;12;0;0;0;20;0;35;0;0;0;4;0;0;0;0;0;0;0;0;0;0;20;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;80;0;75;250;0;0;0;0;0;0;0;261-06020264371-A;11;105,751834033766
261-06020264371-A-0041;La Paz;Urbana;0;30;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;50;5;0;0;0;4000;0;0;0;0;0;400;150;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06020264371-A;11;105,751834033766
261-06020264371-A-0061;La Paz;Urbana;0;300;0;0;0;0;30;0;0;0;0;0;100;0;0;0;0;100;10;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06020264371-A;11;105,751834033766
261-06020264371-A-0071;La Paz;Urbana;0;180;0;0;0;0;15;0;0;0;0;0;30;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;10;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06020264371-A;11;105,751834033766
261-06020264371-A-0091;La Paz;Urbana;15;195;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;261-06020264371-A;11;105,751834033766
261-06034638388-A-0011;La Paz;Urbana;25;200;0;0;0;0;30;50;0;0;0;0;0;0;300;0;0;100;0;0;15;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0021;La Paz;Urbana;10;50;100;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0041;La Paz;Urbana;24;50;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;300;0;0;0;0;350;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0051;La Paz;Urbana;28;200;0;0;0;0;22;0;10;0;0;0;100;0;0;0;0;36;4;0;30;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;200;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0061;La Paz;Urbana;13;90;0;0;0;0;6,5;85;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0071;La Paz;Urbana;0;100;0;0;0;0;18;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;150;0;0;0;20;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0081;La Paz;Urbana;36;180;0;0;0;0;20;100;0;0;0;0;80;0;0;0;0;120;25;0;0;0;0;0;0;0;0;60;0;30;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;300;0;400;100;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0091;La Paz;Urbana;15;90;0;0;0;5;0;0;0;0;0;0;50;0;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;200;0;0;0;0;50;0;0;0;0;0;0;0;250;0;190;600;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0111;La Paz;Urbana;20;80;0;0;0;0;200;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;90;600;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0121;La Paz;Urbana;10;50;0;0;0;0;15;0;0;0;0;0;20;0;0;0;0;0;0;0;14,5;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;250;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0131;La Paz;Urbana;21;108;0;0;0;5;15;7,5;0;0;0;0;100;0;0;0;0;0;4;0;40;0;0;0;0;0;0;0;0;30;0;0;0;500;720;0;0;0;0;0;0;0;0;450;100;0;45;0;250;580;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06034638388-A-0141;La Paz;Urbana;29;196;0;0;0;5;28;7,5;13;0;0;0;0;0;0;0;0;0;35;0;4;0;0;0;60;0;0;0;0;50;0;0;0;0;500;670;0;0;10;0;0;0;0;500;35;0;0;0;0;0;0;0;0;0;0;0;0;261-06034638388-A;11;113,886590497901
261-06071576932-A-0011;La Paz;Urbana;15;40;0;12;0;15;30;10;20;0;0;160;30;0;0;20;0;50;0;0;0;0;0;0;0;0;0;0;0;60;40;0;0;0;180;150;0;0;0;0;0;0;0;0;0;0;80;200;150;200;20;0;0;0;180;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0021;La Paz;Urbana;31;80;0;0;0;10;27;20;0;0;0;0;50;0;200;50;0;40;20;0;0;0;0;0;0;0;0;0;0;80;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;150;200;0;0;0;0;0;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0031;La Paz;Urbana;50;100;0;0;0;10;32;20;0;0;0;50;30;0;200;0;0;38;25;0;0;0;0;0;0;0;0;0;0;100;50;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0041;La Paz;Urbana;30;0;0;0;0;10;50;40;20;0;0;0;180;0;0;0;0;0;5;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;200;0;100;190;0;0;0;0;0;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0051;La Paz;Urbana;15;100;0;12;0;10;25;100;10;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;20;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;200;0;0;0;0;0;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0061;La Paz;Urbana;20;50;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0071;La Paz;Urbana;20;60;0;0;0;20;30;35;15;0;0;0;0;0;80;0;0;20;10;0;0;0;0;0;0;0;0;0;0;50;40;0;0;200;50;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0081;La Paz;Urbana;0;0;0;0;0;10;0;0;10;0;0;0;50;0;0;0;0;20;10;0;20;0;0;0;0;0;0;100;0;0;0;0;0;0;50;100;0;0;0;0;23;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0091;La Paz;Urbana;25;0;0;0;0;10;10;0;10;0;0;0;0;0;50;0;30;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0101;La Paz;Urbana;50;20;0;0;0;10;80;0;10;0;0;0;50;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;140;100;0;0;100;50;0;0;0;0;100;0;0;0;0;0;0;0;0;1200;0;0;0;0;200;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0111;La Paz;Urbana;28;200;0;0;0;10;45;36;10;0;0;0;80;0;0;0;0;38;20;0;0;0;0;0;0;0;0;0;0;100;50;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;80;0;300;250;40;0;0;0;0;0;0;261-06071576932-A;11;195,234155139259
261-06071576932-A-0121;La Paz;Urbana;25;50;0;0;0;10;40;36;10;0;0;0;100;0;100;0;0;50;20;0;0;0;0;0;0;0;0;0;0;80;40;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;50;0;300;500;50;0;0;0;0;0;0;261-06071576932-A;11;195,234155139259
261-06115813407-A-0021;La Paz;Urbana;50;200;0;0;0;10;30;10;10;0;0;60;30;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;60;0;0;0;100;100;0;0;0;0;0;0;0;20;0;0;0;200;0;100;500;0;0;0;0;100;0;0;261-06115813407-A;11;204,894178440421
261-06115813407-A-0051;La Paz;Urbana;50;300;0;5;0;10;50;20;10;0;200;150;100;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;150;0;80;0;0;0;0;0;0;0;0;0;0;0;0;100;0;200;500;100;100;2000;0;150;200;0;261-06115813407-A;11;204,894178440421
261-06115813407-A-0071;La Paz;Urbana;20;200;0;0;50;10;30;20;0;0;0;0;0;0;0;0;150;0;10;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;200;0;261-06115813407-A;11;204,894178440421
261-06115813407-A-0101;La Paz;Urbana;20;150;0;5;0;5;20;0;10;0;0;0;100;0;0;0;200;0;10;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;100;500;0;0;0;0;130;0;0;261-06115813407-A;11;204,894178440421
261-06115813407-A-0121;La Paz;Urbana;30;50;50;0;0;15;30;40;30;0;0;0;180;0;0;0;0;0;25;0;44;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;300;0;0;400;0;0;0;0;261-06115813407-A;11;204,894178440421
261-06115813407-A-0151;La Paz;Urbana;20;90;300;0;0;0;20;10;12;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;60;0;0;0;0;300;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;0;80;0;0;261-06115813407-A;11;204,894178440421
261-06115813407-A-0171;La Paz;Urbana;25;60;72;0;0;0;25;16;10;0;0;0;0;0;200;0;0;0;0;0;30;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;261-06115813407-A;11;204,894178440421
261-06115813407-A-0201;La Paz;Urbana;20;50;80;0;0;5;15;40;20;0;0;0;40;0;0;0;0;0;15;0;40;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;200;0;0;300;0;0;0;0;261-06115813407-A;11;204,894178440421
261-06115813407-A-0231;La Paz;Urbana;80;200;0;0;0;0;35;19;30;0;0;0;120;0;0;0;0;0;35;0;100;0;0;0;0;0;0;0;0;200;50;0;0;200;200;150;50;0;0;0;0;0;100;0;0;0;0;0;1000;300;50;0;800;0;0;0;50;261-06115813407-A;11;204,894178440421
261-06115813407-A-0251;La Paz;Urbana;20;150;0;0;0;0;50;30;0;0;0;0;100;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;60;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350;500;80;0;0;0;0;0;0;261-06115813407-A;11;204,894178440421
261-06115813407-A-0281;La Paz;Urbana;35;25;0;0;0;0;80;25;20;0;0;0;0;0;0;0;0;50;25;0;40;0;0;0;0;0;0;0;200;150;50;0;0;0;300;400;85;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;261-06115813407-A;11;204,894178440421
261-06115813407-A-0301;La Paz;Urbana;50;80;0;0;0;0;150;28;40;0;0;0;200;0;0;0;0;80;50;0;50;0;0;0;0;0;0;0;200;150;50;0;0;200;200;200;80;0;0;0;0;300;150;0;0;0;200;0;600;600;100;0;1500;0;0;0;0;261-06115813407-A;11;204,894178440421
261-06131528232-A-0021;La Paz;Urbana;30;200;0;0;0;5;30;10;10;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;300;20;0;0;0;150;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0031;La Paz;Urbana;50;300;0;0;0;10;50;200;40;0;0;0;50;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;150;0;0;0;150;150;50;0;0;0;0;0;0;100;0;0;0;200;0;200;1000;0;0;0;0;0;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0051;La Paz;Urbana;50;200;0;0;0;0;50;20;20;0;0;0;50;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;200;300;0;0;0;0;200;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0061;La Paz;Urbana;50;300;0;10;0;10;50;20;0;0;0;0;100;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;100;150;0;0;0;100;100;200;0;0;0;0;100;200;0;0;0;0;100;0;200;1000;50;100;0;0;150;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0081;La Paz;Urbana;25;0;0;0;0;0;50;25;30;0;0;0;200;0;0;0;0;50;50;0;0;1500;0;0;0;0;0;0;200;200;80;0;0;200;100;100;50;0;0;0;100;0;0;0;0;0;0;100;400;200;50;0;0;0;0;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0091;La Paz;Urbana;10;200;0;0;0;0;35;10;20;0;0;0;200;0;0;0;0;50;30;0;50;0;0;0;0;0;0;0;0;100;0;0;0;100;100;100;50;0;0;0;0;0;0;0;0;0;0;0;500;200;50;60;500;0;0;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0111;La Paz;Urbana;20;200;0;0;0;0;80;0;25;0;0;0;0;0;0;0;0;80;10;0;0;0;0;0;0;0;0;0;0;150;150;0;0;300;150;200;50;0;0;0;0;0;0;0;0;0;400;0;0;0;0;0;200;0;0;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0121;La Paz;Urbana;30;100;0;0;0;0;50;25;15;0;0;0;250;0;0;0;0;50;30;0;40;0;0;0;0;0;0;0;0;100;20;0;0;100;100;100;0;0;0;0;0;0;0;0;0;0;50;0;900;300;60;50;0;0;0;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0141;La Paz;Urbana;10;55;0;0;0;0;18;0;20;0;0;0;60;0;0;0;0;0;10;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;500;0;0;0;0;0;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0151;La Paz;Urbana;20;150;0;0;0;0;15;30;20;0;0;0;10;0;0;0;0;0;6;0;20;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;80;0;0;0;0;0;0;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0171;La Paz;Urbana;12;50;0;0;0;0;15;40;20;0;0;0;0;0;0;0;0;0;5;0;30;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;261-06131528232-A;11;131,278138800536
261-06131528232-A-0181;La Paz;Urbana;10;80;0;0;0;0;15;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06131528232-A;11;131,278138800536
261-06141407945-A-0011;La Paz;Urbana;30;200;0;0;0;0;80;15;30;0;0;0;200;0;0;0;0;50;25;0;40;0;0;0;0;0;0;0;0;100;150;0;0;150;100;100;50;0;0;0;0;0;0;0;0;0;0;0;1000;400;50;0;0;0;0;0;0;261-06141407945-A;11;211,503668067531
261-06141407945-A-0021;La Paz;Urbana;25;200;0;0;0;0;30;15;30;0;0;0;280;0;0;0;0;80;15;0;0;0;0;0;0;0;0;0;0;100;0;0;0;200;70;50;50;0;0;0;0;0;0;0;0;0;100;0;900;300;50;0;0;0;0;0;100;261-06141407945-A;11;211,503668067531
261-06141407945-A-0031;La Paz;Urbana;85;80;0;0;0;0;20;10;20;0;0;0;200;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;440;100;40;0;0;0;100;0;0;261-06141407945-A;11;211,503668067531
261-06141407945-A-0051;La Paz;Urbana;15;280;0;0;0;0;125;35;30;0;0;0;100;0;0;0;0;0;40;0;50;0;0;0;0;0;0;0;0;100;0;0;0;400;100;100;0;0;0;0;0;0;0;0;0;0;0;0;80;90;18;20;0;0;0;0;30;261-06141407945-A;11;211,503668067531
261-06141407945-A-0061;La Paz;Urbana;20;70;0;0;0;0;15;0;10;0;0;0;30;0;0;0;0;25;10;0;10;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;400;0;0;0;0;0;0;0;261-06141407945-A;11;211,503668067531
261-06141407945-A-0071;La Paz;Urbana;20;100;0;0;0;0;25;0;20;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;261-06141407945-A;11;211,503668067531
261-06141407945-A-0091;La Paz;Urbana;25;150;0;0;0;10;25;18;20;0;0;0;80;0;0;0;0;40;25;0;40;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;500;0;0;0;0;0;0;0;261-06141407945-A;11;211,503668067531
261-06141407945-A-0101;La Paz;Urbana;15;50;0;0;0;10;20;10;10;0;0;0;0;0;0;0;0;0;5;0;0;0;700;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06141407945-A;11;211,503668067531
261-06141407945-A-0111;La Paz;Urbana;20;100;0;0;0;5;30;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;261-06141407945-A;11;211,503668067531
261-06141407945-A-0131;La Paz;Urbana;50;0;0;20;100;10;50;20;20;0;0;0;100;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;200;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;100;0;500;1000;0;0;0;0;150;0;0;261-06141407945-A;11;211,503668067531
261-06141407945-A-0141;La Paz;Urbana;40;250;0;0;0;10;40;10;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;200;600;0;0;0;0;100;0;0;261-06141407945-A;11;211,503668067531
261-06141407945-A-0151;La Paz;Urbana;20;100;0;0;0;10;30;10;10;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;100;50;0;0;0;0;0;0;0;0;0;0;0;150;300;0;0;0;0;150;0;0;261-06141407945-A;11;211,503668067531
261-06147145280-A-0021;La Paz;Urbana;30;90;0;5;40;15;15;16;20;0;0;60;40;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;200;0;0;0;0;60;0;0;261-06147145280-A;11;230,731274255489
261-06147145280-A-0051;La Paz;Urbana;60;80;0;0;0;0;15;25;0;0;0;0;40;0;70;0;0;90;0;0;0;0;0;0;0;0;0;0;0;150;140;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;300;200;0;0;0;0;0;500;0;261-06147145280-A;11;230,731274255489
261-06147145280-A-0101;La Paz;Urbana;20;150;0;0;0;10;40;15;0;0;0;0;80;0;100;0;0;80;10;0;10;0;0;0;0;0;0;0;0;90;0;0;0;200;500;400;0;0;0;0;0;0;30;0;0;0;0;0;200;100;40;0;0;0;0;800;0;261-06147145280-A;11;230,731274255489
261-06147145280-A-0121;La Paz;Urbana;15;20;0;10;0;0;10;0;20;0;0;0;0;80;250;60;250;100;30;100;50;0;0;0;0;0;0;0;0;30;0;0;0;0;0;200;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;261-06147145280-A;11;230,731274255489
261-06147145280-A-0151;La Paz;Urbana;40;180;0;0;0;0;50;20;0;0;0;0;50;0;0;0;0;200;30;0;40;0;0;0;0;0;0;0;0;30;0;0;0;200;0;0;0;50;0;0;0;0;0;0;0;0;100;0;300;350;40;0;0;0;0;0;0;261-06147145280-A;11;230,731274255489
261-06147145280-A-0171;La Paz;Urbana;20;40;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;100;10;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;100;200;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06147145280-A;11;230,731274255489
261-06147145280-A-0201;La Paz;Urbana;30;80;0;5;0;0;25;20;20;0;0;0;40;0;50;0;0;140;20;0;30;0;0;0;0;0;0;0;0;40;0;0;0;300;100;0;0;0;0;0;0;0;0;0;0;0;200;0;200;250;20;0;0;0;0;50;0;261-06147145280-A;11;230,731274255489
261-06147145280-A-0231;La Paz;Urbana;10;500;0;0;0;0;30;0;50;0;0;0;100;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06147145280-A;11;230,731274255489
261-06147145280-A-0251;La Paz;Urbana;20;500;0;0;0;20;20;20;20;0;0;0;100;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;261-06147145280-A;11;230,731274255489
261-06147145280-A-0281;La Paz;Urbana;10;200;0;0;0;0;50;30;20;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;245;0;0;0;0;0;0;0;261-06147145280-A;11;230,731274255489
261-06147145280-A-0301;La Paz;Urbana;10;300;0;0;100;0;50;100;20;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;30;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261-06147145280-A;11;230,731274255489
261-06150967636-A-0021;La Paz;Urbana;20;80;0;0;0;0;15;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;261-06150967636-A;11;131,278138800536
261-06150967636-A-0031;La Paz;Urbana;40;0;0;0;0;20;50;25;12;0;0;0;200;0;0;0;0;120;10;0;0;800;0;0;0;0;0;0;0;120;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;450;0;0;0;0;0;0;0;261-06150967636-A;11;131,278138800536
