"","Código","Municipio","Cta Principal (Líquido)","Comisión Bancaria...4","SUMI/SSIEP","Comisión Bancaria...6","Total Ejecución...7","Salud (Líquido)","Comisión Bancaria...9","Educación (Líquido)","Comisión Bancaria...11","Infraestructura (Líquido)","Comisiones Bancarias","Total Ejecución...14","Coparticipación","Comisión Bancaria...16","Compensación y nivelación","Comisión Bancaria...18","Renta Digindad","Fondo E Cívica","Total Ejecución...21"
"1",1101,"Gobierno Autónomo Municipal de Sucre",185775615.12,245330.37,34077549.42,44636.08,220143130.99,755858.84,1261.04,1552480.52,2589.65,1157790.13,1939.21,3471919.39,34414401.58,7519.16,111481674.27,104.6,62751229.49,418341.54,209073270.64
"2",1102,"Gobierno Autónomo Municipal de Yotala",6730913.03,10810.52,1235029.83,1617.56,7978370.94,30819.07,51.45,67693.19,113.03,290088.68,484.08,389249.5,1246622.02,272.39,4040024.73,104.6,2274776.79,15165.19,7576965.72
"3",1201,"Gobierno Autónomo Municipal de La Paz",546874801.99,718071.3,100314678.35,131351.83,648038903.47,2545690.44,4249.26,3887941.35,6490.55,499980.18,837.41,6945189.19,91544839.27,14148.08,110057241.72,2418.45,39379366.91,262529.17,241260543.6
"4",1204,"Gobierno Autónomo Municipal de Achocalla",13261585.17,19713.44,2432963.7,3250.7,15717513.01,57607.18,96.05,120640.64,201.18,728541.96,1215.1,908302.11,2252573.53,353.91,2445840.32,53.74,875174.86,5834.51,5579830.87
"5",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",606586695.28,796089.9,111267747.66,145662.85,718796195.69,2350962.97,3921.58,5299780.35,8837.13,10235317.61,17110.73,17915930.37,101524811.88,15688.08,122180121.31,2684.84,43717026.7,291446.91,267731779.72
"6",1206,"Gobierno Autónomo Municipal de Viacha",57524390.52,77326.67,10552176.92,13818.69,68167712.8,192480.3,320.89,396844.04,662,1559986.24,2602.06,2152895.53,9630051.53,1488.53,11570773.87,254.25,4140149.3,27600.99,25370318.47
"7",1210,"Gobierno Autónomo Municipal de Caranavi",35062518.88,48022.41,6431951.61,8443.43,41550936.33,148678.04,248.08,288404.09,481.2,1751551.17,2920.68,2192283.26,5879960.87,910.62,6982754.1,153.44,2498520.47,16656.81,15378956.31
"8",1262,"Gobierno Autónomo Municipal de Laja",17102339.52,24443.51,3137480.9,4118.38,20268382.31,62894.78,104.88,121990,203.75,983626.6,1639.42,1170459.43,2867749.73,444.13,3407345.31,74.89,1219208.78,8128.07,7502950.91
"9",1268,"Gobierno Autónomo Municipal de San Buenaventura",6204363.95,10119.94,1138444.19,1490.99,7354419.07,23611.04,39.38,56427.74,94.14,212239.29,353.86,292765.45,1038463.11,160.54,1248133.26,27.48,446626.06,2977.52,2736387.97
"10",1301,"Gobierno Autónomo Municipal de Cochabamba",450990880.13,592514.16,82726503.05,108320.7,534418218.04,1818507.89,3033.88,3623718.88,6045.36,580378.61,972.09,6032656.71,8614610.42,9661.38,161496370.62,1445.18,49992056.62,333280.44,220447424.66
"11",1302,"Gobierno Autónomo Municipal de Quillacollo",97966671.9,130259.7,17970582.93,23528.48,116091043.01,378309.41,631.01,824927.76,1375.63,206924.27,346.57,1412514.65,1870794.61,2097.97,35084085.41,395.87,10863467.74,72423.16,47893264.76
"12",1303,"Gobierno Autónomo Municipal de Sipe Sipe",29692149.82,40868.95,5446854.42,7131.2,35187004.39,114147.68,190.45,271792.76,453.14,865626.41,1443.38,1253653.82,566625.63,635.41,10633995.37,192.93,3292995.33,21953.31,14516397.98
"13",1304,"Gobierno Autónomo Municipal de Tiquipaya",38103429.64,51936.29,6989751.71,9161.41,45154279.05,143475.09,239.27,301522.13,502.85,381376.56,636.64,827752.54,727793.3,816.96,13633147.24,217.39,4206681.24,28044.55,18596700.68
"14",1305,"Gobierno Autónomo Municipal de Vinto",37090527.64,50559.07,6803953.53,8908.72,43953948.96,126966.78,211.69,285989.38,476.77,581058.25,968.83,995671.7,707980.88,793.96,13282597.57,214.83,4112101.85,27414.03,18131103.12
"15",1306,"Gobierno Autónomo Municipal de Colcapirhua",37108746.98,50582.52,6807294.93,8913.05,43975537.48,148464.7,247.67,220519.37,367.76,0,0,369599.5,708325.76,794.41,13289204.63,214.95,4114242.41,27428.29,18140210.45
"16",1312,"Gobierno Autónomo Municipal de Sacaba",121777673.96,161626.32,22338281.95,29282.04,144306864.27,448600.23,748.08,709802.73,1183.41,1076275.47,1796.01,2238405.93,2327359.7,2612.79,43565492.51,464.98,13437247.59,89581.65,59422759.22
"17",1315,"Gobierno Autónomo Municipal de Punata",20553941.83,28915.44,3770615.36,4938.61,24358411.24,88251.84,147.25,232923.34,388.66,267266.22,446.38,589423.69,392170.44,439.98,7358808.5,165.67,2275850.87,15172.37,10042607.83
"18",1316,"Gobierno Autónomo Municipal de Villa Rivero",5812154.15,9603.72,1066500.38,1396.16,6889654.41,21774.01,36.34,58350.63,97.34,212239.88,353.72,292851.92,110478.54,123.89,2082104.73,113.88,644931.44,4299.55,2842052.03
"19",1317,"Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza)",9690872.15,14681.55,1777980.96,2327.7,11485862.36,42349.11,70.66,94300.22,157.44,234713.8,391.55,371982.78,184564.95,206.91,3471241.14,125.44,1075176.43,7167.82,4738482.69
"20",1320,"Gobierno Autónomo Municipal de Tarata",5888627.61,9703.81,1080528.15,1414.63,6980274.2,27752.11,46.34,79462.78,132.63,235950.52,393.85,343738.23,111939.25,125.51,2109493.31,114.12,653414.22,4356.06,2879442.47
"21",1322,"Gobierno Autónomo Municipal de Arbieto",12419672.63,18260.37,2278530.28,2984.09,14719447.37,40303.4,67.14,60370.92,100.57,313844.12,522.27,415208.42,236745.34,265.57,4447013.66,133.46,1375642.32,9170.95,6068971.3
"22",1324,"Gobierno Autónomo Municipal de Cliza",15571541.6,22391.1,2856683.67,3741.88,18454358.25,66760.74,111.39,152874.82,255.2,236765.02,395.27,457162.44,296987.85,333.17,5574798.46,142.83,1723754.67,11491.68,7607508.66
"23",1326,"Gobierno Autónomo Municipal de Tolata",3958917.39,7177.47,726557.02,951.24,4693603.12,17547.29,29.25,37143.09,61.98,82208.89,137.12,137127.62,75080.33,84.14,1418380.69,108.4,439362.02,2929.07,1935944.65
"24",1336,"Gobierno Autónomo Municipal de Arani",6790588.88,10884.62,1245976.42,1631.22,8049081.14,35056.17,58.5,81680.58,136.41,247810.5,413.74,365155.9,129167.39,144.82,2432524.43,116.79,753463.83,5023.07,3320440.33
"25",1341,"Gobierno Autónomo Municipal de Tiraque",15113079.63,21788.28,2772587.4,3631.29,17911086.6,67105.24,111.98,145613.76,242.94,830968.76,1385.14,1045427.82,288207.08,323.31,5411228.14,141.5,1673809.14,11158.74,7384867.91
"26",1401,"Gobierno Autónomo Municipal de Oruro",189225030.54,249739.19,34710281.98,45444.72,224230496.43,731146.69,1219.61,1807002.54,3014.78,1790931.1,2999.64,4336314.36,173703852.21,10850.93,0,0,74653956.07,497693.12,248866352.33
"27",1406,"Gobierno Autónomo Municipal de Huanuni",17634846.24,25081.53,3235159.96,4235.44,20899323.17,69449.87,115.82,192195.03,320.63,394629.9,660.94,657372.19,16188613.38,1011.12,0,0,6960158.66,46401.08,23196184.24
"28",1501,"Gobierno Autónomo Municipal de Potosí",135899611.14,180023.26,24928696.23,32656.63,161040987.26,527025.92,879.13,1307981.78,2181.9,1389857.14,2327.85,3230253.72,74766890.53,5361.17,0,0,32099261.72,213995.1,107085508.52
"29",1505,"Gobierno Autónomo Municipal de Uncía",15703432.17,22557.43,2880876.69,3772.4,18610638.69,65475.65,109.26,142798.43,238.27,804243.36,1342.66,1014207.63,8637263.31,619.16,0,0,3715960.23,24773.08,12378615.78
"30",1507,"Gobierno Autónomo Municipal de Llallagua",29256082.17,40312.04,5366865.6,7029.03,34670288.84,124285.82,207.42,346143.93,577.72,603122.85,1007.96,1075345.7,16093571.88,1153.8,0,0,6916543.63,46110.29,23057379.6
