"","Código","Municipio","Cta Principal (Líquido)","Comisión Bancaria...4","SUMI/SSIEP","Comisión Bancaria...6","Total Ejecución...7","Salud (Líquido)","Comisión Bancaria...9","Educación (Líquido)","Comisión Bancaria...11","Infraestructura (Líquido)","Comisiones Bancarias","Total Ejecución...14","Coparticipación","Comisión Bancaria...16","Compensación y nivelación","Comisión Bancaria...18","Renta Digindad","Fondo E Cívica","Total Ejecución...21"
"1",1101,"Gobierno Autónomo Municipal de Sucre",92903634.26,227328.14,10322848.03,25036.67,103478847.1,1421266.83,969.54,2832642.84,1932.18,3726090.36,2541.67,7985443.42,8159130.96,1110.82,72011109.34,96,34358754.91,0,114530202.03
"2",1102,"Gobierno Autónomo Municipal de Yotala",4087039.65,11917.31,454337.68,1101.76,4554396.4,62553.95,42.66,139703.19,95.28,571548.92,389.87,774333.87,359014.64,48.84,3169320.79,96,1512225.95,0,5040706.22
"3",1201,"Gobierno Autónomo Municipal de La Paz",341559184.61,830404,37951242.71,92044.86,380432876.18,5225189.85,3564.3,8149584,5559.11,1609075.43,1097.53,14994070.22,66647778.87,27615.84,79832738.95,2694.86,28564797.5,0,175075626.02
"4",1204,"Gobierno Autónomo Municipal de Achocalla",6503779.6,17778.64,722864.52,1753.19,7246175.95,99525.17,67.92,211704.05,144.41,1294607.93,883.02,1606932.5,1269421.88,525.92,1520494.92,51.3,544079.16,0,3334573.18
"5",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",279844695.21,680724.78,31094077.27,75413.94,311694911.2,4281083.95,2920.32,8973832.62,6121.27,26303488.33,17943.42,39585389.91,54603022.52,22624.75,65408258.47,2207.8,23403608.26,0,143439721.8
"6",1206,"Gobierno Autónomo Municipal de Viacha",20060429.54,50658.2,2229158.88,5406.55,22345653.17,306914.26,209.35,726940.01,495.9,2814169.1,1919.63,3850648.25,3909518.82,1619.73,4689080.36,158.3,1677823.03,0,10278200.24
"7",1210,"Gobierno Autónomo Municipal de Caranavi",20302682.69,51225.41,2256075.95,5469.64,22615453.69,306616.03,211.2,591755.92,407.64,3209713.25,2211.42,4110915.46,3895769.67,1601.92,4672612.07,159.52,1671930.81,0,10242073.99
"8",1262,"Gobierno Autónomo Municipal de Laja",7020883.43,19032.8,780320.55,1892.54,7822129.32,107435.81,73.32,281824.27,192.3,1519401.71,1036.43,1909963.84,1370327.97,567.8,1641357.25,55.38,587324.53,0,3599632.93
"9",1268,"Gobierno Autónomo Municipal de San Buenaventura",2715224.8,8581.68,301912.93,732.28,3026451.69,40857.36,27.9,100425.1,68.46,329929.55,225.07,471533.44,525201.67,217.16,624141.28,21.1,226553,0,1376134.21
"10",1301,"Gobierno Autónomo Municipal de Cochabamba",222608472.91,541907.19,24734497.18,59989.7,247944866.98,3405486.43,2322.97,6738259.62,4596.29,1867819.65,1274.05,12019759.01,12477184.08,1560.09,90019008.47,1377.96,30059865.97,0,132558996.57
"11",1302,"Gobierno Autónomo Municipal de Quillacollo",44865060.47,110818.09,4985228.73,12091.06,49973198.35,686374.52,468.24,1424972.26,972,665939.83,454.26,2779181.11,2514695.28,314.43,18143145.27,354.4,6058555.05,0,26717064.43
"12",1303,"Gobierno Autónomo Municipal de Sipe Sipe",13490496.16,34724.04,1499166.38,3636.14,15028022.72,206407.7,140.81,450220.31,307.08,1462610.28,997.74,2120683.92,756156.18,94.53,5455902.27,173.7,1821938.84,0,8034265.52
