"","Código","Municipio","Cta Principal (Líquido)","Comisión Bancaria...4","SUMI/SSIEP","Comisión Bancaria...6","Total Ejecución...7","Salud (Líquido)","Comisión Bancaria...9","Educación (Líquido)","Comisión Bancaria...11","Infraestructura (Líquido)","Comisiones Bancarias","Total Ejecución...14","Coparticipación","Comisión Bancaria...16","Compensación y nivelación","Comisión Bancaria...18","Renta Digindad","Fondo E Cívica","Total Ejecución...21"
"1",1101,"Gobierno Autónomo Municipal de Sucre",175101669.38,233848.36,32119610.97,42525.5,207497654.21,817922.49,1251.24,1749946,2677.08,0,0,2571796.81,18059760.43,7508.1,53148953.39,96,30667313.02,204448.76,102088079.7
"2",1102,"Gobierno Autónomo Municipal de Yotala",6340439.99,10413.16,1163409.49,1540.28,7515802.92,29626.1,45.36,63208.36,96.72,292810.46,447.96,386234.96,653590.13,271.68,1925023.57,96,1111711.99,7411.42,3698104.79
"3",1201,"Gobierno Autónomo Municipal de La Paz",513822093.65,682304.74,94251760.23,124786.79,608880945.41,2400111.14,3671.76,3528643.87,5398.2,0,0,5937824.97,44670634.21,14129.17,53786309.4,2386.91,19245190.59,128301.28,117846951.56
"4",1204,"Gobierno Autónomo Municipal de Achocalla",14866321.72,21701.23,2727327.91,3610.89,17618961.75,69451.15,106.2,142791.97,218.4,849259.52,1299.24,1063126.48,1292058.23,408.72,1195263.76,53.04,427708.94,2851.39,2918344.08
"5",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",568782452.78,755070.72,104333245.68,138134.31,674008903.49,2656835.2,4064.52,6536875.19,10000.32,5367260.84,8211,14583247.07,49448817.39,15640.14,59710912.73,2649.8,21365059.31,142433.72,130685513.09
"6",1206,"Gobierno Autónomo Municipal de Viacha",54113664.69,73663.54,9926544.59,13142.43,64127015.25,252778.44,386.76,445005.5,680.76,1784424.29,2729.88,2486005.63,4704171.98,1487.87,5654737.15,250.92,2023342.89,13488.94,12397479.75
"7",1210,"Gobierno Autónomo Municipal de Caranavi",33738162.93,46687.04,6189026.64,8194.16,39982070.77,157602.96,241.08,307969.13,471.12,2155131.05,3297,2624712.34,2932751.94,927.57,3412514.34,151.44,1221058.28,8140.39,7575543.96
"8",1262,"Gobierno Autónomo Municipal de Laja",16443053.42,23788.84,3016550.87,3993.84,19487386.97,76816.2,117.48,89591.95,137.04,1331408.75,2036.88,1500108.3,1429137.24,452.04,1665163.3,73.92,595842.62,3972.3,3694641.42
"9",1268,"Gobierno Autónomo Municipal de San Buenaventura",5837656.66,9747.58,1071182.23,1418.18,6920004.65,27277.57,41.76,65653.16,100.44,267067,408.6,360548.53,507117.61,160.44,609929.3,27.12,218271.75,1455.13,1336961.35
"10",1301,"Gobierno Autónomo Municipal de Cochabamba",423686276.04,562967.49,77717970.33,102896.47,502070110.33,1979079.93,3027.72,3982359.01,6092.4,0,0,5970559.06,4699433.85,9648.01,78422226.28,1418.28,24431745.19,162878.23,107727349.84
"11",1302,"Gobierno Autónomo Municipal de Quillacollo",91961926.66,123773.75,16869125.44,22334.24,108977160.09,429570.47,657.12,994704.83,1521.72,0,0,1426454.14,1019587.74,2093.17,17028365.62,383.28,5309112.95,35394.08,23394936.84
"12",1303,"Gobierno Autónomo Municipal de Sipe Sipe",27866312.7,38912.85,5111941.74,6768.08,33023935.37,130175.1,199.2,343316.93,525.24,1070198.36,1637.28,1546052.11,308569.7,633.41,5160579.15,183.12,1609328.11,10728.85,7090022.34
"13",1304,"Gobierno Autónomo Municipal de Tiquipaya",36134097.91,49859.22,6628517.83,8775.91,42821250.87,168794.47,258.24,358902.6,549.12,356096.55,544.8,885145.78,400284.94,821.76,6658364.51,207.24,2055857.89,13705.72,9129242.06
"14",1305,"Gobierno Autónomo Municipal de Vinto",34836243.44,48140.84,6390450.32,8460.65,41283295.25,162732.11,249,375532.31,574.56,730434.68,1117.44,1270640.1,385887.76,792.17,6448943.38,204.72,2009635.76,13397.54,8858861.33
"15",1306,"Gobierno Autónomo Municipal de Colcapirhua",34850992.34,48160.41,6393155.09,8464.36,41300772.2,162801.02,249,264701.15,405,0,0,428156.17,386051.35,792.51,6451883.8,204.84,2010681.88,13404.53,8863018.91
"16",1312,"Gobierno Autónomo Municipal de Sacaba",115615581.73,155090.52,21207962.01,28078.78,137006713.04,540058.54,826.2,890953.41,1362.96,1101389.7,1684.92,2536275.73,1281979.74,2631.82,21292283.54,451.43,6566951.47,43779.68,29188077.68
"17",1315,"Gobierno Autónomo Municipal de Punata",19363224.66,27655.1,3552203.73,4703.01,22947786.5,90456.5,138.36,237146.14,362.76,214431.19,328.08,542863.03,214244.24,439.82,3579420.91,156.24,1112236.86,7414.91,4913912.98
"18",1316,"Gobierno Autónomo Municipal de Villa Rivero",5451517.45,9236.29,1000352.69,1324.37,6462430.8,25473.88,39,56969.07,87.12,291824.21,446.4,374839.68,59920.49,122.98,1009993.18,113.04,315186.09,2101.23,1387437.01
"19",1317,"Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza)",9089665.17,14053.1,1667704.43,2208.03,10773630.73,42467.97,64.92,84269.41,128.88,253534.12,387.84,380853.14,100278.79,205.86,1683905.3,124.44,525452.19,3503.03,2313469.61
"20",1320,"Gobierno Autónomo Municipal de Tarata",5523248.02,9331.4,1013510.15,1341.85,6547431.42,25808.97,39.48,75330.53,115.2,215963.49,330.36,317588.03,60716.21,124.61,1023280.18,113.28,319331.76,2128.9,1405694.94
"21",1322,"Gobierno Autónomo Municipal de Arbieto",11692746.92,17499.56,2145192.95,2840.19,13858279.62,54627.09,83.52,87911.18,134.52,560646.46,857.64,704260.41,129154.97,265.08,2162208.54,132.36,672293.64,4481.96,2968536.55
"22",1324,"Gobierno Autónomo Municipal de Cliza",14678614.99,21452.75,2692897.06,3565.29,17396530.09,68574.37,104.88,141212.93,216,208722.09,319.32,419149.59,162277.48,333.18,2712668.42,141.6,842420.52,5616.13,3723457.33
"23",1326,"Gobierno Autónomo Municipal de Tolata",3713224.68,6934.8,681493.98,902.25,4402555.71,17354.13,26.52,41357.96,63.24,89850.02,137.4,148789.27,40637.47,83.42,688000.54,107.64,214721.74,1431.48,944982.29
"24",1336,"Gobierno Autónomo Municipal de Arani",6369266.39,10451.41,1168696.86,1547.41,7549962.07,29760.76,45.48,69804.29,106.8,212345.94,324.84,312388.11,70101.17,143.87,1179992.41,115.92,368227.24,2454.83,1621035.44
"25",1341,"Gobierno Autónomo Municipal de Tiraque",14230802.13,20859.82,2610753.86,3456.6,16865872.41,66482.58,101.76,159599.94,244.2,1101013.92,1684.32,1329126.72,157309.85,322.93,2631302.54,140.28,818011.51,5453.42,3612540.53
"26",1401,"Gobierno Autónomo Municipal de Oruro",177610227.71,237169.73,32579760.83,43134.64,210470292.91,829640.18,1269.24,1951311.4,2985.24,0,0,2785206.06,84899405.02,10801.24,0,0,36484324.75,243228.84,121637759.85
"27",1406,"Gobierno Autónomo Municipal de Huanuni",16540928.12,23918.47,3034504.87,4017.67,19603369.13,77273.36,118.2,210966.35,322.8,0,0,288680.71,7907075.2,1005.93,0,0,3401516.81,22676.79,11332274.73
