"","Código","Municipio","Cta Principal (Líquido)","Comisión Bancaria...4","SUMI/SSIEP","Comisión Bancaria...6","Total Ejecución...7","Salud (Líquido)","Comisión Bancaria...9","Educación (Líquido)","Comisión Bancaria...11","Infraestructura (Líquido)","Comisiones Bancarias","Total Ejecución...14","Coparticipación","Comisión Bancaria...16","Compensación y nivelación","Comisión Bancaria...18","Renta Digindad","Fondo E Cívica","Total Ejecución...21"
"1",1101,"Gobierno Autónomo Municipal de Sucre",44368615.45,159210.79,3858272.49,13712.44,48399811.17,820022.32,14328.44,1634338,28557.1,2149826.66,37564.4,4684636.92,"584827.84",3924.05,6385861.74,7557.84,0,0,6982171.47
"2",1102,"Gobierno Autónomo Municipal de Yotala",1951378.94,8416.42,169813.46,603.51,2130212.33,36091.49,630.63,80603.94,1408.42,329764.15,5762.01,454260.64,"25820.58",178.99,282191.07,333.99,0,0,308524.63
"3",1201,"Gobierno Autónomo Municipal de La Paz",163122231.18,581264.66,14184673.8,50412.69,177938582.33,3014755.76,52677.47,4702031.15,82159.57,928381.47,16221.82,8796227.24,"8735682.6400000006",662.86,7489512.06,753.14,0,0,16226610.7
"4",1204,"Gobierno Autónomo Municipal de Achocalla",3105554.42,12536.66,270178.24,960.1,3389229.42,57422.62,1003.39,122145.99,2134.26,746944.46,13051.55,942702.27,"166369.42000000001",19.73,142633.39,15.79,0,0,309038.33
"5",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",133648452.02,476513.92,11621736.59,41303.98,145788006.51,2470039,43159.51,5177594.44,90469.24,15176230.47,265177.76,23222670.42,"7157620.4199999999",595.95,6136612.3,678.92,0,0,13295507.59
"6",1206,"Gobierno Autónomo Municipal de Viacha",10541435.24,37557.37,916777.99,3134.43,11498905.03,186027.7,3306.36,437118.63,7748.35,1744333.85,31232.26,2409767.15,"513094.97",48.3,439898.1,48.67,0,0,953090.04
"7",1210,"Gobierno Autónomo Municipal de Caranavi",10517009.02,38894.91,914654.03,3250.89,11473808.85,194397.04,3396.78,375180.37,6555.6,2037245.49,35597.19,2652372.47,"563282.06000000006",52.43,482926.98,53.42,0,0,1046314.89
"8",1262,"Gobierno Autónomo Municipal de Laja",3352514.47,13414.24,291652.91,1036.54,3658618.16,61986.79,1083.09,162602.96,2841.22,876642.81,15317.73,1120474.6,"179595.29",20.8,153972.64,17.04,0,0,333605.77
"9",1268,"Gobierno Autónomo Municipal de San Buenaventura",1274224.35,5823.24,110914.39,394.11,1391356.09,23573.29,411.85,57941.83,1012.46,190358.11,3326.17,276623.71,"68292.59",11.65,58548.58,6.5,0,0,126859.32
"10",1301,"Gobierno Autónomo Municipal de Cochabamba",106313416.49,379364.53,9244776.96,32856.09,115970414.07,1964849.18,34332.24,3887745.28,67931.39,1077668.05,18830.3,7051356.44,"2428648.65",34757.59,7365666.29,6236.03,0,0,9835308.56
"11",1302,"Gobierno Autónomo Municipal de Quillacollo",21426218.57,77672.67,1863281.46,6622.36,23373795.06,396014.63,6919.64,822160.23,14365.81,384224.48,6713.66,1630398.45,"486777.3",6946.26,1481813.47,1199.01,0,0,1976736.04
"12",1303,"Gobierno Autónomo Municipal de Sipe Sipe",6442278.21,24407.45,560329.05,1991.3,7029006.01,119090.17,2080.86,259761.73,4538.9,843876.09,14745.18,1244092.93,"144481.01999999999",2048.35,443711.16,320.22,0,0,590560.75
"13",1304,"Gobierno Autónomo Municipal de Tiquipaya",7769399.3,29129.86,675731.44,2401.67,8476662.27,143617.36,2509.42,303845.87,5309.18,414420.69,7241.27,876943.79,"174798.17",2482.14,535651.38,398.06,0,0,713329.75
"14",1305,"Gobierno Autónomo Municipal de Vinto",6473533.75,24518.4,563046.87,2001.1,7063100.12,119667.82,2090.99,263140.86,4597.92,557857.8,9747.59,957102.98,"145195.04999999999",2058.55,445876.63,322.08,0,0,593452.31
"15",1306,"Gobierno Autónomo Municipal de Colcapirhua",8630777.77,32191.3,750633.76,2667.78,9416270.61,159536.84,2787.59,220637.78,3855.25,0,0,386817.46,"194475.66",2763.71,595329.52,448.58,0,0,793017.47
"16",1312,"Gobierno Autónomo Municipal de Sacaba",24077594.1,87095.83,2093835.76,7441.63,26265967.32,445015.75,7775.84,682405.4,11923.79,1165633.06,20367.39,2333121.23,"547345.81000000006",7812.92,1665506.43,1354.52,0,0,2222019.68
"17",1315,"Gobierno Autónomo Municipal de Punata",5373632.33,20603.42,467402.79,1661.13,5863299.67,99339.98,1735.8,263326.87,4601.16,343300.27,5998.58,718302.66,"120068.54",1699.02,369672.68,257.52,0,0,491697.76
"18",1316,"Gobierno Autónomo Municipal de Villa Rivero",1203118.8,5528.28,104727.53,372.27,1313746.88,22258.38,388.92,67707.31,1183.08,185915.16,3248.53,280701.38,"24790.78",335.7,82074.11,68.04,0,0,107268.63
"19",1317,"Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza)",2614102.15,10789.69,227443.01,808.43,2853143.28,48339.88,844.61,114984.63,2009.15,254960.68,4455.02,425593.97,"57029.17",797,179847.12,150.83,0,0,237824.12
"20",1320,"Gobierno Autónomo Municipal de Tarata",1790589.46,7833.07,155830.66,553.77,1954806.96,33119.66,578.74,93810.59,1639.15,284059.05,4963.41,418170.6,"38216.01",527.8,122790.28,102.54,0,0,161636.63
"21",1322,"Gobierno Autónomo Municipal de Arbieto",1939246.91,8373.28,168758.38,600,2116978.57,35867.29,626.69,49385.43,862.9,182807.12,3194.27,272743.7,"41612.25",576.39,133090.46,111.23,0,0,175390.33
"22",1324,"Gobierno Autónomo Municipal de Cliza",4059048.57,15931.33,353091.18,1254.82,4429325.9,75044.65,1311.28,183125.96,3199.78,290737.17,5080.13,558498.97,"90037.94",1269.31,278601.51,180.44,0,0,370089.2
"23",1326,"Gobierno Autónomo Municipal de Tolata",1091999.87,5006.98,95053.98,337.82,1192398.65,20202.43,352.96,39464.93,689.61,88551.85,1547.25,150809.03,"22255.47",299.36,74366.83,61.54,0,0,96983.2
"24",1336,"Gobierno Autónomo Municipal de Arani",2371877.55,9922.88,206379.62,733.57,2588913.62,43863.12,766.46,101870.99,1780,308661.67,5393.3,462335.54,"51495.61",717.82,163064.85,136.62,0,0,215414.9
"25",1341,"Gobierno Autónomo Municipal de Tiraque",7198991.52,27096.79,626130.18,2225.2,7854443.69,133075.32,2325.3,269899.19,4715.98,1306417.43,22827.35,1739260.57,"161.767,54 ",2295.7,496131.88,364.6,0,0,660559.72
"26",1401,"Gobierno Autónomo Municipal de Oruro",42129812.04,150222.38,3663593.9,12930.82,45956559.14,772257.74,13534.3,1974406.03,34568.61,3440509.2,60834.85,6296110.73,"13309224.01",18119.48,0,0,0,0,13327343.49
"27",1406,"Gobierno Autónomo Municipal de Huanuni",3993452.95,15698.1,347387.13,1234.8,4357772.98,73832.35,1290.13,206377.1,3606.12,732763.09,12803.75,1030672.54,"1282375.77",1743.97,0,0,0,0,1284119.74
"28",1501,"Gobierno Autónomo Municipal de Potosí",29826353.48,107527.07,2593727.92,9218.24,32536826.71,551260.91,9632.31,1382109.67,24149.88,2580737.23,45093.76,4592983.76,"5295089.5",5632.95,0,0,0,0,5300722.45
"29",1505,"Gobierno Autónomo Municipal de Uncía",5176228.74,19901.79,450237.26,1600.18,5647967.97,95691.68,1672,210965.33,3686.28,1280103.55,22367.5,1614486.34,"918332.83",970.52,0,0,0,0,919303.35
"30",1507,"Gobierno Autónomo Municipal de Llallagua",7588034.91,28485.29,659960.63,2345.63,8278826.46,140265.46,2450.89,402833.72,7038.77,882573.59,15421.42,1450583.85,"1346534.33",1432.89,0,0,0,0,1347967.22
"31",1519,"Gobierno Autónomo Municipal de Tupiza",7881672.6,29529.12,685494.2,2436.28,8599132.2,145692.32,2545.74,371894.22,6498.22,819668.43,14322.22,1360621.15,"1398969.62",1498.88,0,0,0,0,1400468.5
"32",1530,"Gobierno Autónomo Municipal de Uyuni",3844783.5,15169.8,334459.39,1188.66,4195601.35,71084.71,1242.09,215243.56,3760.97,479060.05,8370.72,778762.1,"681953.04",715.28,0,0,0,0,682668.32
"33",1537,"Gobierno Autónomo Municipal de Villazón",7455821.55,28009.63,648463.45,2304.57,8134599.2,137821.87,2408.22,345015.89,6028.56,810096.83,14154.96,1315526.33,"1323361.72",1417.25,0,0,0,0,1324778.97
"34",1601,"Gobierno Autónomo Municipal de Tarija",31553634.04,113665.92,2743926.15,9752.04,34420978.15,583183.48,10190.14,1170772.32,20457.13,275024.4,4805.58,2064433.05,"13201182.619999999",1632.64,0,0,0,0,13202815.26
"35",1603,"Gobierno Autónomo Municipal de Bermejo",6847983.39,25849.48,595607.88,2116.62,7471557.37,126588.18,2211.92,211337.36,3692.74,750187.44,13108.19,1107125.83,"2865123.14",297.75,0,0,0,0,2865420.89
"36",1604,"Gobierno Autónomo Municipal de Yacuiba",17172173.56,62553.86,1493364.42,5307.48,18733399.32,317393.91,5545.87,575450.16,10055,2392979.74,41813.08,3343237.76,"7184441.7800000003",856.12,0,0,0,0,7185297.9
"37",1606,"Gobierno Autónomo Municipal de Villamontes",4885264.39,18867.58,424935.97,1510.36,5330578.3,90314.26,1578.08,178506.75,3119.11,854648.63,14933.47,1143100.3,"2043993.16",268.89,0,0,0,0,2044262.05
"38",1609,"Gobierno Autónomo Municipal de San Lorenzo",4393811.8,17121.02,382201.05,1358.33,4794492.2,81231.52,1419.41,172058.42,3006.44,1514194.82,26457.85,1798368.46,"1838385.07",242.31,0,0,0,0,1838627.38
