"","Código","Municipio","Cta Principal (Líquido)","Comisión Bancaria...4","SUMI/SSIEP","Comisión Bancaria...6","Total Ejecución...7","Salud (Líquido)","Comisión Bancaria...9","Educación (Líquido)","Comisión Bancaria...11","Infraestructura (Líquido)","Comisiones Bancarias","Total Ejecución...14","Coparticipación","Comisión Bancaria...16","Compensación y nivelación","Comisión Bancaria...18","Renta Digindad","Fondo E Cívica","Total Ejecución...21"
"1",1101,"Gobierno Autónomo Municipal de Sucre",174845620.79,213100.13,25806755.66,31209.72,200896686.3,990050.63,1268.04,1973211.36,2527.2,2595584.37,"3324.36",5565965.96,46582989,7503.4,158690343.4,96.6,88226632.2,"588177.56999999995",294095742.17
"2",1102,"Gobierno Autónomo Municipal de Yotala",6339816.06,9658.25,935898.37,1131.98,7286504.66,43574.98,55.8,97316.83,124.68,398139.42,"509.88",539721.59,1688148.53,271.99,5752547.06,96.6,3198278.28,"21321.8",10660664.26
"3",1201,"Gobierno Autónomo Municipal de La Paz",515734431.84,624810.85,76108607.09,92058.8,592559908.58,3639853.13,4661.76,5676978.22,7270.8,1120877.51,"1435.56",10451076.98,128818593.75,14105.21,154737732.41,2377.76,55366388.19,"369109.25",339308306.57
"4",1204,"Gobierno Autónomo Municipal de Achocalla",11454614.77,15832.87,1690873.48,2045.02,13163366.14,69328.91,88.8,147472.46,188.88,901820.31,"1155",1120054.36,2862365.93,313.44,3438828.22,52.84,1230473.61,"8203.2199999999993",7540237.26
"5",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",572065754.26,692627.64,84438975.84,102111.86,657299469.6,2982191.53,3819.48,6251147.57,8006.28,18362536.63,"23518",27631219.49,143008094.59,15658.76,171782192.75,2639.68,61465027.45,"409766.86",376683380.09
"6",1206,"Gobierno Autónomo Municipal de Viacha",54143792.47,67353.82,7993216.4,9664.64,62214027.33,213795.64,273.84,506384.41,648.6,1960342.46,"2510.7600000000002",2683955.71,13542861.83,1482.86,16268263.91,249.96,5820944.62,"38806.36",35672609.54
"7",1210,"Gobierno Autónomo Municipal de Caranavi",32705115.78,41491.02,4827225.27,5838.13,37579670.2,197572.99,253.08,381306.83,488.4,2067617.35,"2648.12",2649886.77,8172709.52,894.88,9817624.87,150.88,3512856.24,"23419.01",21527655.4
"8",1262,"Gobierno Autónomo Municipal de Laja",15948440,21254.42,2354471.61,2847.03,18327013.06,74839.49,95.88,196318.02,251.4,1058411.03,"1355.52",1331271.34,3987781.38,436.68,4790679.83,73.64,1714176.63,"11427.88",10504576.04
"9",1268,"Gobierno Autónomo Municipal de San Buenaventura",5841949.39,9054.87,862602.05,1043.01,6714649.32,29438.41,37.68,69955.81,89.64,245785.77,"314.76",345622.07,1460482.35,119.28,1754914.63,18.08,627944.91,"4186.3",3847665.55
"10",1301,"Gobierno Autónomo Municipal de Cochabamba",425046914.8,515170.54,62735958.21,75869.82,488373913.37,2372252.62,3038.28,4693853.49,6011.76,1301118.05,"1666.44",8377940.64,13281062.41,9713.51,225912263.11,1418.76,70287559.89,"468583.72",309960601.4
"11",1302,"Gobierno Autónomo Municipal de Quillacollo",92345924.82,113486.21,13630894.41,16483.7,106106789.14,478126.61,612.36,992631.8,1271.28,463891.85,"594.12",1937128.02,2885606.82,2110.41,49091460.37,383.88,15273759.32,"101825.06",67355145.86
"12",1303,"Gobierno Autónomo Municipal de Sipe Sipe",27990503.35,35793.51,4131815.75,4996.54,32163109.15,143783.06,184.2,313622.22,401.64,1018850.33,"1304.8800000000001",1478146.33,874327.81,639.41,14880745.39,183.72,4629867.63,"30865.62",20416629.58
"13",1304,"Gobierno Autónomo Municipal de Tiquipaya",35754059.37,45164.46,5277872.58,6382.27,41083478.68,176268.12,225.72,366847.08,469.8,548284.98,"702.24",1092797.94,1117070.55,816.95,19009661.83,207.84,5914486.87,"39429.78",26081673.82
"14",1305,"Gobierno Autónomo Municipal de Vinto",34937604.06,44173.34,5157815.28,6236.51,40145829.19,144480.41,185.04,317702.11,406.92,673527.28,"862.68",1137164.44,1091943.27,798.6,18582260.79,205.32,5781510.55,"38543.379999999997",25495261.91
"15",1306,"Gobierno Autónomo Municipal de Colcapirhua",34977463.41,44230.92,5162907.94,6243.77,40190846.04,192616.14,246.72,266386.16,341.16,0,"0",459590.18,1092511.96,798.99,18591933.76,205.44,5784520.13,"38563.379999999997",25508533.66
"16",1312,"Gobierno Autónomo Municipal de Sacaba",114202122.33,139861.78,16857786.6,20384.85,131220155.56,540545.68,692.28,823899.43,1055.16,1464227.78,"1875.36",2832295.69,3569393.68,2610.51,60722286.72,452.04,18892428.38,"125949.4",83313120.73
"17",1315,"Gobierno Autónomo Municipal de Punata",19353418.12,25370.55,2856605.88,3454.98,22238849.53,119937.69,153.6,317926.64,407.16,414482.16,"530.88",853438.13,604098.81,441.84,10284303.01,156.84,3199788.48,"21331.95",14110120.93
"18",1316,"Gobierno Autónomo Municipal de Villa Rivero",5479737.61,8617.45,809149.47,978.47,6298483,26873.56,34.44,81746.19,104.64,224463.87,"287.52",333510.22,170805.63,124.92,2914231.89,113.64,906757.22,"6045.1",3998078.4
"19",1317,"Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza)",9142814.86,13042.18,1349626.96,1632.31,10507116.31,58362.95,74.76,138826.19,177.84,307825.75,"394.2",505661.69,285110.6,208.53,4858494.79,125.04,1511670.58,"10077.74",6665687.28
"20",1320,"Gobierno Autónomo Municipal de Tarata",5557592.59,8714.06,820431.7,992.37,6387730.72,39986.87,51.24,113261.86,145.08,342957.51,"439.2",496841.76,173059.29,126.58,2952565.43,113.88,918683.73,"6124.65",4050673.56
"21",1322,"Gobierno Autónomo Municipal de Arbieto",11684255.72,16104.7,1725218.06,2085.91,13427664.39,43304.25,55.44,59625.27,76.32,220711.43,"282.72000000000003",324055.43,364936.62,266.93,6216290.33,132.96,1934118.07,"12894.16",8528639.07
"22",1324,"Gobierno Autónomo Municipal de Cliza",14657900.84,19700.93,2163612.99,2616.76,16843831.52,90604.88,116.04,221096.43,283.2,351020.33,"449.52",663570.4,457421.1,334.58,7789398.55,142.2,2423555.09,"16157.08",10687008.6
"23",1326,"Gobierno Autónomo Municipal de Tolata",3735197.72,6512.69,551540.69,667.16,4293918.26,24391.28,31.2,47647.8,61.08,106912.7,"136.91999999999999",179180.98,116191.14,84.95,1985270.49,108.24,617731.84,"4118.26",2723504.92
"24",1336,"Gobierno Autónomo Municipal de Arani",6411955.51,9747.22,946397.76,1144.89,7369245.38,52957.97,67.8,122993.47,157.56,372661.39,"477.24",549315.43,199639.88,146.01,3404686.22,116.52,1059350.99,"7062.35",4671001.97
"25",1341,"Gobierno Autónomo Municipal de Tiraque",14235477.01,19191.94,2101183.31,2541.36,16358393.62,93179.57,119.36,188981.82,242.04,914755.45,"1171.5999999999999",1198449.84,444151.87,324.77,7563696.39,140.88,2353333.44,"15688.84",10377336.19
"26",1401,"Gobierno Autónomo Municipal de Oruro",178376216.24,217345.75,26329265.85,31839.75,204954667.59,924557.41,1184.16,2370376.35,3035.88,4014987.32,"5142.24",7319283.36,244210034.33,10798.88,0,0,104961563.1,"699743.65",349882139.96
"27",1406,"Gobierno Autónomo Municipal de Huanuni",16629934.45,22079.39,2454885.06,2968.73,19109867.63,89141.19,114.12,249168.59,319.08,884698.55,"1133.04",1224574.57,22767772.71,1006.68,0,0,9785805.97,"65238.64",32619824
"28",1501,"Gobierno Autónomo Municipal de Potosí",127811855.18,156302.76,18865733.76,22814.24,146856705.94,665562.65,852.48,1668684.48,2137.2,3115842.42,"3990.6",5457069.83,105003665.09,5305.92,0,0,45130745.52,"300871.61",150440588.14
"29",1505,"Gobierno Autónomo Municipal de Uncía",14798994.44,19870.51,2184503.92,2641.94,17006010.81,87397.66,111.96,189842.73,243.12,1174710.39,"1504.56",1453810.42,12155240.05,614.28,0,0,5224545.52,"34830.32",17415230.17
"30",1507,"Gobierno Autónomo Municipal de Llallagua",27549496.39,35266.27,4066288.25,4917.89,31655968.8,168822.77,216.2,486359.6,622.92,1056677.11,"1353.36",1714051.96,22625097.68,1143.36,0,0,9724484.39,"64829.919999999998",32415555.35
"31",1519,"Gobierno Autónomo Municipal de Tupiza",30100048.34,38344.39,4442842.91,5373.13,34586608.77,175901.03,225.24,449005.01,575.04,989623.26,"1267.44",1616597.02,24722391.19,1249.32,0,0,10625900.01,"70839.25",35420379.77
"32",1530,"Gobierno Autónomo Municipal de Uyuni",19883316.36,26002.99,2935428.83,3549.53,22848297.71,85823.81,109.92,259873.42,332.88,578391.2,"740.76",925271.99,16342629.4,825.84,0,0,7024283.09,"46828.67",23414567
"33",1537,"Gobierno Autónomo Municipal de Villazón",30090385.11,38330.92,4441572.23,5371.3,34575659.56,166398.65,213.12,416553.55,533.52,978067,"1252.68",1563018.52,24717961.87,1249.08,0,0,10623996.17,"70826.649999999994",35414033.77
"34",1601,"Gobierno Autónomo Municipal de Tarija",138381196.3,169059.41,20426074.53,24700.85,159001031.09,704104.2,901.8,1413527.21,1810.44,332049.54,"425.28",2452818.47,258670737.7,2698.32,0,0,111176765.25,"741178.3",370591379.57
"35",1603,"Gobierno Autónomo Municipal de Bermejo",23195978.09,30012.06,3423566.97,4140.79,26653697.91,152835.68,195.72,255157.27,326.76,905735.72,"1160.04",1315411.19,43332627.63,452.04,0,0,18624568.94,"124163.81",62081812.42
"36",1604,"Gobierno Autónomo Municipal de Yacuiba",62026240.42,76895.3,9154573.78,11071.89,71268781.39,383204.22,490.8,694767.41,889.8,2889154.33,"3700.32",3972206.88,115887963.6,1208.88,0,0,49808810.73,"332058.77",166030041.98
"37",1606,"Gobierno Autónomo Municipal de Villamontes",26806953.91,34358.95,3957591.46,4785.24,30803689.56,109040.6,139.68,215519.37,276,1031856.52,"1321.56",1358153.73,50134926.55,522.96,0,0,21548193.15,"143654.62",71827297.28
"38",1609,"Gobierno Autónomo Municipal de San Lorenzo",15936057.75,21244.09,2352259.31,2844.93,18312406.08,98074.53,125.64,207734,266.04,1828156.93,"2341.44",2136698.58,29777157.41,310.56,0,0,12798435.52,"85323.01",42661226.5
