"","Código","Municipio","Cta Principal (Líquido)","Comisión Bancaria...4","SUMI/SSIEP","Comisión Bancaria...6","Total Ejecución...7","Salud (Líquido)","Comisión Bancaria...9","Educación (Líquido)","Comisión Bancaria...11","Infraestructura (Líquido)","Comisiones Bancarias","Total Ejecución...14","Coparticipación","Comisión Bancaria...16","Compensación y nivelación","Comisión Bancaria...18","Renta Digindad","Fondo E Cívica","Total Ejecución...21"
"1",1101,"Gobierno Autónomo Municipal de Sucre",182907367.83,273022.97,33551421.09,49715.73,216781527.62,0,0,0,0,0,0,0,23105559.15,7508.07,65131391.43,96,37933866.97,"252892.46",126431314.08
"2",1102,"Gobierno Autónomo Municipal de Yotala",6623202.44,11801.02,1215271.25,1800.74,7852075.45,0,0,0,0,0,0,0,836354.73,271.72,2359041.22,96,1374182.69,"9161.23",4579107.59
"3",1201,"Gobierno Autónomo Municipal de La Paz",536727082.14,797304.99,98453262.52,145885.82,636123535.47,0,0,0,0,0,0,0,55349230.19,14128.28,66643881.26,2386.86,23798077.38,"158653.81",145966357.7
"4",1204,"Gobierno Autónomo Municipal de Achocalla",15677056.58,25219.87,2876036.92,4262.29,18582575.66,0,0,0,0,0,0,0,1616432.19,412.52,1499477.16,53.74,670381.38,"4469.21",3791226.2
"5",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",594137433.55,882374.29,108984154.9,161490.24,704165452.98,0,0,0,0,0,0,0,61269631.97,15639.13,73984753.52,2649.77,26355404.62,"175702.66",161803781.67
"6",1206,"Gobierno Autónomo Municipal de Viacha",56526027.32,85753.93,10369044.64,15364.57,66996190.46,0,0,0,0,0,0,0,5828835.98,1487.76,7006517.82,250.92,2505717.53,"16704.77",15359514.78
"7",1210,"Gobierno Autónomo Municipal de Caranavi",35242245.78,54208.1,6464917.66,9579.54,41770951.08,0,0,0,0,0,0,0,3633960.29,927.53,4228294.52,151.44,1554484.27,"10363.24",9428181.2
"8",1262,"Gobierno Autónomo Municipal de Laja",17176164.58,27438.16,3151020.98,4669.06,20359292.78,0,0,0,0,0,0,0,1770908.38,452.04,2063241.43,73.92,757794.26,"5051.96",4597521.99
"9",1268,"Gobierno Autónomo Municipal de San Buenaventura",6098006.36,11022.74,1118932.83,1657.97,7229619.9,0,0,0,0,0,0,0,628481.13,160.44,755755.07,27.12,270380.97,"1802.53",1656607.26
"10",1301,"Gobierno Autónomo Municipal de Cochabamba",442573240.32,657789.95,81182438.53,120294.26,524533763.06,0,0,0,0,0,0,0,4573337.39,9823.51,98418633.55,1441.18,30262807.77,"201752.07",133467795.4
"11",1302,"Gobierno Autónomo Municipal de Quillacollo",96061468.03,144336.65,17621107.85,26110.52,113853023.05,0,0,0,0,0,0,0,992217.8,2131.26,21370259.49,388.28,6569880.87,"43799.23",28978676.93
"12",1303,"Gobierno Autónomo Municipal de Sipe Sipe",29108643.47,45119.47,5339819.07,7912.34,34501494.35,0,0,0,0,0,0,0,300275.63,644.98,6476449.89,184.62,1990998.55,"13273.33",8781827
"13",1304,"Gobierno Autónomo Municipal de Tiquipaya",37744985.45,57916.68,6924000.19,10259.83,44737162.15,0,0,0,0,0,0,0,389530.26,836.7,8356663.98,209.14,2575724.8,"17171.48",11340136.36
"14",1305,"Gobierno Autónomo Municipal de Vinto",36389275.89,55907.71,6675320.24,9891.35,43130395.19,0,0,0,0,0,0,0,375519.33,806.67,8093353.07,206.62,2488530.48,"16590.2",10975006.37
"15",1306,"Gobierno Autónomo Municipal de Colcapirhua",36404682.2,55930.62,6678145.6,9895.57,43148653.99,0,0,0,0,0,0,0,375678.54,806.94,8097039.91,206.74,2489621.57,"16597.48",10979951.18
"16",1312,"Gobierno Autónomo Municipal de Sacaba",120769542.59,180948.39,22153358.69,32826.28,143136675.95,0,0,0,0,0,0,0,1247570.08,2679.8,26723225.74,457.54,8238965.7,"54926.43",36267825.29
"17",1315,"Gobierno Autónomo Municipal de Punata",20226509.54,31958.11,3710552,5498.29,23974517.94,0,0,0,0,0,0,0,208480.82,447.84,4492238.75,157.24,1382345.97,"9215.64",6092886.26
"18",1316,"Gobierno Autónomo Municipal de Villa Rivero",5694654.14,10425.05,1044945.93,1548.44,6751573.56,0,0,0,0,0,0,0,58297.45,125.27,1267561.33,113.34,389666.72,"2597.79",1718361.9
"19",1317,"Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza)",9494981.06,16056.43,1742046.37,2581.22,11255665.08,0,0,0,0,0,0,0,97572.94,209.6,2113301.7,124.94,649620.19,"4330.82",2865160.19
"20",1320,"Gobierno Autónomo Municipal de Tarata",5769582.14,10536.31,1058689.84,1568.73,6840377.02,0,0,0,0,0,0,0,59071.8,126.89,1284236.16,113.58,394792.04,"2631.96",1740972.43
"21",1322,"Gobierno Autónomo Municipal de Arbieto",12214101.45,20085.51,2240820.08,3320.33,14478327.37,0,0,0,0,0,0,0,125674.44,269.93,2713620.24,132.96,834922.52,"5566.16",3680186.25
"22",1324,"Gobierno Autónomo Municipal de Cliza",15333071.94,24707.09,2812939.66,4168.12,18174886.81,0,0,0,0,0,0,0,157908.29,339.21,3404473.33,142.4,1047799.53,"6985.33",4617648.09
"23",1326,"Gobierno Autónomo Municipal de Tolata",3878872.56,7734.56,711873.23,1054.76,4599535.11,0,0,0,0,0,0,0,39531.78,84.9,863469.82,107.84,265461.93,"1769.75",1170426.02
"24",1336,"Gobierno Autónomo Municipal de Arani",6653313.85,11845.62,1220794.36,1808.96,7887762.79,0,0,0,0,0,0,0,68204.97,146.5,1480905.45,116.22,455241.88,"3034.96",2007649.98
"25",1341,"Gobierno Autónomo Municipal de Tiraque",14865296.79,24013.98,2727134.56,4041.02,17620486.35,0,0,0,0,0,0,0,153073.94,328.84,3302336.29,141.08,1016085.62,"6.773,91 ",4478739.68
"26",1401,"Gobierno Autónomo Municipal de Oruro",185527751.31,276905.79,34032083.1,50427.87,219887168.07,0,0,0,0,0,0,0,105194637.46,10801,0,0,45211757.43,"301411.65999999997",150718607.5
"27",1406,"Gobierno Autónomo Municipal de Huanuni",17278402.18,27589.69,3169775.27,4696.91,20480464.05,0,0,0,0,0,0,0,9797389.15,1005.9,0,0,4211701.16,"28078",14038174.21
"28",1501,"Gobierno Autónomo Municipal de Potosí",133959694.17,200493.36,24572853.53,36411.49,158769452.55,0,0,0,0,0,0,0,45362956.84,5323.31,0,0,19488669.39,"129924.44",64986873.98
"29",1505,"Gobierno Autónomo Municipal de Uncía",5417804.04,24832.67,2828481.73,4191.25,18275309.69,0,0,0,0,0,0,0,5221036.9,612.68,0,0,2245250.64,"14968.33",7481868.55
"30",1507,"Gobierno Autónomo Municipal de Llallagua",28781620.68,44634.93,5279832.94,7823.53,34113912.08,0,0,0,0,0,0,0,9746434.77,1143.56,0,0,4189261.38,"27928.39",13964768.1
"31",1519,"Gobierno Autónomo Municipal de Tupiza",31379595.92,48484.48,5756384.17,8529.69,37192994.26,0,0,0,0,0,0,0,10626188.79,1246.87,0,0,4568964.4,"30459.75",15226859.81
"32",1530,"Gobierno Autónomo Municipal de Uyuni",20776215.55,32772.66,3811385.69,5647.62,24626021.52,0,0,0,0,0,0,0,7035559.25,825.56,0,0,3024423.09,"20162.830000000002",10080970.73
"33",1537,"Gobierno Autónomo Municipal de Villazón",31444019.74,48579.9,5768202.37,8547.19,37269349.2,0,0,0,0,0,0,0,10648004.82,1249.4,0,0,4576757.55,"30511.69",15256523.46
"34",1601,"Gobierno Autónomo Municipal de Tarija",143814493.7,215096,26380538.46,39090.08,170449218.24,0,0,0,0,0,0,0,86376466.47,2691.36,0,0,37139909.96,"247599.4",123766667.1
"35",1603,"Gobierno Autónomo Municipal de Bermejo",24160586.04,37787.54,4432187.52,6567.57,28637128.67,0,0,0,0,0,0,0,14511608.29,452.16,0,0,6237026.11,"41580.18",20790666.74
"36",1604,"Gobierno Autónomo Municipal de Yacuiba",64593756.17,97708.5,11848923.94,17557.47,76557946.08,0,0,0,0,0,0,0,38796017,1208.76,0,0,16674901.2,"111166.01",55583292.9
"37",1606,"Gobierno Autónomo Municipal de Villamontes",27915395.26,43351.34,5120939.64,7588.09,33087274.33,0,0,0,0,0,0,0,16766769.37,522.48,0,0,7207786.91,"48051.92",24023130.68
"38",1609,"Gobierno Autónomo Municipal de San Lorenzo",16708388.6,26745.04,3065215.93,4541.97,19804891.54,0,0,0,0,0,0,0,10035773.92,312.6,0,0,4309113.85,"28727.439999999999",14373927.81
"39",1701,"Gobierno Autónomo Municipal de Santa Cruz de La Sierra",1018557649.98,1511272.25,186836384.32,276849.96,1207182156.51,0,0,0,0,0,0,0,68524615.06,14241.02,139651310.35,5435.93,46193771.32,"307958.43",254697332.1
"40",1702,"Gobierno Autónomo Municipal de Cotoca",31873281.69,49216.08,5846941.98,8663.74,37778103.49,0,0,0,0,0,0,0,2143882.25,445.56,4372271.63,263.16,1445761.7,"9638.41",7972262.71
"41",1703,"Gobierno Autónomo Municipal de Porongo (Ayacucho)",10723942.15,17877.41,1967477.64,2915.38,12712212.58,0,0,0,0,0,0,0,721027.44,149.88,1463091.52,151.8,485921.52,"3239.48",2673581.64
"42",1704,"Gobierno Autónomo Municipal de La Guardia",62520277,94636.11,11468581.97,16993.82,74100488.9,0,0,0,0,0,0,0,4205707.36,874.05,8562116,423.24,2834806.11,"18898.71",15622825.47
