"","Código","Municipio","Cta Principal (Líquido)","Comisión Bancaria...4","SUMI/SSIEP","Comisión Bancaria...6","Total Ejecución...7","Salud (Líquido)","Comisión Bancaria...9","Educación (Líquido)","Comisión Bancaria...11","Infraestructura (Líquido)","Comisiones Bancarias","Total Ejecución...14","Coparticipación","Comisión Bancaria...16","Compensación y nivelación","Comisión Bancaria...18","Renta Digindad","Fondo E Cívica","Total Ejecución...21"
"1",1101,"Gobierno Autónomo Municipal de Sucre",138300159.35,236767.51,15366902.83,26088.59,153929918.28,1046353.86,1260.02,2085425.93,2511.4,2743192.81,3303.5,5882047.52,19864736.43,6767.75,123944997.12,105.15,61756543.74,288196.81,205861347
"2",1102,"Gobierno Autónomo Municipal de Yotala",6085099.61,12302.3,676340.65,1148.17,6774890.73,46052.97,55.44,102851.17,123.88,420781.24,506.72,570371.42,873750.81,297.57,5455079.82,96.62,2718080.12,12684.34,9059989.28
"3",1201,"Gobierno Autónomo Municipal de La Paz",508456306.31,865192.35,56495363.82,95913.79,565912776.27,3846848.06,4632.64,5999822.42,7225.44,1184620.84,1426.56,11044575.96,119558910.57,16522.04,143491683.21,2786.68,51342464.9,239598.15,314651965.55
"4",1204,"Gobierno Autónomo Municipal de Achocalla",9682731.43,18410.09,1076077.89,1826.75,10779046.16,73271.65,88.28,155859.08,187.72,953105.98,1147.8,1183660.51,2276695.88,314.84,2733018.74,53.05,977929.43,4563.7,5992575.64
"5",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",416586257.09,709222.01,46287580.64,78583.71,463661643.45,3151785.86,3795.56,6606644.29,7956.12,19402706.6,23371.21,29196259.64,97956477.41,13534.14,117565078.32,2283,42065725.68,196306.79,257799405.34
"6",1206,"Gobierno Autónomo Municipal de Viacha",29863569.22,52671.57,3318393.11,5633.59,33240267.49,225953.98,272.08,535182.07,644.52,2071825.41,2495.04,2836373.1,7022042.17,971.22,8428243.75,163.68,3015724.95,14073.35,18481219.12
"7",1210,"Gobierno Autónomo Municipal de Caranavi",27597183.05,48823.79,3066572.51,5206.15,30717785.5,208809.63,251.44,402991.34,485.36,2183669.11,2629.76,2798836.64,6489121.38,897.51,7788647.91,151.21,2786872.53,13005.41,17078695.95
"8",1262,"Gobierno Autónomo Municipal de Laja",10452508.05,19716.8,1161608.71,1972.02,11635805.58,79095.55,95.24,207482.42,249.88,1118601.95,1347.12,1406872.16,2457702.08,339.92,2950257.04,57.25,1055659.11,4926.45,6468941.85
"9",1268,"Gobierno Autónomo Municipal de San Buenaventura",3973822.65,8717.85,441754.21,749.98,4425044.69,30260.34,36.44,73934.17,89,245847.88,295.88,350463.71,934296.08,129.21,1121909.96,21.83,401462.42,1873.61,2459693.11
"10",1301,"Gobierno Autónomo Municipal de Cochabamba",331382691.51,564569.37,36820517.87,62511.18,368830289.93,2507160.37,3019.28,4960788.34,5974.12,1375111.45,1656.04,8853709.6,16073929.12,9606.6,167900670.64,1411.68,54029706.27,252138.63,238267462.94
"11",1302,"Gobierno Autónomo Municipal de Quillacollo",66788490.5,115360.04,7421161.76,12599.1,74337611.4,505317.3,608.56,1049081.83,1263.4,490272.94,590.44,2047134.47,3239226.63,1935.92,33840174.09,362.2,10889667.75,50818.31,48022184.9
"12",1303,"Gobierno Autónomo Municipal de Sipe Sipe",20083368.52,36067.4,2231704.33,3788.96,22354929.21,151959.85,183.04,331457.66,399.12,1076791.4,1296.76,1562087.83,973702.79,581.87,10176338.63,176.02,3274758.96,15282.03,14440840.3
"13",1304,"Gobierno Autónomo Municipal de Tiquipaya",24220036.56,43090.35,2691333.96,4569.11,26959029.98,183256.69,220.72,387709.31,466.88,528803.5,636.84,1101093.94,1174360.01,701.82,12272242.17,192.59,3949210.48,18429.67,17415136.74
"14",1305,"Gobierno Autónomo Municipal de Vinto",20180791.98,36232.82,2242529.12,3807.27,22463361.19,152696.9,183.88,335769.51,404.36,711830.2,857.24,1201742.09,978428.51,584.74,10225699.87,176.49,3290643.09,15356.12,14510888.82
"15",1306,"Gobierno Autónomo Municipal de Colcapirhua",26904960.44,47648.75,2989659.08,5075.54,29947343.81,203570.03,245.2,281535.28,339,0,0,485689.51,1304597.53,779.59,13632598.49,203.25,4386966.65,20472.36,19345617.87
"16",1312,"Gobierno Autónomo Municipal de Sacaba",75308444.7,129846.83,8367823.57,14208.85,83820323.95,569757.49,686.26,870753.74,1048.6,1520797.21,1833.44,2964876.74,3652972.96,2183.17,38174181.85,396.18,12278376.36,57325.3,54165435.82
"17",1315,"Gobierno Autónomo Municipal de Punata",16752370.43,30412.25,1861593.11,3160.44,18647536.23,126758.48,152.68,336006.84,404.64,438053.36,527.56,901903.56,812126.17,485.38,8488639.43,162.81,2731665.09,12747.72,12045826.6
"18",1316,"Gobierno Autónomo Municipal de Villa Rivero",3752055.08,8341.39,417113.47,708.21,4178218.15,28401.85,34.2,86394.97,104,237228.97,285.72,352449.71,181520.27,108.45,1901838.79,111,612064.36,2856.38,2698499.25
"19",1317,"Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza)",8150869.43,15809.34,905871.11,1538.02,9074087.9,61682.03,74.28,146721.12,176.68,325331.49,391.8,534377.4,394893.44,235.94,4130563,128.44,1329257.21,6203.27,5861281.3
"20",1320,"Gobierno Autónomo Municipal de Tarata",5583879.69,11451.13,620649.67,1053.67,6217034.16,42260.9,50.88,119702.93,144.16,362461.14,436.52,525056.53,270376.54,161.64,2829959.72,118.27,910729.36,4250.04,4015595.57
"21",1322,"Gobierno Autónomo Municipal de Arbieto",6047283.53,12238.02,672139.21,1141.2,6732801.96,45766.88,55.08,63016.12,75.92,233263.09,280.92,342458.01,292854.87,174.96,3064750.25,120.09,986283.68,4602.58,4348786.43
"22",1324,"Gobierno Autónomo Municipal de Cliza",12654800.27,23455.83,1406307.49,2387.64,14086951.23,95757.46,115.28,233669.93,281.4,370982.51,446.76,701253.34,613365.43,366.54,6412545.36,146.48,2063588.08,9630.08,9099641.97
"23",1326,"Gobierno Autónomo Municipal de Tolata",3405303.06,7752.63,378585.46,642.58,3792283.73,25778.42,31.08,50357.52,60.68,112992.72,136.04,189356.46,164700.37,98.47,1726151.81,109.56,555529.18,2592.4,2449181.79
"24",1336,"Gobierno Autónomo Municipal de Arani",7395835.2,14527.52,821977.91,1395.48,8233736.11,55969.65,67.4,129988.05,156.56,393854.33,474.32,580510.31,358269,214.12,3748013.55,125.53,1206154.62,5628.71,5318405.53
"25",1341,"Gobierno Autónomo Municipal de Tiraque",13014371.31,24066.39,1446259.78,2455.43,14487152.91,98479,118.64,199729.06,240.52,966852.49,1164.32,1266584.03,630807.14,376.96,6594727.2,147.92,2122213.52,9903.72,9358176.46
"26",1401,"Gobierno Autónomo Municipal de Oruro",129151290.44,221235.13,14350362.02,24362.97,143747250.56,977136.16,1176.72,2505177.36,3016.88,4243315.92,5110.08,7734933.12,182156500.44,10363.89,0,0,78223765.42,365043.98,260755673.73
"27",1406,"Gobierno Autónomo Municipal de Huanuni",12450338.3,23108.68,1383589.54,2349,13859385.52,94210.54,113.48,263338.52,317.16,935010.52,1125.96,1294116.18,17562091.14,999.79,0,0,7541941.35,35195.71,25140227.99
"28",1501,"Gobierno Autónomo Municipal de Potosí",92971790.23,159812.23,10330417.7,17538.25,103479558.41,703412.5,847.04,1763580.94,2123.8,3293037.53,3965.68,5766967.49,72474534.4,4708.95,0,0,31123007.58,145240.68,103747491.61
"29",1505,"Gobierno Autónomo Municipal de Uncía",12206778.61,22695.1,1356527.42,2302.95,13588304.08,92367.85,111.2,200638.89,241.6,1241514.97,1495.08,1536369.59,9516413.22,619.2,0,0,4086883.51,19072.02,13622987.95
"30",1507,"Gobierno Autónomo Municipal de Llallagua",23434236.06,41756.21,2604022.92,4421.08,26084436.27,178979.68,215.56,514018.45,619,1126169.68,1356.16,1821358.53,18268465.92,1188.56,0,0,7845279.99,36611.35,26151545.82
"31",1519,"Gobierno Autónomo Municipal de Tupiza",24569993.11,43684.48,2730217.98,4635.1,27348530.67,185904.35,223.84,474539.44,571.48,1045902.25,1259.56,1708400.92,19153813.73,1246.16,0,0,8225475.19,38385.53,27418920.61
"32",1530,"Gobierno Autónomo Municipal de Uyuni",11986934.37,22321.99,1332099.98,2261.58,13343617.92,90704.54,109.28,274652.16,330.72,611283.79,736.2,977816.69,9345039.49,607.97,0,0,4013290.36,18728.56,13377666.38
"33",1537,"Gobierno Autónomo Municipal de Villazón",23242593.05,41431.09,2582729.26,4384.72,25871138.12,175861.63,211.76,440242.56,530.2,1033688.83,1244.84,1651779.82,18119075.96,1178.82,0,0,7781127.46,36311.89,25937694.13
"34",1601,"Gobierno Autónomo Municipal de Tarija",98355740.45,168952.73,10928634.05,18553.77,109471881,744145.91,896.12,1493913.12,1799.04,350932.91,422.6,2592109.7,183053457.76,2483.24,0,0,78608946.46,366841.46,262031728.92
