"","Código","Municipio","Cta Principal (Líquido)","Comisión Bancaria...4","SUMI/SSIEP","Comisión Bancaria...6","Total Ejecución...7","Salud (Líquido)","Comisión Bancaria...9","Educación (Líquido)","Comisión Bancaria...11","Infraestructura (Líquido)","Comisiones Bancarias","Total Ejecución...14","Coparticipación","Comisión Bancaria...16","Compensación y nivelación","Comisión Bancaria...18","Renta Digindad","Fondo E Cívica","Total Ejecución...21"
"1",1101,"Gobierno Autónomo Municipal de Sucre",79758984.96,205292.7,8862330.64,22588.97,88849197.27,1313757.82,904.68,2618373,1802.88,3444237.41,"2371.6799999999998",7381447.47,9597286.63,1094.45,67140132.29,1919.8,32887554.13,0,109627987.3
"2",1102,"Gobierno Autónomo Municipal de Yotala",3508514.09,10939.85,390056.07,994.16,3910504.17,57822.22,39.84,129135.57,88.92,528315.22,"363.84",715765.61,422312.31,48.14,2954927.67,84.5,1447474.21,0,4824846.83
"3",1201,"Gobierno Autónomo Municipal de La Paz",293233763.25,749413.06,32581750.59,83046.83,326647973.73,4829940.46,3325.8,7533124.42,5187.12,1487360.05,"1024.08",13859961.93,63793953.08,18631.76,76414367.49,2616.17,27341686.84,0,167571255.34
"4",1204,"Gobierno Autónomo Municipal de Achocalla",5583324.08,16228.26,620590.78,1581.74,6221724.86,91996.8,63.36,195690.05,134.76,1196679.73,"823.92",1485388.62,1215062.54,355,1455384.71,49.81,520782.31,0,3191634.37
"5",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",240250884.29,614366.16,26694764.07,68041.61,267628056.13,3957249.66,2724.96,8295024.38,5711.64,24313812.28,"16741.72",36591264.64,52264922.23,15257.46,62607529.07,2143.66,22401493.71,0,137291346.13
"6",1206,"Gobierno Autónomo Municipal de Viacha",17221925.44,45893.67,1913768.59,4877.86,19186465.56,283698.32,195.36,671952.09,462.72,2601296.79,"1791.12",3559396.4,3742058.18,1078.59,4488286.42,153.71,1605980.62,0,9837557.52
"7",1210,"Gobierno Autónomo Municipal de Caranavi",18906391.77,50187.09,2100931.67,5354.93,21062865.46,311443.49,214.44,601076.48,413.88,3263871.11,"2247.48",4179266.88,4108535.86,1185.7,4927242.47,168.71,1763043.1,0,10800175.84
"8",1262,"Gobierno Autónomo Municipal de Laja",6027266.11,17359.82,669917.72,1707.45,6716251.1,99309.04,68.4,260506.26,179.52,1404469.5,"967.08",1765499.8,1311647.92,383.29,1571071.84,53.79,562175.93,0,3445332.77
"9",1268,"Gobierno Autónomo Municipal de San Buenaventura",2302459.02,7843.91,256047.34,652.92,2567003.19,37766.77,26.04,92828.62,63.84,304972.64,"210",435867.91,497748.29,136.55,597412.05,20.47,214241.28,0,1309558.64
"10",1301,"Gobierno Autónomo Municipal de Cochabamba",191112669.31,489119.3,21234962.49,54125.14,212890876.24,3147885.02,2167.56,6228556.95,4288.68,1726532.04,"1188.8399999999999",11110619.09,14432883.16,1531.74,83674498.87,2770.8,28772738.54,0,126884423.11
"11",1302,"Gobierno Autónomo Municipal de Quillacollo",38517099.04,100172.31,4279898.84,10908.92,42908079.11,634455.11,436.92,1317183.01,906.96,615566.12,"423.84",2568971.96,2908859.34,308.67,16864398.87,558.41,5799135,0,25573260.29
"12",1303,"Gobierno Autónomo Municipal de Sipe Sipe",11581532.42,31516.92,1287058.41,3280.51,12903388.26,190794.35,131.4,416164.27,286.56,1351973.88,"931.08",1960281.54,874692.24,92.84,5071352.37,167.95,1743925.38,0,7690230.78
"13",1304,"Gobierno Autónomo Municipal de Tiquipaya",13967212.86,37597.79,1552134.02,3956.04,15560900.71,230089.35,158.4,486791.46,335.16,663943.41,"457.08",1381774.86,1054858.95,111.98,6115862,202.47,2103094.89,0,9274130.29
"14",1305,"Gobierno Autónomo Municipal de Vinto",11637718.03,31660.11,1293301.34,3296.33,12965975.81,191719.82,132,421578.05,290.28,893743.94,"615.48",1508079.57,878935.41,93.28,5095951.9,168.75,1752384.22,0,7727533.56
"15",1306,"Gobierno Autónomo Municipal de Colcapirhua",15515649.97,41544.45,1724182.65,4394.53,17285771.6,255593.95,175.92,353483.89,243.36,0,"0",609497.12,1171796.99,124.33,6793806.07,224.94,2336215.62,0,10302167.95
"16",1312,"Gobierno Autónomo Municipal de Sacaba",43283284.53,112320.64,4809475.28,12258.6,48217339.05,712959.77,490.92,1093281.71,752.76,1867460.81,"1285.92",3676231.89,3268801.88,346.89,18951152.42,627.46,6516694.9,0,28737623.55
"17",1315,"Gobierno Autónomo Municipal de Punata",9660494.36,26620.32,1073609.54,2736.53,10763460.75,159152.58,109.56,421876.06,290.52,550001.31,"378.72",1131808.75,729615.35,77.39,4230282.49,140.1,1454708.76,0,6414824.09
"18",1316,"Gobierno Autónomo Municipal de Villa Rivero",2163035.15,7486.37,240555.87,613.05,2411690.44,35660.2,24.48,108473.92,74.76,297854.65,"205.08",442293.09,163405.14,17.38,947699.7,31.32,325945.98,0,1437099.52
"19",1317,"Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza)",4699875.58,13976.4,522429.89,1331.63,5237613.5,77445.28,53.4,184216.87,126.84,408472.51,"281.27999999999997",670596.18,354989.26,37.73,2058401.53,68.12,707876.69,0,3121373.33
"20",1320,"Gobierno Autónomo Municipal de Tarata",3219452.8,10203,357938.28,912.31,3588506.39,53060.98,36.48,150293.94,103.44,455090.98,"313.32",658899.14,243187.64,25.78,1410235.92,46.66,484995.87,0,2138491.87
"21",1322,"Gobierno Autónomo Municipal de Arbieto",3486704.99,10884.38,387633.14,988,3886210.51,57463.03,39.6,79120.43,54.48,292875.32,"201.72",429754.58,263370.56,27.92,1527245.57,50.61,525230.89,0,2315925.55
"22",1324,"Gobierno Autónomo Municipal de Cliza",7297362.13,20597.17,811039.32,2067.28,8131065.9,120229.04,82.8,293386.13,201.96,465790.09,"320.76",880010.78,551151.49,58.45,3195645,105.76,1098934.03,0,4845894.73
"23",1326,"Gobierno Autónomo Municipal de Tolata",1963081.94,6952.49,218336.02,556.56,2188927.01,32366.27,22.32,63226.82,43.56,141868.9,"97.68",237625.55,148302.83,15.69,860144.74,28.42,295839.07,0,1304330.75
"24",1336,"Gobierno Autónomo Municipal de Arani",4264435.59,12866.5,474047.31,1208.34,4752557.74,70273.08,48.48,163207.5,112.32,494506.94,"340.56",728488.88,322104.78,34.15,1867755.09,61.79,642320.29,0,2832276.1
"25",1341,"Gobierno Autónomo Municipal de Tiraque",12941820.95,34984.23,1438201.58,3665.66,14418672.42,213199.95,146.76,432405.49,297.72,2093011.42,"1441.2",2740502.54,977421.37,103.74,5666920.33,187.63,1948718.94,0,8593352.01
"26",1401,"Gobierno Autónomo Municipal de Oruro",74482690.84,191844.1,8276075.91,21094.75,82971705.6,1226850.98,844.8,3145395.21,2165.76,5327728.85,"3668.52",9706654.12,97199411.61,1777.03,0,0,41656935.04,0,138858123.68
"27",1406,"Gobierno Autónomo Municipal de Huanuni",7179445.8,20296.71,797937.51,2033.9,7999713.92,118286.83,81.36,330636.72,227.64,1173959.79,"808.32",1624000.66,9371383.37,171.32,0,0,4016351.74,0,13387906.43
"28",1501,"Gobierno Autónomo Municipal de Potosí",53617413.26,138661.02,5957711.84,15185.42,59728971.54,883175.12,608.16,2214277.94,1524.6,4134599.28,"2847",7237032.1,38672813.71,782.66,0,0,16574107.28,0,55247703.65
"29",1505,"Gobierno Autónomo Municipal de Uncía",9421577.52,26011.08,1047063.36,2668.73,10497320.69,153307.65,105.6,337987.6,232.68,2050853.95,"1412.16",2543899.64,6793312.14,137.47,0,0,2911464,0,9704913.61
"30",1507,"Gobierno Autónomo Municipal de Llallagua",13525245.66,36471.62,1503026.53,3831.16,15068574.97,224719.32,154.8,645379.93,444.36,1413971.23,"973.68",2285643.32,9759716.1,197.39,0,0,4182780.22,0,13942693.71
"31",1519,"Gobierno Autónomo Municipal de Tupiza",14169038.18,38112.18,1574558.95,4013.34,15785722.65,233413.63,160.8,595811.71,410.16,1313190.77,"904.32",2143891.39,10220730.89,206.8,0,0,4380357.84,0,14601295.53
"32",1530,"Gobierno Autónomo Municipal de Uyuni",6912193.52,19615.47,768242.72,1958.1,7702009.81,113884.77,78.36,344841.64,237.36,767502.2,"528,36 ",1227072.69,4986742.05,100.88,0,0,2137219.81,0,7124062.74
"33",1537,"Gobierno Autónomo Municipal de Villazón",13403506.12,36160.86,1489499.95,3796.53,14932963.46,220804.44,152.04,552750.02,380.64,1297856.17,"893.76",2072837.07,9668591.98,195.6,0,0,4143726.82,0,13812514.4
"34",1601,"Gobierno Autónomo Municipal de Tarija",56722420.52,146575.43,6302712.36,16064.68,63187772.99,934318.32,643.32,1875694.42,1291.56,440616.61,"303.36",3252867.59,99471190.18,448.77,0,0,42630554.08,0,142102193.03
"35",1603,"Gobierno Autónomo Municipal de Bermejo",12310839.4,33375.82,1368092.4,3487.16,13715794.78,202806.91,139.68,338583.52,233.28,1201875.32,"827.64",1744466.35,21591539.33,97.37,0,0,9253561.29,0,30845197.99
"36",1604,"Gobierno Autónomo Municipal de Yacuiba",30869910.01,80680.59,3430211.24,8743.18,34389545.02,508496.86,350.16,921928.8,634.92,3833793.02,"2639.88",5267843.64,54136517.65,244.27,0,0,23201409.39,0,77338171.31
"37",1606,"Gobierno Autónomo Municipal de Villamontes",8782590.24,24382.84,976064.89,2487.94,9785525.91,144692.46,99.6,285985.65,196.92,1369232.67,"942.84",1801150.14,15404441.29,69.54,0,0,6601948.1,0,22006458.93
"38",1609,"Gobierno Autónomo Municipal de San Lorenzo",7899142.17,22130.96,877903.65,2237.65,8801414.43,130141.05,89.64,275654.82,189.72,2425891.67,"1670.28",2833637.18,13855236.01,62.53,0,0,5938003.05,0,19793301.59
"39",1701,"Gobierno Autónomo Municipal de Santa Cruz de La Sierra",418352608.99,1068324.17,46483844.62,118481.57,466023259.35,6890796.14,4744.8,12282184.91,8457.23,0,"0",19186183.08,33561072.55,3002.66,170315564.39,4530.09,45177693.4,0,249061863.09
"40",1702,"Gobierno Autónomo Municipal de Cotoca",13462279.54,36310.91,1496030.25,3813.11,14998433.81,221772.53,152.64,454706.23,313.08,823000.43,"566.76",1500511.67,1080032.67,96.62,5481221.31,145.84,1453993.22,0,8015489.66
"41",1703,"Gobierno Autónomo Municipal de Porongo (Ayacucho)",4095508.45,12435.96,455277.73,1160.41,4564382.55,67490.65,46.56,130873.96,90.12,689338.8,"474.6",888314.69,328613.02,29.44,1667935.8,44.34,442485.22,0,2439107.82
"42",1704,"Gobierno Autónomo Municipal de La Guardia",14618155.22,39256.99,1624460.8,4140.44,16286013.45,240811.12,165.84,492900.57,339.48,796858.09,"548.64",1531623.74,1172759.17,104.92,5951788.33,158.31,1578815.28,0,8703626.01
"43",1705,"Gobierno Autónomo Municipal de El Torno",14030052.58,37757.87,1559115.88,3974.16,15630900.49,231124.4,159.12,539488.74,371.52,1678719.41,"1155.8399999999999",2451019.03,1125580.45,100.71,5712366.45,151.91,1515306.61,0,8353506.13
"44",1706,"Gobierno Autónomo Municipal de Warnes",16749520.9,44689.45,1861279.12,4744.21,18660233.68,275917.31,190.08,552750.02,380.64,1302942.93,"897.12",2133078.1,1343741.21,120.18,6819477.65,181.43,1808978.97,0,9972499.44
"45",1707,"Gobierno Autónomo Municipal de San Ignacio (San Ignacio de Velasco)",15305692.64,41009.29,1700854.04,4335.27,17051891.24,252135.66,173.64,599040.07,412.56,2367326.65,"1630.08",3220718.66,1227914.63,109.84,6231690.69,165.71,1653061.65,0,9112942.52
"46",1711,"Gobierno Autónomo Municipal de San Carlos",6097868.33,17539.9,677762.22,1727.59,6794898.04,100471.96,69.24,319461.55,219.96,640209.54,"440.88",1060873.13,489246.02,43.75,2483113.8,66.1,658717.75,0,3631187.42
"47",1712,"Gobierno Autónomo Municipal de Yapacaní",11655830.8,31706.38,1295313.8,3301.6,12986152.58,192018.19,132.12,418945.61,288.48,1623716.43,"1118.04",2236218.87,935116.02,83.64,4745800.4,126.24,1258916.45,0,6940042.75
"48",1716,"Gobierno Autónomo Municipal de Portachuelo",6063121.62,17451.12,673901.64,1717.75,6756192.13,99899.65,68.88,303567.94,209.04,353061.94,"243.12",757050.57,486458.59,43.5,2468968.22,65.69,654965.48,0,3610501.4
"49",1723,"Gobierno Autónomo Municipal de Camiri",11418889.06,31102.43,1268986.83,3234.38,12722212.7,188115.47,129.6,419839.66,289.08,206655.04,"142.32",815171.17,916108.13,81.96,4649339.4,123.63,1233329.32,0,6798982.44
"50",1734,"Gobierno Autónomo Municipal de Montero",29695552.12,77687.22,3299727.01,8410.63,33081376.98,489153.75,336.84,1079623.12,743.4,309403.9,"213",1879474.01,2382295.67,213.2,12089918.76,321.56,3207007.88,0,17679757.07
"51",1735,"Gobierno Autónomo Municipal de General Agustín Saavedra",6131136.19,17624.56,681458.68,1736.84,6831956.27,101019.94,69.48,192511.4,132.6,770746.44,"530.76",1065010.62,491914.84,43.99,2496657.48,66.38,662310.37,0,3650993.06
"52",1736,"Gobierno Autónomo Municipal de Mineros",7274974.71,20540.39,808551.82,2061.04,8106127.96,120831.81,83.16,352043.51,242.4,499696.24,"344.28",973241.4,583842.86,52.2,2976628.66,79.19,786085.11,0,4346688.02
"53",1739,"Gobierno Autónomo Municipal de San Julián",14054448.5,37820.11,1561826.88,3981,15658076.49,231526.21,159.36,485798.11,334.56,2516675.43,"1732.92",3236226.59,1127537.58,100.83,5722298.49,152.28,1517940.96,0,8368030.14
"54",1743,"Gobierno Autónomo Municipal de Puerto Suárez",5619918.9,16321.64,624656.95,1592.15,6262489.64,92599.57,63.72,269545.71,185.64,31643.03,"21.72",394059.39,450904.06,40.38,2288536.52,60.85,607104.43,0,3346646.24
"55",1744,"Gobierno Autónomo Municipal de Puerto Quijarro",4767520.5,14148.94,529945.82,1350.79,5312966.05,78559.55,54,134748.06,92.76,23324.41,"15.96",236794.74,382523.05,34.25,1941517.79,51.66,515054.93,0,2839181.68
"56",1745,"Gobierno Autónomo Municipal de Ascención de Guarayos",6276036.49,17994.01,697558.84,1778.14,6993367.48,103406.59,71.16,235275.07,162,1228854.9,"846.12",1568615.84,503539,45.07,2555647.68,67.95,677958.21,0,3737257.91
"57",1753,"Gobierno Autónomo Municipal de Fernández Alonso",4257251.16,12848.04,473249.28,1206.09,4744554.57,69183.25,47.76,65014.81,44.76,728622.04,"501.72",863414.34,341421.15,30.61,1719478.14,45.74,459698.48,0,2520674.12
"58",1756,"Gobierno Autónomo Municipal de Colpa Bélgica",2316806.97,7878.24,257641.6,656.73,2582983.54,38193.01,26.28,13956.61,9.6,123401.65,"84.96",175672.11,185920.41,16.58,943801.3,25.14,250402.22,0,1380165.65
"59",1801,"Gobierno Autónomo Municipal de Trinidad",29555826.6,77331.11,3284202.21,8370.99,32925730.91,486852.36,335.16,1020419.51,702.6,3711446.24,"2555.7600000000002",5222311.63,41691143.35,12509.48,0,0,17869054.36,0,59572707.19
"60",1803,"Gobierno Autónomo Municipal de Riberalta",28082426.89,73575.69,3120491.19,7953.7,31284447.47,462583.65,318.48,1082901.19,745.68,6339643.33,"4365.3599999999997",7890557.69,39615968.48,11896.9,0,0,16978316.82,0,56606182.2
"61",1805,"Gobierno Autónomo Municipal de Puerto Guayaramerín",14947877.7,40097.27,1661096.56,4233.83,16653305.36,246242.08,169.56,559206.75,385.08,1671669.31,"1151.04",2478823.82,21088283.84,6332.77,0,0,9037880.52,0,30132497.13
"62",1807,"Gobierno Autónomo Municipal de Puerto Rurrenabaque",5050297.93,14869.5,561365.71,1430.68,5627963.82,83217.24,57.36,187196.92,128.88,1124675.18,"774.48",1396050.06,7123477.79,2128.22,0,0,3054340.52,0,10179946.53
"63",1808,"Gobierno Autónomo Municipal de San Borja",12700074.44,34368.05,1411340.72,3597.22,14149380.43,209218.12,144.12,413730.55,285,3706482.43,"2552.16",4332412.38,17914304.21,5368.85,0,0,7678980.37,0,25598653.43
"64",1901,"Gobierno Autónomo Municipal de Cobija",8249933.86,23025.22,916880.59,2337.02,9192176.69,135919.03,93.6,258817.46,178.44,2233592.47,"1538.04",2630139.04,80339261.71,656.22,0,0,34431156.6,0,114771074.53
