"","Código","Municipio","Cta Principal (Líquido)","Comisión Bancaria...4","SUMI/SSIEP","Comisión Bancaria...6","Total Ejecución...7","Salud (Líquido)","Comisión Bancaria...9","Educación (Líquido)","Comisión Bancaria...11","Infraestructura (Líquido)","Comisiones Bancarias","Total Ejecución...14","Coparticipación","Comisión Bancaria...16","Compensación y nivelación","Comisión Bancaria...18","Renta Digindad","Fondo E Cívica","Total Ejecución...21"
"1",1101,"Gobierno Autónomo Municipal de Sucre",84680341.06,234963.36,9409121.8,25911.89,94350338.11,556685.33,793.44,1109496.57,1581.24,1459444.31,2079.96,3130080.85,8665942.52,666.81,73018226.83,622.25,"21449664.239999998",0,103135122.65
"2",1102,"Gobierno Autónomo Municipal de Yotala",3725341.62,12021.04,414121.93,1140.5,4152625.09,24501.29,34.92,54719.28,78,223865.67,319.08,303518.24,381339.67,29.32,3219134.26,34.07,"944060.6",0,4544597.92
"3",1201,"Gobierno Autónomo Municipal de La Paz",311326161.88,859124.63,34591990.92,95263.27,346872540.7,2046615.31,2916.84,3192049.25,4549.32,630246.67,898.2,5877275.59,63972248.91,13798.61,78579132.76,2223.52,"24302822.920000002",0,166870226.72
"4",1204,"Gobierno Autónomo Municipal de Achocalla",5928163.93,18087.33,658880.16,1814.37,6606945.79,38982.27,55.56,82920.75,118.2,507075.21,722.64,629874.63,1218452.54,262.9,1496629.17,42.29,"462900.29",0,3178287.19
"5",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",255074326.42,704212.49,28341787.11,78050.58,284198376.6,1676825.59,2389.8,3514893.01,5009.4,10302615.69,14683.32,15516416.81,52411729.36,11298.71,64381159.2,1821.57,"19911702.579999998",0,136717711.42
"6",1206,"Gobierno Autónomo Municipal de Viacha",18284847.9,52116.53,2031845.08,5595.5,20374405.01,120212.94,171.36,284729.67,405.84,1102260.75,1570.92,1509351.48,3753976.69,797.14,4615451.44,130.58,"1427485.56",0,9797841.41
"7",1210,"Gobierno Autónomo Municipal de Caranavi",20073242.98,57041.48,2230555.66,6142.72,22366982.84,131969.54,188.04,254697.21,363,1383016.77,1971.12,1772205.68,4121473.11,876.5,5066842.69,143.36,"1567091.22",0,10756426.88
"8",1262,"Gobierno Autónomo Municipal de Laja",6399496.38,19385.51,711250.54,1958.77,7132091.2,42080.71,60,110385.61,157.32,595123.05,848.16,748654.85,1315306.44,283.82,1615586.59,45.65,"499693.5",0,3430916
"9",1268,"Gobierno Autónomo Municipal de San Buenaventura",2432639.16,8433.05,270485.19,744.96,2712302.36,16003.11,22.8,39334.74,56.04,129227.63,184.2,184828.52,497880.11,99.4,614357.91,17.41,"190031.19",0,1302386.02
"10",1301,"Gobierno Autónomo Municipal de Cochabamba",202904364.54,560541.35,22545124.78,62087.04,226072117.71,1333869.38,1901.04,2639258.25,3761.4,731592.25,1042.68,4711425,16215463.55,998.12,86450192.34,1599.87,"19841418.84",0,122509672.72
