"","Ent,","Entidad","Fecha de Datos","Ppto, Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Autónomo Municipal de Sucre",2017-12-31,667290434,753428541.48,640673243.49,640673243.49,640603543.49,0,69700
"2",1102,"Gobierno Autónomo Municipal de Yotala",2017-12-31,14126680,22149745.13,14142332.93,14142332.93,14127332.93,0,15000
"3",1103,"Gobierno Autónomo Municipal de Poroma",2017-12-31,20170361,33529427.03,25866378.68,25866378.68,25861292.23,0,5086.45
"4",1104,"Gobierno Autónomo Municipal de Villa Azurduy",2017-12-31,16844116,32911485.86,24371052.09,24371052.09,24371052.09,0,0
"5",1105,"Gobierno Autónomo Municipal de Tarvita (Villa Orías)",2017-12-31,19488733,33400024.91,27775279.59,27775279.59,27775279.59,0,0
"6",1106,"Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya)",2017-12-31,19876793,30393149.14,23225695.2,23225695.2,23225695.2,0,0
"7",1107,"Gobierno Autónomo Municipal de Presto",2017-12-31,17258275,27001284.81,18864962.43,18864962.43,18864653.43,0,309
"8",1108,"Gobierno Autónomo Municipal de Villa Mojocoya",2017-12-31,13941025,22684866.93,17813820.84,17813820.84,17616979.21,0,196841.63
"9",1109,"Gobierno Autónomo Municipal de Icla",2017-12-31,12519910,21073831.96,17075384.41,17075384.41,17075384.41,0,0
"10",1110,"Gobierno Autónomo Municipal de Padilla",2017-12-31,15709161,25896008.17,22273184.75,22273184.75,22273184.75,0,0
"11",1111,"Gobierno Autónomo Municipal de Tomina",2017-12-31,12253063,26822872.98,18710751.71,18710751.71,18710751.71,0,0
"12",1112,"Gobierno Autónomo Municipal de Sopachuy",2017-12-31,12789937,20634923.56,16037535.99,16037535.99,15735847.27,0,301688.72
"13",1113,"Gobierno Autónomo Municipal de Villa Alcalá",2017-12-31,5699498,15580317.67,7191325.67,7191325.67,7191325.67,0,0
"14",1114,"Gobierno Autónomo Municipal de El Villar",2017-12-31,6645260,17098824.49,11772749.36,11772749.36,11772749.36,0,0
"15",1115,"Gobierno Autónomo Municipal de Monteagudo",2017-12-31,35951172,76112924.4,53726639.05,53726639.05,53726639.05,0,0
"16",1116,"Gobierno Autónomo Municipal de San Pablo de Huacareta",2017-12-31,20826339,32898765.44,22160610.67,22160610.67,22027257.28,0,133353.39
"17",1117,"Gobierno Autónomo Municipal de Tarabuco",2017-12-31,23747992,36765352.14,26767221.78,26767221.78,26767221.78,0,0
"18",1118,"Gobierno Autónomo Municipal de Yamparáez",2017-12-31,12638498,21472526.72,15329065.83,15329065.83,15153770.5,0,175295.33
"19",1119,"Gobierno Autónomo Municipal de Camargo",2017-12-31,22578449,39844325.72,27582220.13,27582220.13,27492197.73,0,90022.4
"20",1120,"Gobierno Autónomo Municipal de San Lucas",2017-12-31,42388844,65336069.16,47655960.84,47655960.84,46318381.37,0,1337579.47
"21",1121,"Gobierno Autónomo Municipal de Incahuasi",2017-12-31,16427596,25388347.27,18556448.21,18556448.21,18556448.21,0,0
"22",1122,"Gobierno Autónomo Municipal de Villa Serrano",2017-12-31,14903669,25569096.2,17470365.6,17470365.6,17470254.6,0,111
"23",1123,"Gobierno Autónomo Municipal de Camataqui (Villa Abecia)",2017-12-31,4739034,12807159.85,8288826.34,8288826.34,8288826.34,0,0
"24",1124,"Gobierno Autónomo Municipal de Culpina",2017-12-31,25781694,48390144.28,38758201.86,38758201.86,38758031.86,0,170
"25",1125,"Gobierno Autónomo Municipal de Las Carreras",2017-12-31,5393923,12094667.24,6598945.58,6598945.58,6598945.58,0,0
"26",1126,"Gobierno Autónomo Municipal de Villa Vaca Guzmán",2017-12-31,14596605,24432840.3,14626230.91,14626230.91,14611768.66,0,14462.25
"27",1127,"Gobierno Autónomo Municipal de Villa de Huacaya",2017-12-31,7937867,16991450.2,7883025.59,7883025.59,7877315.59,0,5710
"28",1128,"Gobierno Autónomo Municipal de Machareti",2017-12-31,13158179,23999172.22,11677187.83,11677187.83,11497994.61,0,179193.22
"29",1129,"Gobierno Autónomo Municipal de Villa Charcas",2017-12-31,20555475,36483682.89,26806126.87,26806126.87,26806126.87,0,0
"30",1201,"Gobierno Autónomo Municipal de La Paz",2017-12-31,1827307583,2067800951.63,1874928392.8,1874928392.8,1777367555.95,0,97560836.85
"31",1202,"Gobierno Autónomo Municipal de Palca",2017-12-31,24415357,34527968.05,28634026.72,28634026.72,27327285.05,0,1306741.67
"32",1203,"Gobierno Autónomo Municipal de Mecapaca",2017-12-31,18263425,35866713.29,30672428.25,30672428.25,30666678.25,0,5750
"33",1204,"Gobierno Autónomo Municipal de Achocalla",2017-12-31,43365461,56992691.81,44305543.48,44305543.48,44305543.48,0,0
"34",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",2017-12-31,1412118580,1634473248.81,1389504604.69,1389504604.69,1301705299.92,0,87799304.77
"35",1206,"Gobierno Autónomo Municipal de Viacha",2017-12-31,123623820,189893490.14,151658536.92,151658536.92,149915630.95,0,1742905.97
"36",1207,"Gobierno Autónomo Municipal de Guaqui",2017-12-31,6779611,17803653.49,13674318.5,13674318.5,13513475.2,0,160843.3
"37",1208,"Gobierno Autónomo Municipal de Tiahuanacu",2017-12-31,11561583,24485300.88,15083449.68,15083449.68,14094461.41,0,988988.27
"38",1209,"Gobierno Autónomo Municipal de Desaguadero",2017-12-31,10281652,19199827.1,15905847.97,15905847.97,15902071.97,0,3776
"39",1210,"Gobierno Autónomo Municipal de Caranavi",2017-12-31,80587734,118708554.23,82929134.01,82929134.01,82874634.01,0,54500
"40",1211,"Gobierno Autónomo Municipal de Sica Sica (Villa Aroma)",2017-12-31,35660199,47381162.58,41492724.61,41492724.61,38593543.79,0,2899180.82
"41",1212,"Gobierno Autónomo Municipal de Umala",2017-12-31,8433004,16747250.88,13304440.75,13304440.75,13230659.65,0,73781.1
"42",1213,"Gobierno Autónomo Municipal de Ayo Ayo",2017-12-31,7542623,20512391.48,11121507.61,11121507.61,11121507.61,0,0
"43",1214,"Gobierno Autónomo Municipal de Calamarca",2017-12-31,12237416,18315106.8,17002142.38,17002142.38,17002142.38,0,0
"44",1215,"Gobierno Autónomo Municipal de Patacamaya",2017-12-31,21478638,37117624.86,26035448.65,26035448.65,25748600.26,0,286848.39
"45",1216,"Gobierno Autónomo Municipal de Colquencha",2017-12-31,13266758,16893508.45,10623184.18,10623184.18,10559502.38,0,63681.8
"46",1217,"Gobierno Autónomo Municipal de Collana",2017-12-31,4803452,10959613.84,7278291.74,7278291.74,7278291.74,0,0
"47",1218,"Gobierno Autónomo Municipal de Inquisivi",2017-12-31,14837120,24794827.06,20666947.27,20666947.27,20664758.37,0,2188.9
"48",1219,"Gobierno Autónomo Municipal de Quime",2017-12-31,9733378,16116638.45,13683706.27,13683706.27,13681145.97,0,2560.3
"49",1220,"Gobierno Autónomo Municipal de Cajuata",2017-12-31,13963718,33493056.65,22789582.33,22789582.33,22768359.85,0,21222.48
"50",1221,"Gobierno Autónomo Municipal de Colquiri",2017-12-31,23970904,61491334.25,40586753.04,40586753.04,40586753.04,0,0
"51",1222,"Gobierno Autónomo Municipal de Ichoca",2017-12-31,7262401,16120011.36,7317969.44,7317969.44,7226025.1,0,91944.34
"52",1223,"Gobierno Autónomo Municipal de Villa Libertad Licoma",2017-12-31,7935411,29321599.88,18053172.22,18047403.42,16774999.01,5768.8,1272404.41
"53",1224,"Gobierno Autónomo Municipal de Achacachi",2017-12-31,64571158,78531870.13,53920192.5,53918091.2,53858817.65,2101.3,59273.55
"54",1225,"Gobierno Autónomo Municipal de Ancoraimes",2017-12-31,12167972,20109384.81,17249662.5,17249662.5,17178376.5,0,71286
"55",1226,"Gobierno Autónomo Municipal de Sorata",2017-12-31,32429570,49784157.87,38941690.95,38941690.95,38852202.18,0,89488.77
"56",1227,"Gobierno Autónomo Municipal de Guanay",2017-12-31,17637388,26500294.17,18955220.39,18955220.39,18955220.39,0,0
