"","Ent,","Entidad","Fecha de Datos","Ppto, Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"51",1222,"Gobierno Autónomo Municipal de Ichoca",2021-03-31,6190003,6237731,376712.08,376712.08,376712.08,0,0
"52",1223,"Gobierno Autónomo Municipal de Villa Libertad Licoma",2021-03-31,4471133,4486505,210424.95,210424.95,131448.57,0,78976.38
"53",1224,"Gobierno Autónomo Municipal de Achacachi",2021-03-31,36016711,36132619,7848446.91,7093204.33,7060245.33,755242.58,32959
"54",1225,"Gobierno Autónomo Municipal de Ancoraimes",2021-03-31,11244537,12327889.97,1625290.75,1625290.75,1622090.75,0,3200
"55",1226,"Gobierno Autónomo Municipal de Sorata",2021-03-31,26079903,26186600.35,5743453.68,5743453.68,5710929.38,0,32524.3
"56",1227,"Gobierno Autónomo Municipal de Guanay",2021-03-31,16196909,16199949,5273649.96,5273649.96,5248138.62,0,25511.34
"57",1228,"Gobierno Autónomo Municipal de Tacacoma",2021-03-31,6188980,10198814.46,1566537.78,1566537.78,1496638.78,0,69899
"58",1229,"Gobierno Autónomo Municipal de Tipuani",2021-03-31,9521400,10608427.65,2553590.74,2374001.79,2325551.79,179588.95,48450
"59",1230,"Gobierno Autónomo Municipal de Quiabaya",2021-03-31,2235504,2235504,305794.6,305794.6,286086.43,0,19708.17
"60",1231,"Gobierno Autónomo Municipal de Combaya",2021-03-31,2827913,4963047.31,1545352.9,1545352.9,1545352.9,0,0
"61",1232,"Gobierno Autónomo Municipal de Copacabana",2021-03-31,13212976,14138759,1474207.84,1474207.84,1474207.84,0,0
"62",1233,"Gobierno Autónomo Municipal de San Pedro de Tiquina",2021-03-31,4793044,6465554.88,954584.7,954584.7,915510.67,0,39074.03
"63",1234,"Gobierno Autónomo Municipal de Tito Yupanqui",2021-03-31,4748372,4748372,816621.49,816621.49,745007.29,0,71614.2
"64",1235,"Gobierno Autónomo Municipal de Chuma",2021-03-31,12010062,18866610.71,3667253.66,3667253.66,3667253.66,0,0
"65",1236,"Gobierno Autónomo Municipal de Ayata",2021-03-31,6364825,6367835,1188171.89,1188171.89,1188171.89,0,0
"66",1237,"Gobierno Autónomo Municipal de Aucapata",2021-03-31,4196632,4245444.85,908195.13,908195.13,908195.13,0,0
"67",1238,"Gobierno Autónomo Municipal de Corocoro",2021-03-31,13081067,13242142,381188.9,381188.9,381188.9,0,0
"68",1239,"Gobierno Autónomo Municipal de Caquiaviri",2021-03-31,11086767,11091456,725956.94,725956.94,725956.94,0,0
"69",1240,"Gobierno Autónomo Municipal de Calacoto",2021-03-31,8560475,8627275,762782.36,762782.36,762782.36,0,0
"70",1241,"Gobierno Autónomo Municipal de Comanche",2021-03-31,6627493,10827158.59,2051554.32,2051554.32,2051554.32,0,0
"71",1242,"Gobierno Autónomo Municipal de Charaña",2021-03-31,2866472,2866472,18879.02,18879.02,5630.1,0,13248.92
"72",1243,"Gobierno Autónomo Municipal de Waldo Ballivián",2021-03-31,3827673,4561174.29,497527.62,497527.62,497527.62,0,0
"73",1244,"Gobierno Autónomo Municipal de Nazacara de Pacajes",2021-03-31,528241,528241,16758.8,16758.8,12588.8,0,4170
"74",1245,"Gobierno Autónomo Municipal de Santiago de Callapa",2021-03-31,6126672,6919046.53,1256218.77,1256218.77,1256218.77,0,0
"75",1246,"Gobierno Autónomo Municipal de Puerto Acosta",2021-03-31,8900119,10927070.81,3177429.9,3177429.9,3177429.9,0,0
"76",1247,"Gobierno Autónomo Municipal de Mocomoco",2021-03-31,15864648,17965821.1,3913735.06,3913735.06,3913735.06,0,0
"77",1248,"Gobierno Autónomo Municipal de Carabuco",2021-03-31,12845018,12957126.9,1229604.46,1229604.46,1229604.46,0,0
"78",1249,"Gobierno Autónomo Municipal de Apolo",2021-03-31,16367429,21578077.18,2359514.74,2359514.74,2359514.74,0,0
"79",1250,"Gobierno Autónomo Municipal de Pelechuco",2021-03-31,6605845,6606311,257810.77,257810.77,185921.66,0,71889.11
"80",1251,"Gobierno Autónomo Municipal de Luribay",2021-03-31,10333488,10333488,2127800.78,2126694.19,2126694.19,1106.59,0
"81",1252,"Gobierno Autónomo Municipal de Sapahaqui",2021-03-31,10408999,12562260.83,2400110.59,2400110.59,2158310.65,0,241799.94
"82",1253,"Gobierno Autónomo Municipal de Yaco",2021-03-31,8963234,9038186,458917.63,458917.63,458917.63,0,0
"83",1254,"Gobierno Autónomo Municipal de Malla",2021-03-31,4296790,5864116.62,414763.17,414763.17,409825.17,0,4938
"84",1255,"Gobierno Autónomo Municipal de Cairoma",2021-03-31,10036631,11027738.34,1373119.72,1373119.72,1329119.72,0,44000
"85",1256,"Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad)",2021-03-31,14465329,14678386.24,54391.04,54391.04,54391.04,0,0
"86",1257,"Gobierno Autónomo Municipal de Irupana (Villa de Lanza)",2021-03-31,14327706,17761111.2,6756911.21,6756911.21,6515221.15,0,241690.06
"87",1258,"Gobierno Autónomo Municipal de Yanacachi",2021-03-31,5448525,5450988,1094212.32,1094212.32,1094212.32,0,0
"88",1259,"Gobierno Autónomo Municipal de Palos Blancos",2021-03-31,21883782,35736776.69,2737537.67,2737537.67,2706631.49,0,30906.18
"89",1260,"Gobierno Autónomo Municipal de La Asunta",2021-03-31,36764108,50158805.8,3387410.32,3387410.32,3251592.29,0,135818.03
"90",1261,"Gobierno Autónomo Municipal de Pucarani",2021-03-31,26825215,30494470.83,5913023.43,5913023.43,5890308.19,0,22715.24
"91",1262,"Gobierno Autónomo Municipal de Laja",2021-03-31,22145314,25298186.52,4078684.64,4078684.64,3981042.79,0,97641.85
"92",1263,"Gobierno Autónomo Municipal de Batallas",2021-03-31,17027578,16527578,877367.81,877367.81,871947.81,0,5420
"93",1264,"Gobierno Autónomo Municipal de Puerto Pérez",2021-03-31,5141447,5141447,13448,13448,13448,0,0
"94",1265,"Gobierno Autónomo Municipal de Coroico",2021-03-31,17090385,21585992.81,2222729.39,2222729.39,2218464.99,0,4264.4
"95",1266,"Gobierno Autónomo Municipal de Coripata",2021-03-31,17049475,19306611.71,3037983.92,3037983.92,3033613.92,0,4370
"96",1267,"Gobierno Autónomo Municipal de Ixiamas",2021-03-31,9921652,12297804.1,384409.73,384409.73,384409.73,0,0
"97",1268,"Gobierno Autónomo Municipal de San Buenaventura",2021-03-31,9253113,9253113,0,0,0,0,0
"98",1269,"Gobierno Autónomo Municipal de General Juan José Pérez (Charazani)",2021-03-31,10332009,10642683,1713894.47,1664394.47,1664394.47,49500,0
"99",1270,"Gobierno Autónomo Municipal de Curva",2021-03-31,2583296,2592485,18377.79,18377.79,18377.79,0,0
"100",1271,"Gobierno Autónomo Municipal de San Pedro de Curahuara",2021-03-31,6899922,8005998.59,1276591.79,1276591.79,1271841.79,0,4750
"101",1272,"Gobierno Autónomo Municipal de Papel Pampa",2021-03-31,6548362,7719224.33,879330.5,879330.5,879330.5,0,0
"102",1273,"Gobierno Autónomo Municipal de Chacarilla",2021-03-31,1625168,1625168,319406.75,279960.75,277058.75,39446,2902
"103",1274,"Gobierno Autónomo Municipal de Santiago de Machaca",2021-03-31,4712156,4712156,30180.97,30180.97,0,0,30180.97
"104",1275,"Gobierno Autónomo Municipal de Catacora",2021-03-31,2190478,2166794,0,0,0,0,0
"105",1276,"Gobierno Autónomo Municipal de Mapiri",2021-03-31,13132947,13199841,1626564.53,1626564.53,1604671.25,0,21893.28
"106",1277,"Gobierno Autónomo Municipal de Teoponte",2021-03-31,7750262,7750262,0,0,0,0,0
"107",1278,"Gobierno Autónomo Municipal de San Andrés de Machaca",2021-03-31,4881226,6964318.69,1206114.63,1206114.63,1184354.63,0,21760
"108",1279,"Gobierno Autónomo Municipal de Jesús de Machaca",2021-03-31,16370775,17219765.3,3594386.25,3594386.25,3554386.25,0,40000
"109",1280,"Gobierno Autónomo Municipal de Taraco",2021-03-31,7270946,10040829.51,2001839.97,2001839.97,2001839.97,0,0
"110",1281,"Gobierno Autónomo Municipal de Huarina",2021-03-31,6461821,6461821,617376.16,617376.16,617376.16,0,0
"111",1282,"Gobierno Autónomo Municipal de Santiago de Huata",2021-03-31,6544258,6544258,550233.02,550233.02,514233.02,0,36000
"112",1283,"Gobierno Autónomo Municipal de Escoma",2021-03-31,5589726,8019905.58,1739886.19,1739886.19,1739886.19,0,0
"113",1284,"Gobierno Autónomo Municipal de Humanata",2021-03-31,4523989,4660491.85,368964.82,368964.82,368964.82,0,0
