"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Autónomo Municipal de Sucre",2015-12-31,909200878,1029523790.34,762160858.4,762160858.4,761618379.28,0,542479.12
"2",1102,"Gobierno Autónomo Municipal de Yotala",2015-12-31,19806757,31302241.24,20314813.51,20314813.51,20018543.26,0,296270.25
"3",1103,"Gobierno Autónomo Municipal de Poroma",2015-12-31,35889324,41052979.39,34682343.17,34682343.17,33493223.46,0,1189119.71
"4",1104,"Gobierno Autónomo Municipal de Villa Azurduy",2015-12-31,20971806,36671797.59,26016442.55,26016442.55,26016442.55,0,0
"5",1105,"Gobierno Autónomo Municipal de Tarvita (Villa Orías)",2015-12-31,24794051,31603153.35,28245353.67,28245353.67,27930362.24,0,314991.43
"6",1106,"Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya)",2015-12-31,24123845,30623968.65,23645706.12,23645706.12,23645706.12,0,0
"7",1107,"Gobierno Autónomo Municipal de Presto",2015-12-31,27535413,37770710.79,27157455.41,27157455.41,27143991.81,0,13463.6
"8",1108,"Gobierno Autónomo Municipal de Villa Mojocoya",2015-12-31,15291762,19784557.45,16187274.49,16187274.49,16108820.29,0,78454.2
"9",1109,"Gobierno Autónomo Municipal de Icla",2015-12-31,17105893,20711983.93,18077365.56,18077365.56,16823716.3,0,1253649.26
"10",1110,"Gobierno Autónomo Municipal de Padilla",2015-12-31,21413078,33264450.92,27056612.08,27056612.08,27056612.08,0,0
"11",1111,"Gobierno Autónomo Municipal de Tomina",2015-12-31,18622767,27660597.57,24313382.13,24313382.13,23161450.39,0,1151931.74
"12",1112,"Gobierno Autónomo Municipal de Sopachuy",2015-12-31,14321850,25114282.83,19929425.12,19929425.12,19329325.09,0,600100.03
"13",1113,"Gobierno Autónomo Municipal de Villa Alcalá",2015-12-31,12169194,20460200.28,15558813.56,15558813.56,15558813.56,0,0
"14",1114,"Gobierno Autónomo Municipal de El Villar",2015-12-31,10538224,15799245.56,11937329.46,11929696.14,11919482.27,7633.32,10213.87
"15",1115,"Gobierno Autónomo Municipal de Monteagudo",2015-12-31,51040423,79340813.63,58010315.27,58010315.27,58000447.27,0,9868
"16",1116,"Gobierno Autónomo Municipal de San Pablo de Huacareta",2015-12-31,30821258,53099432.29,40953161.12,40953161.12,40841520.38,0,111640.74
"17",1117,"Gobierno Autónomo Municipal de Tarabuco",2015-12-31,37502409,46242367.84,38046403.53,38046403.53,38046207.06,0,196.47
"18",1118,"Gobierno Autónomo Municipal de Yamparáez",2015-12-31,22012084,32455903.64,26129316.81,26129316.81,26113087.42,0,16229.39
"19",1119,"Gobierno Autónomo Municipal de Camargo",2015-12-31,34266523,56035263.68,45096105.74,45096105.74,44677040.3,0,419065.44
"20",1120,"Gobierno Autónomo Municipal de San Lucas",2015-12-31,66868172,86824945.07,63258297.52,63258297.52,62729625.34,0,528672.18
"21",1121,"Gobierno Autónomo Municipal de Incahuasi",2015-12-31,25912436,33137273.33,29816283.34,29816283.34,29816283.34,0,0
"22",1122,"Gobierno Autónomo Municipal de Villa Serrano",2015-12-31,23033727,28512067.81,23024841.5,23024841.5,23024841.5,0,0
"23",1123,"Gobierno Autónomo Municipal de Camataqui (Villa Abecia)",2015-12-31,7533637,8649387.5,7525406.75,7525406.75,7514313.75,0,11093
"24",1124,"Gobierno Autónomo Municipal de Culpina",2015-12-31,37290061,71209515.85,46879879.77,46879879.77,46871379.77,0,8500
"25",1125,"Gobierno Autónomo Municipal de Las Carreras",2015-12-31,8207134,13842538.45,9817935.43,9817935.43,9535387.77,0,282547.66
"26",1126,"Gobierno Autónomo Municipal de Villa Vaca Guzmán",2015-12-31,17614618,23309262.83,12915565.75,12915565.75,11743116.51,0,1172449.24
"27",1127,"Gobierno Autónomo Municipal de Villa de Huacaya",2015-12-31,4908294,7689637.59,4456451.35,4456451.35,4446366.35,0,10085
"28",1128,"Gobierno Autónomo Municipal de Machareti",2015-12-31,12336656,15886222.87,12331183.34,12331183.34,11799721.76,0,531461.58
"29",1129,"Gobierno Autónomo Municipal de Villa Charcas",2015-12-31,32632113,39987653.36,32819091.85,32819091.85,32819091.85,0,0
"30",1201,"Gobierno Autónomo Municipal de La Paz",2015-12-31,2106460103,2208518705,2019685158.48,2019685158.48,1916200924.27,0,103484234.21
"31",1202,"Gobierno Autónomo Municipal de Palca",2015-12-31,28287875,37101802.19,28104934.4,28104934.4,27791134.04,0,313800.36
"32",1203,"Gobierno Autónomo Municipal de Mecapaca",2015-12-31,33465011,36297379,22463985.48,22463985.48,21714145.06,0,749840.42
"33",1204,"Gobierno Autónomo Municipal de Achocalla",2015-12-31,39274807,52404060.52,41348400.26,41348400.26,41348400.26,0,0
"34",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",2015-12-31,1692134281,1949582802.32,1331340634.32,1331340634.32,1258523847.06,0,72816787.26
"35",1206,"Gobierno Autónomo Municipal de Viacha",2015-12-31,176737421,257035378.08,171897149.92,171872605.94,171756362.82,24543.98,116243.12
"36",1207,"Gobierno Autónomo Municipal de Guaqui",2015-12-31,10066563,15547115.06,9957331.13,9957331.13,9957124.13,0,207
"37",1208,"Gobierno Autónomo Municipal de Tiahuanacu",2015-12-31,16571297,23574908.28,14701694.05,14701694.05,14701694.05,0,0
"38",1209,"Gobierno Autónomo Municipal de Desaguadero",2015-12-31,15025850,21703326.38,13365239.23,13365239.23,13365239.23,0,0
"39",1210,"Gobierno Autónomo Municipal de Caranavi",2015-12-31,117100313,152128265.13,72988041.85,72988041.85,71413062.09,0,1574979.76
"40",1211,"Gobierno Autónomo Municipal de Sica Sica (Villa Aroma)",2015-12-31,46299591,50466896,40222628.68,40222628.68,39741920.62,0,480708.06
"41",1212,"Gobierno Autónomo Municipal de Umala",2015-12-31,13872524,17283994.23,13156607.19,13156607.19,13156525.95,0,81.24
"42",1213,"Gobierno Autónomo Municipal de Ayo Ayo",2015-12-31,10534589,15247025.94,6010162.54,6010162.54,4975535.67,0,1034626.87
