"","Ent.","Entidad","Fecha de Datos","Ppto. Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Autónomo Municipal de Sucre",2020-12-31,705233796,794298172.66,465714644.1,465712029.1,460931928.99,2615,4780100.11
"2",1102,"Gobierno Autónomo Municipal de Yotala",2020-12-31,17302754,22394397.7,13758962.99,13758962.99,13758217.07,0,745.92
"3",1103,"Gobierno Autónomo Municipal de Poroma",2020-12-31,23764668,31213036.35,27396643.41,27396643.41,27393926.38,0,2717.03
"4",1104,"Gobierno Autónomo Municipal de Villa Azurduy",2020-12-31,26810225,26676555.42,22179184.81,22179184.81,22179184.81,0,0
"5",1105,"Gobierno Autónomo Municipal de Tarvita (Villa Orías)",2020-12-31,17310133,24200706.79,21812854.74,21812854.74,21087415.68,0,725439.06
"6",1106,"Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya)",2020-12-31,26361301,31069796.9,20301842.35,20301842.35,20301842.35,0,0
"7",1107,"Gobierno Autónomo Municipal de Presto",2020-12-31,26681229,33467620.52,17696038.51,17696038.51,17696038.51,0,0
"8",1108,"Gobierno Autónomo Municipal de Villa Mojocoya",2020-12-31,15469310,26034343.62,18068009.67,18068009.67,18067852.67,0,157
"9",1109,"Gobierno Autónomo Municipal de Icla",2020-12-31,10488457,14545286.45,11133844.09,11133844.09,11133844.09,0,0
"10",1110,"Gobierno Autónomo Municipal de Padilla",2020-12-31,75238000,67947197.32,18631364.67,18631364.67,18497767.4,0,133597.27
"11",1111,"Gobierno Autónomo Municipal de Tomina",2020-12-31,11688693,20441202.86,13705574.77,13705574.77,13688350.66,0,17224.11
"12",1112,"Gobierno Autónomo Municipal de Sopachuy",2020-12-31,10006340,14877997.82,10846914.18,10846914.18,10349798.93,0,497115.25
"13",1113,"Gobierno Autónomo Municipal de Villa Alcalá",2020-12-31,7157788,13327968.6,11536844.47,11536844.47,11536844.47,0,0
"14",1114,"Gobierno Autónomo Municipal de El Villar",2020-12-31,5837701,10207849.33,8237133.13,8237133.13,8127337.16,0,109795.97
"15",1115,"Gobierno Autónomo Municipal de Monteagudo",2020-12-31,55684345,69232077.33,48964031.27,48964031.27,48959765.27,0,4266
"16",1116,"Gobierno Autónomo Municipal de San Pablo de Huacareta",2020-12-31,11867471,17722755.83,13516809.77,13516809.77,13352990.88,0,163818.89
"17",1117,"Gobierno Autónomo Municipal de Tarabuco",2020-12-31,26405805,32832382.02,23914094.46,23914094.46,23914094.46,0,0
"18",1118,"Gobierno Autónomo Municipal de Yamparáez",2020-12-31,16230516,20766359.27,14686415.93,14686415.93,14686415.93,0,0
"19",1119,"Gobierno Autónomo Municipal de Camargo",2020-12-31,23628257,35078972.47,28409057.5,28409057.5,27301909.56,0,1107147.94
"20",1120,"Gobierno Autónomo Municipal de San Lucas",2020-12-31,43821374,55261841.57,46726232.67,46726232.67,43133123.97,0,3593108.7
"21",1121,"Gobierno Autónomo Municipal de Incahuasi",2020-12-31,17186834,26177103.63,21410456.97,21410456.97,21312466.81,0,97990.16
"22",1122,"Gobierno Autónomo Municipal de Villa Serrano",2020-12-31,18400308,25855160.09,19934766.77,19934766.77,19240263.32,0,694503.45
"23",1123,"Gobierno Autónomo Municipal de Camataqui (Villa Abecia)",2020-12-31,4770588,7878381.2,6936746.64,6936746.64,6822169.64,0,114577
"24",1124,"Gobierno Autónomo Municipal de Culpina",2020-12-31,30009007,45674875.73,31116489.68,31116489.68,30216902.15,0,899587.53
"25",1125,"Gobierno Autónomo Municipal de Las Carreras",2020-12-31,6096635,9108277,7763226.16,7763226.16,7763226.16,0,0
"26",1126,"Gobierno Autónomo Municipal de Villa Vaca Guzmán",2020-12-31,16502588,19595189.87,15294571.43,15294571.43,15224205.63,0,70365.8
"27",1127,"Gobierno Autónomo Municipal de Villa de Huacaya",2020-12-31,3224281,8376792.19,6822280.96,6822280.96,6822280.96,0,0
"28",1128,"Gobierno Autónomo Municipal de Machareti",2020-12-31,11177880,18726544.94,13665286.21,13665286.21,13665286.21,0,0
"29",1129,"Gobierno Autónomo Municipal de Villa Charcas",2020-12-31,26646582,37526417.5,26998286.33,26998286.33,26738659.34,0,259626.99
"30",1201,"Gobierno Autónomo Municipal de La Paz",2020-12-31,2045494545,2204205904.72,1879764300.87,1879764300.87,1709637306.72,0,170126994.15
"31",1202,"Gobierno Autónomo Municipal de Palca",2020-12-31,26816032,36749044.58,26493580.7,26493580.7,25713769.69,0,779811.01
"32",1203,"Gobierno Autónomo Municipal de Mecapaca",2020-12-31,24533110,31581924.45,24384464.57,24384464.57,21348306.69,0,3036157.88
"33",1204,"Gobierno Autónomo Municipal de Achocalla",2020-12-31,79242560,88034990.88,62920690.97,62920690.97,62920690.97,0,0
"34",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",2020-12-31,1625564616,1891162729.61,1337089082.93,1337089082.93,1206968639.61,0,130120443.32
