"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Autónomo Municipal de Sucre",2016-12-31,726546741,831510050.9,659398540.35,659398540.35,655545829.28,0,3852711.07
"2",1102,"Gobierno Autónomo Municipal de Yotala",2016-12-31,14789785,27512167.51,21288943.05,21288943.05,21283281.05,0,5662
"3",1103,"Gobierno Autónomo Municipal de Poroma",2016-12-31,32703459,39994416.54,31578253.77,31578253.77,30717995.59,0,860258.18
"4",1104,"Gobierno Autónomo Municipal de Villa Azurduy",2016-12-31,16223232,29965022.06,24045006.48,24045006.48,23990168.48,0,54838
"5",1105,"Gobierno Autónomo Municipal de Tarvita (Villa Orías)",2016-12-31,22300063,27169153.53,23200921.33,23200921.33,22907203.46,0,293717.87
"6",1106,"Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya)",2016-12-31,16345700,29282738.36,23888286.48,23888286.48,23888286.48,0,0
"7",1107,"Gobierno Autónomo Municipal de Presto",2016-12-31,22906940,29597136.78,23669091.45,23669091.45,23669091.45,0,0
"8",1108,"Gobierno Autónomo Municipal de Villa Mojocoya",2016-12-31,13737998,24674996.59,20589887.18,20589887.18,20126117.79,0,463769.39
"9",1109,"Gobierno Autónomo Municipal de Icla",2016-12-31,12165632,17894871.28,12881630.37,12881630.37,12252552.81,0,629077.56
"10",1110,"Gobierno Autónomo Municipal de Padilla",2016-12-31,20283160,33848588.9,25781980.23,25781980.23,25781980.23,0,0
"11",1111,"Gobierno Autónomo Municipal de Tomina",2016-12-31,13817482,20362464.45,15678269.59,15678269.59,15678269.59,0,0
"12",1112,"Gobierno Autónomo Municipal de Sopachuy",2016-12-31,11231458,22804214.66,20396254.07,20396254.07,19416969.73,0,979284.34
"13",1113,"Gobierno Autónomo Municipal de Villa Alcalá",2016-12-31,7269924,13400221.58,10937983.92,10937983.92,10937983.92,0,0
"14",1114,"Gobierno Autónomo Municipal de El Villar",2016-12-31,6409187,14824244.35,11379394.2,11379394.2,11379006.2,0,388
"15",1115,"Gobierno Autónomo Municipal de Monteagudo",2016-12-31,38685656,78350088.31,59169832.5,59169832.5,59128634.5,0,41198
"16",1116,"Gobierno Autónomo Municipal de San Pablo de Huacareta",2016-12-31,13796556,35286647.94,25636336.23,25636336.23,25590645.36,0,45690.87
"17",1117,"Gobierno Autónomo Municipal de Tarabuco",2016-12-31,27459453,36251100.27,29930350.44,29930350.44,29930350.44,0,0
"18",1118,"Gobierno Autónomo Municipal de Yamparáez",2016-12-31,16261204,20047356.85,18085071.25,18085071.25,17946844.99,0,138226.26
"19",1119,"Gobierno Autónomo Municipal de Camargo",2016-12-31,25766260,41463456.91,29119997.01,29119997.01,28925893.82,0,194103.19
"20",1120,"Gobierno Autónomo Municipal de San Lucas",2016-12-31,49226028,111836916.57,65754501.88,65754501.88,62659122.5,0,3095379.38
"21",1121,"Gobierno Autónomo Municipal de Incahuasi",2016-12-31,18432975,23681536.66,20953230.47,20953230.47,20953230.47,0,0
"22",1122,"Gobierno Autónomo Municipal de Villa Serrano",2016-12-31,16864986,22368855.87,17265249.47,17265249.47,16850444.05,0,414805.42
"23",1123,"Gobierno Autónomo Municipal de Camataqui (Villa Abecia)",2016-12-31,5259478,8797301.57,8247844.96,8247844.96,7889680.41,0,358164.55
"24",1124,"Gobierno Autónomo Municipal de Culpina",2016-12-31,40998647,81428560.08,34132045.24,34132045.24,32022691.32,0,2109353.92
"25",1125,"Gobierno Autónomo Municipal de Las Carreras",2016-12-31,6118886,10167396.18,8475844.15,8475844.15,8475844.15,0,0
"26",1126,"Gobierno Autónomo Municipal de Villa Vaca Guzmán",2016-12-31,13915760,23984379.66,19200364.78,19200364.78,19188652.53,0,11712.25
"27",1127,"Gobierno Autónomo Municipal de Villa de Huacaya",2016-12-31,3566898,9203284.51,5557963.84,5557963.84,5381532.56,0,176431.28
"28",1128,"Gobierno Autónomo Municipal de Machareti",2016-12-31,11190969,18303855.48,15090412.31,15090412.31,14845132.91,0,245279.4
"29",1129,"Gobierno Autónomo Municipal de Villa Charcas",2016-12-31,26260693,31242413.36,25811628.44,25811628.44,25458878.35,0,352750.09
"30",1201,"Gobierno Autónomo Municipal de La Paz",2016-12-31,1833010762,1892046715.34,1855554592.08,1855554592.08,1634486005.77,0,221068586.31
"31",1202,"Gobierno Autónomo Municipal de Palca",2016-12-31,29809624,32569504.56,25936309.6,25932609.6,24987612.7,3700,944996.9
"32",1203,"Gobierno Autónomo Municipal de Mecapaca",2016-12-31,21658751,33670276.82,27744348.44,27744348.44,27731518.79,0,12829.65
"33",1204,"Gobierno Autónomo Municipal de Achocalla",2016-12-31,42212390,50383740.43,31713811.61,31713811.61,31713811.61,0,0
"34",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",2016-12-31,1419450028,1772572901.68,1409485041.85,1409485041.85,1380244291.41,0,29240750.44
"35",1206,"Gobierno Autónomo Municipal de Viacha",2016-12-31,133599083,204531831.6,143667859.96,142895481.27,141672307.39,772378.69,1223173.88
"36",1207,"Gobierno Autónomo Municipal de Guaqui",2016-12-31,7603360,14745840.75,9025418.73,9025418.73,9025418.73,0,0
"37",1208,"Gobierno Autónomo Municipal de Tiahuanacu",2016-12-31,13914253,23209523.85,13283839.91,13283839.91,13080304.9,0,203535.01
"38",1209,"Gobierno Autónomo Municipal de Desaguadero",2016-12-31,7896738,19072344.09,10630536.28,10630536.28,10630536.28,0,0
"39",1210,"Gobierno Autónomo Municipal de Caranavi",2016-12-31,78260439,161347522.8,87209590.78,87209590.78,84250797.46,0,2958793.32
"40",1211,"Gobierno Autónomo Municipal de Sica Sica (Villa Aroma)",2016-12-31,40453102,44852041.69,37370141.36,37370141.36,37092981.64,0,277159.72
"41",1212,"Gobierno Autónomo Municipal de Umala",2016-12-31,10958106,16840337.85,11923159.46,11923159.46,11820803.57,0,102355.89
"42",1213,"Gobierno Autónomo Municipal de Ayo Ayo",2016-12-31,9854517,10105521.62,5244414.46,5244414.46,5244414.46,0,0
"43",1214,"Gobierno Autónomo Municipal de Calamarca",2016-12-31,17977691,17983032.41,15805156.23,15734943.04,15074300.96,70213.19,660642.08
"44",1215,"Gobierno Autónomo Municipal de Patacamaya",2016-12-31,25743917,35287043.16,26475847.88,26475847.88,25366224.24,0,1109623.64
"45",1216,"Gobierno Autónomo Municipal de Colquencha",2016-12-31,14964685,17494663.59,10632481.18,10632481.18,10628886.81,0,3594.37
"46",1217,"Gobierno Autónomo Municipal de Collana",2016-12-31,7627123,8460099.58,4573660.22,4573660.22,4550284.22,0,23376
"47",1218,"Gobierno Autónomo Municipal de Inquisivi",2016-12-31,20264715,27909832.68,20800533.82,20800533.82,19469370.63,0,1331163.19
"48",1219,"Gobierno Autónomo Municipal de Quime",2016-12-31,10558894,18121207.35,13137342.82,13137342.82,13137342.82,0,0
"49",1220,"Gobierno Autónomo Municipal de Cajuata",2016-12-31,15338289,38809332.9,23103136.42,23103136.42,22025223.63,0,1077912.79
"50",1221,"Gobierno Autónomo Municipal de Colquiri",2016-12-31,22053073,65692501.18,36060223.88,36060223.88,34326639.99,0,1733583.89
"51",1222,"Gobierno Autónomo Municipal de Ichoca",2016-12-31,10296838,13311716.3,5499159.29,5499159.29,5420158.27,0,79001.02
"52",1223,"Gobierno Autónomo Municipal de Villa Libertad Licoma",2016-12-31,5956896,26705123.8,18290872.03,12476239.82,12224815.24,5814632.21,251424.58
"53",1224,"Gobierno Autónomo Municipal de Achacachi",2016-12-31,74000539,97207717.83,67085551.09,67082052.69,67074168.69,3498.4,7884
"54",1225,"Gobierno Autónomo Municipal de Ancoraimes",2016-12-31,21237588,23238725.67,18085828.14,18085828.14,17854007.88,0,231820.26
"55",1226,"Gobierno Autónomo Municipal de Sorata",2016-12-31,33167482,61635154.38,35222930.2,35222930.2,35188393.25,0,34536.95
"56",1227,"Gobierno Autónomo Municipal de Guanay",2016-12-31,17403231,25080837.46,17821578.05,17821578.05,17821492.05,0,86
"57",1228,"Gobierno Autónomo Municipal de Tacacoma",2016-12-31,8838508,23522415.72,15984866.8,15984866.8,15970571.04,0,14295.76
"58",1229,"Gobierno Autónomo Municipal de Tipuani",2016-12-31,12842532,18924618.13,10979787.45,10975327.45,10975327.45,4460,0
"59",1230,"Gobierno Autónomo Municipal de Quiabaya",2016-12-31,3573765,9004440.07,6098713.94,6025941.63,6024297.61,72772.31,1644.02
"60",1231,"Gobierno Autónomo Municipal de Combaya",2016-12-31,4987198,8409444.73,4047689.46,4047689.46,4047689.46,0,0
"61",1232,"Gobierno Autónomo Municipal de Copacabana",2016-12-31,17322943,32732245.53,15982202.15,15979177.15,15839185.15,3025,139992
"62",1233,"Gobierno Autónomo Municipal de San Pedro de Tiquina",2016-12-31,6591263,17673299.92,5494356.83,5494356.83,5494356.83,0,0
"63",1234,"Gobierno Autónomo Municipal de Tito Yupanqui",2016-12-31,6560707,11577785.85,4648001.09,4648001.09,4462485.43,0,185515.66
"64",1235,"Gobierno Autónomo Municipal de Chuma",2016-12-31,14802489,23749116.82,17715367.41,17715367.41,17715367.41,0,0
"65",1236,"Gobierno Autónomo Municipal de Ayata",2016-12-31,10829185,19423802.5,15267517.19,15267517.19,14901567.84,0,365949.35
"66",1237,"Gobierno Autónomo Municipal de Aucapata",2016-12-31,6422420,8720813.63,4615838.66,4615838.66,4607213.38,0,8625.28
"67",1238,"Gobierno Autónomo Municipal de Corocoro",2016-12-31,12043428,20384519.53,14810228.35,14810228.35,14776163.39,0,34064.96
"68",1239,"Gobierno Autónomo Municipal de Caquiaviri",2016-12-31,16105788,30110321.48,16928837.28,16928837.28,16928837.28,0,0
"69",1240,"Gobierno Autónomo Municipal de Calacoto",2016-12-31,10494712,30649495.49,21822724.4,21822724.4,21822724.4,0,0
"70",1241,"Gobierno Autónomo Municipal de Comanche",2016-12-31,4409911,7882983.16,3170880.73,3170880.73,3053966.4,0,116914.33
"71",1242,"Gobierno Autónomo Municipal de Charaña",2016-12-31,4524760,10998194.87,3172795.46,3172795.46,3021246.98,0,151548.48
"72",1243,"Gobierno Autónomo Municipal de Waldo Ballivián",2016-12-31,6861124,10341900.16,8928255.18,8928255.18,8928255.18,0,0
"73",1244,"Gobierno Autónomo Municipal de Nazacara de Pacajes",2016-12-31,2262292,3945539.07,13349.59,13349.59,13349.59,0,0
"74",1245,"Gobierno Autónomo Municipal de Santiago de Callapa",2016-12-31,7907178,12398322.64,9291572.74,9291572.74,9291572.74,0,0
"75",1246,"Gobierno Autónomo Municipal de Puerto Acosta",2016-12-31,18919782,24851480.7,14154142.23,14154142.23,14151645.63,0,2496.6
"76",1247,"Gobierno Autónomo Municipal de Mocomoco",2016-12-31,22011408,42340616.86,26906414.93,26906414.93,26906414.93,0,0
"77",1248,"Gobierno Autónomo Municipal de Carabuco",2016-12-31,15505954,30442420.44,22790595.22,22790595.22,22790595.22,0,0
"78",1249,"Gobierno Autónomo Municipal de Apolo",2016-12-31,24751950,41344422.61,30361241.05,30317430.58,30317430.58,43810.47,0
"79",1250,"Gobierno Autónomo Municipal de Pelechuco",2016-12-31,9798391,22743492.81,16200705.08,16200705.08,16095998.68,0,104706.4
"80",1251,"Gobierno Autónomo Municipal de Luribay",2016-12-31,13711019,26211177.79,20976444.78,20976444.78,20475353.47,0,501091.31
"81",1252,"Gobierno Autónomo Municipal de Sapahaqui",2016-12-31,15017312,22466893.38,16316528.06,16316528.06,15146559.07,0,1169968.99
"82",1253,"Gobierno Autónomo Municipal de Yaco",2016-12-31,13630912,18390485.76,8918413.33,8918413.33,8915513.6,0,2899.73
"83",1254,"Gobierno Autónomo Municipal de Malla",2016-12-31,10603649,15062668.66,7190701.69,7190701.69,7190701.69,0,0
"84",1255,"Gobierno Autónomo Municipal de Cairoma",2016-12-31,15550200,24527050.4,14465645.07,14465645.07,14465645.07,0,0
"85",1256,"Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad)",2016-12-31,21085092,49694106.98,23927925.35,23927925.35,23793718.62,0,134206.73
"86",1257,"Gobierno Autónomo Municipal de Irupana (Villa de Lanza)",2016-12-31,28168753,50398357.55,27545485.07,27545485.07,26982265.24,0,563219.83
"87",1258,"Gobierno Autónomo Municipal de Yanacachi",2016-12-31,8894107,25340779.53,13843626,13843626,13580425.58,0,263200.42
"88",1259,"Gobierno Autónomo Municipal de Palos Blancos",2016-12-31,29381645,44029007.48,37824463.29,37815463.29,37589542.43,9000,225920.86
"89",1260,"Gobierno Autónomo Municipal de La Asunta",2016-12-31,43293821,138094788.92,61983450.47,61983450.47,61943328.23,0,40122.24
"90",1261,"Gobierno Autónomo Municipal de Pucarani",2016-12-31,37591858,66838743.82,44360773.19,44360773.19,44342773.19,0,18000
"91",1262,"Gobierno Autónomo Municipal de Laja",2016-12-31,26731929,47126593.62,27793905.92,27793905.92,27064389.31,0,729516.61
"92",1263,"Gobierno Autónomo Municipal de Batallas",2016-12-31,18567277,41138602.34,25695743.63,25695743.63,25694175.24,0,1568.39
"93",1264,"Gobierno Autónomo Municipal de Puerto Pérez",2016-12-31,10641746,14588279.63,11461372.46,11461372.46,11378262.64,0,83109.82
"94",1265,"Gobierno Autónomo Municipal de Coroico",2016-12-31,22203612,45459706.49,17670752.74,17670752.74,17632505.74,0,38247
"95",1266,"Gobierno Autónomo Municipal de Coripata",2016-12-31,18646637,51525966.17,26846174.62,26842790.37,26839230.37,3384.25,3560
"96",1267,"Gobierno Autónomo Municipal de Ixiamas",2016-12-31,12431408,25983898.02,13155645.21,13155645.21,12428356.2,0,727289.01
"97",1268,"Gobierno Autónomo Municipal de San Buenaventura",2016-12-31,20244656,35208567.53,4333509.89,4333509.89,3474851.03,0,858658.86
"98",1269,"Gobierno Autónomo Municipal de General Juan José Pérez (Charazani)",2016-12-31,14135604,26627586.95,196356.97,196356.97,196356.97,0,0
"99",1270,"Gobierno Autónomo Municipal de Curva",2016-12-31,3471839,4970454.46,2889441.04,2889441.04,2686884.81,0,202556.23
"100",1271,"Gobierno Autónomo Municipal de San Pedro de Curahuara",2016-12-31,11465466,16647176.91,14432277.23,14432277.23,14432277.23,0,0
"101",1272,"Gobierno Autónomo Municipal de Papel Pampa",2016-12-31,9629722,11234924.43,8272152.92,8272152.92,8267186.96,0,4965.96
"102",1273,"Gobierno Autónomo Municipal de Chacarilla",2016-12-31,4194320,5493978.79,2758569.16,2758569.16,2631571.13,0,126998.03
"103",1274,"Gobierno Autónomo Municipal de Santiago de Machaca",2016-12-31,7265662,10826222.02,6871540.23,6817228.99,6641105.19,54311.24,176123.8
"104",1275,"Gobierno Autónomo Municipal de Catacora",2016-12-31,3057154,5465690.17,649597.67,649597.67,559608.38,0,89989.29
"105",1276,"Gobierno Autónomo Municipal de Mapiri",2016-12-31,16074941,27088099.81,13353544.05,13353544.05,13353544.05,0,0
"106",1277,"Gobierno Autónomo Municipal de Teoponte",2016-12-31,10670416,13146195.09,6331403.76,6331403.76,5770183.47,0,561220.29
"107",1278,"Gobierno Autónomo Municipal de San Andrés de Machaca",2016-12-31,8815517,10942433.71,6076489.65,6076489.65,5836687.4,0,239802.25
"108",1279,"Gobierno Autónomo Municipal de Jesús de Machaca",2016-12-31,25833113,41133067.85,21754508.72,21754508.72,21752092.06,0,2416.66
"109",1280,"Gobierno Autónomo Municipal de Taraco",2016-12-31,7115428,12565909.18,7138004.26,7138004.26,7049463.29,0,88540.97
"110",1281,"Gobierno Autónomo Municipal de Huarina",2016-12-31,9884174,25720983.49,15942355.28,15942355.28,15586413.79,0,355941.49
"111",1282,"Gobierno Autónomo Municipal de Santiago de Huata",2016-12-31,9311772,13921416.68,11259141.55,11259141.55,11259141.55,0,0
"112",1283,"Gobierno Autónomo Municipal de Escoma",2016-12-31,9681247,15472436.73,5859322.82,5859322.82,5859322.82,0,0
"113",1284,"Gobierno Autónomo Municipal de Humanata",2016-12-31,6849760,13261894.67,7614694.02,7614694.02,7543937.69,0,70756.33
"114",1285,"Gobierno Autónomo Municipal de Alto Beni",2016-12-31,15099827,31027663.56,22503218.86,22503218.86,22485198.86,0,18020
"115",1286,"Gobierno Autónomo Municipal de Huatajata",2016-12-31,6005780,12042016.64,5810109.48,5810109.48,5801909.48,0,8200
"116",1287,"Gobierno Autónomo Municipal de Chua Cocani",2016-12-31,5451298,7793233.02,5895250.29,5895250.29,5565637.39,0,329612.9
"117",1301,"Gobierno Autónomo Municipal de Cochabamba",2016-12-31,1647252152,1996998939.83,1641028371.67,1641028371.67,1609763522.9,0,31264848.77
"118",1302,"Gobierno Autónomo Municipal de Quillacollo",2016-12-31,297363769,395480392.64,284588130.97,284588130.97,284588130.97,0,0
"119",1303,"Gobierno Autónomo Municipal de Sipe Sipe",2016-12-31,56592173,89779385.91,56826128.62,56826128.62,56826128.62,0,0
"120",1304,"Gobierno Autónomo Municipal de Tiquipaya",2016-12-31,93338075,119057699.83,86101202.4,86101202.4,84524747.88,0,1576454.52
"121",1305,"Gobierno Autónomo Municipal de Vinto",2016-12-31,75463735,127163528.8,101966284.22,101966284.22,99498754.77,0,2467529.45
"122",1306,"Gobierno Autónomo Municipal de Colcapirhua",2016-12-31,91568545,141551188.39,105232195.8,105232195.8,105232195.8,0,0
"123",1307,"Gobierno Autónomo Municipal de Aiquile",2016-12-31,41796198,64522795.22,42876992.26,42876992.26,42876992.26,0,0
"124",1308,"Gobierno Autónomo Municipal de Pasorapa",2016-12-31,9951931,19259139.19,13938987.52,13938987.52,13914242.59,0,24744.93
"125",1309,"Gobierno Autónomo Municipal de Omereque",2016-12-31,8707205,18922592.89,13287107.71,13287107.71,13287107.71,0,0
"126",1310,"Gobierno Autónomo Municipal de Independencia",2016-12-31,31888057,39571482.73,30591540.3,30591540.3,30345010.5,0,246529.8
"127",1311,"Gobierno Autónomo Municipal de Morochata",2016-12-31,16247849,22612498.78,18612139.65,18574839.65,18153774.37,37300,421065.28
"128",1312,"Gobierno Autónomo Municipal de Sacaba",2016-12-31,297315900,445428689.99,338941476.51,338941476.51,327338075.22,0,11603401.29
"129",1313,"Gobierno Autónomo Municipal de Colomi",2016-12-31,33183466,62377425.7,37427285.55,37427285.55,37427285.55,0,0
"130",1314,"Gobierno Autónomo Municipal de Villa Tunari",2016-12-31,127017680,313243016.03,224285249.3,224285249.3,224285249.3,0,0
"131",1315,"Gobierno Autónomo Municipal de Punata",2016-12-31,46207865,101406925.04,84102520.27,84102520.27,84101075.27,0,1445
"132",1316,"Gobierno Autónomo Municipal de Villa Rivero",2016-12-31,9395337,14105583.34,12409213.12,12409213.12,12371697.13,0,37515.99
"133",1317,"Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza)",2016-12-31,22870214,47692789.01,27105977.25,27105977.25,27105977.25,0,0
"134",1318,"Gobierno Autónomo Municipal de Tacachi",2016-12-31,1633508,5180367.3,2661085.37,2661085.37,2661085.37,0,0
"135",1319,"Gobierno Autónomo Municipal Villa Gualberto Villarroel",2016-12-31,3628568,10496927.3,5835643.4,5835643.4,5815643.4,0,20000
"136",1320,"Gobierno Autónomo Municipal de Tarata",2016-12-31,11638916,23852010.8,14304132.79,14304132.79,14196274.88,0,107857.91
"137",1321,"Gobierno Autónomo Municipal de Anzaldo",2016-12-31,10894831,15820573.34,9785475.89,9785475.89,9785475.89,0,0
"138",1322,"Gobierno Autónomo Municipal de Arbieto",2016-12-31,22347704,33584148.58,24659930.4,24659930.4,24659930.4,0,0
"139",1323,"Gobierno Autónomo Municipal de Sacabamba",2016-12-31,5951766,13427276.91,7119717.8,7119717.8,7020465.67,0,99252.13
"140",1324,"Gobierno Autónomo Municipal de Cliza",2016-12-31,30702281,40638080.14,29945717.11,29945717.11,29913717.11,0,32000
"141",1325,"Gobierno Autónomo Municipal de Toco",2016-12-31,8192300,13065589.82,9578419.64,9578419.64,9578419.64,0,0
"142",1326,"Gobierno Autónomo Municipal de Tolata",2016-12-31,7744745,14170562.57,10924910.57,10924910.57,10679659.99,0,245250.58
"143",1327,"Gobierno Autónomo Municipal de Capinota",2016-12-31,30100920,44165530.57,24376241.14,24376241.14,24376241.14,0,0
"144",1328,"Gobierno Autónomo Municipal de Santivañez",2016-12-31,8475192,18304707.38,14748819.33,14748819.33,14748819.33,0,0
"145",1329,"Gobierno Autónomo Municipal de Sicaya",2016-12-31,4483554,21193366.88,10140126.18,10140126.18,10140126.18,0,0
"146",1330,"Gobierno Autónomo Municipal de Tapacari",2016-12-31,30325883,43197399.88,34123722.81,34123722.81,33700273.45,0,423449.36
"147",1331,"Gobierno Autónomo Municipal de Totora",2016-12-31,17493861,30594821.36,24332740.47,24332740.47,24004742.96,0,327997.51
"148",1332,"Gobierno Autónomo Municipal de Pojo",2016-12-31,12302539,22790215.87,13925967.89,13925967.89,13925967.89,0,0
"149",1333,"Gobierno Autónomo Municipal de Pocona",2016-12-31,14947488,23964863.95,15786049.59,15786049.59,15786049.59,0,0
"150",1334,"Gobierno Autónomo Municipal de Chimoré",2016-12-31,38453415,81304525.22,59885354.01,59885354.01,58936149.31,0,949204.7
"151",1335,"Gobierno Autónomo Municipal de Puerto Villarroel",2016-12-31,82602972,170397397.02,130737512.76,130737512.76,128137726.73,0,2599786.03
"152",1336,"Gobierno Autónomo Municipal de Arani",2016-12-31,10687243,41300729.01,22030742.4,22030742.4,21995743.4,0,34999
"153",1337,"Gobierno Autónomo Municipal de Vacas",2016-12-31,11802147,20207159.06,13459240.76,13459240.76,13208287.51,0,250953.25
"154",1338,"Gobierno Autónomo Municipal de Arque",2016-12-31,15512776,20812081.97,13998207.04,13998207.04,13980207.04,0,18000
"155",1339,"Gobierno Autónomo Municipal de Tacopaya",2016-12-31,15507386,24646558.22,16127541.05,15991060.92,15798674.19,136480.13,192386.73
"156",1340,"Gobierno Autónomo Municipal de Bolivar",2016-12-31,9241748,12535116.73,9235416.74,9235416.74,9233345.69,0,2071.05
"157",1341,"Gobierno Autónomo Municipal de Tiraque",2016-12-31,23920703,44762208.28,32991490.23,32960490.23,32418678.49,31000,541811.74
"158",1342,"Gobierno Autónomo Municipal de Mizque",2016-12-31,32338086,53557430.8,40360206.85,40360206.85,40360206.85,0,0
"159",1343,"Gobierno Autónomo Municipal de Vila Vila",2016-12-31,6825005,16143376.76,10800172.81,10800172.81,10799472.81,0,700
"160",1344,"Gobierno Autónomo Municipal de Alalay",2016-12-31,4210811,7249297.26,6288233.12,6288233.12,6288233.12,0,0
"161",1345,"Gobierno Autónomo Municipal de Entre Rios",2016-12-31,54277948,90504411.58,67800925.34,67800925.34,67799803.34,0,1122
"162",1346,"Gobierno Autónomo Municipal de Cocapata",2016-12-31,22872084,26631393.57,23116879.54,23116879.54,23116879.54,0,0
"163",1347,"Gobierno Autónomo Municipal de Shinahota",2016-12-31,26567820,66196214.99,46858877.82,46858877.82,46851520.37,0,7357.45
"164",1401,"Gobierno Autónomo Municipal de Oruro",2016-12-31,714774592,757534726.62,662095170.03,662095170.03,613709982.22,0,48385187.81
"165",1402,"Gobierno Autónomo Municipal de Caracollo",2016-12-31,38597676,70563978.16,46802547.17,46802547.17,46150748.14,0,651799.03
"166",1403,"Gobierno Autónomo Municipal de El Choro",2016-12-31,13402196,32250505.75,16176265.93,16176265.93,16171237.53,0,5028.4
"167",1404,"Gobierno Autónomo Municipal de Challapata",2016-12-31,68086319,88995864.71,66484474.8,66484474.8,66362439.1,0,122035.7
"168",1405,"Gobierno Autónomo Municipal de Santuario de Quillacas",2016-12-31,7440161,14309792.73,2690351.66,2690351.66,2656840.98,0,33510.68
"169",1406,"Gobierno Autónomo Municipal de Huanuni",2016-12-31,42998242,94913731.99,59770240.9,59770240.9,59769274.9,0,966
"170",1407,"Gobierno Autónomo Municipal de Machacamarca",2016-12-31,7306294,18877470.57,12681316,12681316,11635072.96,0,1046243.04
"171",1408,"Gobierno Autónomo Municipal de Poopó (Villa Poopó)",2016-12-31,14549340,22255036.18,17841858.28,17841858.28,17733123.58,0,108734.7
"172",1409,"Gobierno Autónomo Municipal de Pazña",2016-12-31,8893092,15722590.57,11233596.95,11233596.95,11233596.95,0,0
"173",1410,"Gobierno Autónomo Municipal de Antequera",2016-12-31,11277927,22452439.1,14481757.19,14481757.19,14357292.38,0,124464.81
"174",1411,"Gobierno Autónomo Municipal de Eucaliptus",2016-12-31,7790628,20560497.08,8509362.29,8509362.29,8509362.29,0,0
"175",1412,"Gobierno Autónomo Municipal de Santiago de Huari",2016-12-31,21283520,45476808.92,23355135.35,23355135.35,23108739.17,0,246396.18
"176",1413,"Gobierno Autónomo Municipal de Totora",2016-12-31,9549226,29053074.65,11641325.2,11641325.2,11582554.2,0,58771
"177",1414,"Gobierno Autónomo Municipal de Corque",2016-12-31,13969949,27813526.7,18744996.2,18744901.53,18744901.53,94.67,0
"178",1415,"Gobierno Autónomo Municipal de Choquecota",2016-12-31,3379331,7010071.62,3600331.07,3600331.07,3159189.01,0,441142.06
