"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Municipalidad de Sucre",2004-12-31,46163333,46163333,13245833.42,13245833.42,13531459.35,0,-285625.93
"2",1102,"Municipalidad de Yotala",2004-01-31,3694621,3694621,0,0,0,0,0
"3",1103,"Municipalidad de Poroma",2004-01-31,4876445,4876445,0,0,0,0,0
"4",1104,"Municipalidad de Villa Azurduy",2004-01-31,4325859,4325859,0,0,0,0,0
"5",1105,"Municipalidad de Tarvita (Villa Orías)",2004-01-31,5826908,5826908,0,0,0,0,0
"6",1106,"Municipalidad de Villa Zudañez (Tacopaya)",2004-01-31,2331785,2331785,0,0,0,0,0
"7",1107,"Municipalidad de Presto",2004-01-31,3214949,3214949,0,0,0,0,0
"8",1108,"Municipalidad de Villa Mojocoya",2004-01-31,2917705,2917705,0,0,0,0,0
"9",1109,"Municipalidad de Icla",2004-01-31,2726458,2726458,0,0,0,0,0
"10",1110,"Municipalidad de Padilla",2004-01-31,4790522,4790522,0,0,0,0,0
"11",1111,"Municipalidad de Tomina",2004-01-31,2636298,2636298,0,0,0,0,0
"12",1112,"Municipalidad de Sopachuy",2004-01-31,2313667,2313667,0,0,0,0,0
"13",1113,"Municipalidad de Villa Alcalá",2004-01-31,1154330,1154330,0,0,0,0,0
"14",1114,"Municipalidad de El Villar",2004-01-31,1841119,1841119,0,0,0,0,0
"15",1115,"Municipalidad de Monteagudo",2004-01-31,8177891,8177891,0,0,0,0,0
"16",1116,"Municipalidad de San Pablo de Huacareta",2004-01-31,4660959,4660959,0,0,0,0,0
"17",1117,"Municipalidad de Tarabuco",2004-01-31,4817516,4817516,0,0,0,0,0
"18",1118,"Municipalidad de Yamparáez",2004-01-31,4787317,4787317,0,0,0,0,0
"19",1119,"Municipalidad de Camargo",2004-01-31,3721580,3721580,0,0,0,0,0
"20",1120,"Municipalidad de San Lucas",2004-01-31,9368680,9368680,0,0,0,0,0
"21",1121,"Municipalidad de Incahuasi",2004-01-31,6494890,6494890,0,0,0,0,0
"22",1122,"Municipalidad de Villa Serrano",2004-01-31,3564210,3564210,0,0,0,0,0
"23",1123,"Municipalidad de Camataqui (Villa Abecia)",2004-01-31,799362,799362,0,0,0,0,0
"24",1124,"Municipalidad de Culpina",2004-01-31,4402473,4402473,0,0,0,0,0
"25",1125,"Municipalidad de Las Carreras",2004-01-31,1422717,1422717,0,0,0,0,0
"26",1126,"Municipalidad de Villa Vaca Guzmán",2004-01-31,2934089,2934089,0,0,0,0,0
