"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1","1101","Municipalidad de Sucre",2009-12-31,391497498,472114260,278978565.06,278941497.81,270049303.27,37067.25,8892194.54
"2","1107","Municipalidad de Presto",2009-01-31,10808024,10808024,0,0,0,0,0
"3","1108","Municipalidad de Villa Mojocoya",2009-01-31,9668442,9668442,0,0,0,0,0
"4","1111","Municipalidad de Tomina",2009-01-31,10322456,10322456,0,0,0,0,0
"5","1114","Municipalidad de El Villar",2009-01-31,5086343,5086343,0,0,0,0,0
"6","1118","Municipalidad de Yamparáez",2009-01-31,11279269,11279269,0,0,0,0,0
"7","1120","Municipalidad de San Lucas",2009-01-31,36041857,36041857,0,0,0,0,0
"8","1121","Municipalidad de Incahuasi",2009-01-31,26716971,26716971,0,0,0,0,0
"9","1122","Municipalidad de Villa Serrano",2009-01-31,14607692,14607692,0,0,0,0,0
"10","1123","Municipalidad de Camataqui (Villa Abecia)",2009-01-31,4113375,4113375,0,0,0,0,0
"11","1124","Municipalidad de Culpina",2009-01-31,20408043,20408043,0,0,0,0,0
"12","1201","Municipalidad de La Paz",2009-12-31,1729799688,1763925681,1279523622.57,1279523622.57,1205962919.22,0,73560703.35
"13","1205","Municipalidad de El Alto de La Paz",2009-12-31,0,1287542146,916377525.35,837037346.08,787750341.41,79340179.27,49287004.67
"14","1211","Municipalidad de Sica Sica (Villa Aroma)",2009-01-31,23216100,23216100,0,0,0,0,0
"15","1212","Municipalidad de Umala",2009-01-31,8141870,8141870,0,0,0,0,0
"16","1224","Municipalidad de Achacachi",2009-01-31,58589817,58589817,0,0,0,0,0
"17","1225","Municipalidad de Ancoraimes",2009-01-31,14272775,14272775,0,0,0,0,0
"18","1226","Municipalidad de Sorata",2009-01-31,14861311,14861311,0,0,0,0,0
"19","1235","Municipalidad de Chuma",2009-01-31,13083106,13083106,0,0,0,0,0
"20","1242","Municipalidad de Charaña",2009-01-31,2464849,2464849,0,0,0,0,0
"21","1245","Municipalidad de Santiago de Callapa",2009-01-31,6979018,6979018,0,0,0,0,0
"22","1250","Municipalidad de Pelechuco",2009-01-31,4077451,4077451,0,0,0,0,0
"23","1251","Municipalidad de Luribay",2009-01-31,8602405,8602405,0,0,0,0,0
"24","1252","Municipalidad de Sapahaqui",2009-01-31,9801397,9801397,0,0,0,0,0
"25","1255","Municipalidad de Cairoma",2009-01-31,8641314,8641314,0,0,0,0,0
"26","1259","Municipalidad de Palos Blancos",2009-01-31,14961799,14961799,0,0,0,0,0
"27","1271","Municipalidad de San Pedro de Curahuara",2009-01-31,6956760,6956760,0,0,0,0,0
"28","1272","Municipalidad de Papel Pampa",2009-01-31,5047929,5047929,0,0,0,0,0
"29","1276","Municipalidad de Mapiri",2009-01-31,9885304,9885304,0,0,0,0,0
"30","1301","Municipalidad de Cochabamba",2009-12-31,786783200,757391000,607344190.44,607344190.44,545300793.75,0,62043396.69
"31","1302","Municipalidad de Quillacollo",2009-01-31,80609368,80609368,0,0,0,0,0
"32","1401","Municipalidad de Oruro",2009-12-31,387296173,387915535,363229011.07,361585492.98,335283119.49,1643518.09,26302373.49
"33","1404","Municipalidad de Challapata",2009-01-31,34136295,34136295,0,0,0,0,0
"34","1406","Municipalidad de Huanuni",2009-01-31,25522793,25522793,0,0,0,0,0
"35","1407","Municipalidad de Machacamarca",2009-01-31,6042629,6042629,0,0,0,0,0
"36","1408","Municipalidad de Poopó (Villa Poopó)",2009-01-31,9064829,9064829,0,0,0,0,0
"37","1413","Municipalidad de Totora",2009-01-31,10903665,10903665,0,0,0,0,0
"38","1423","Municipalidad de Toledo",2009-01-31,11458489,11458489,0,0,0,0,0
"39","1426","Municipalidad de Salinas de G, Mendoza",2009-01-31,11920515,11920515,0,0,0,0,0
"40","1501","Municipalidad de Potosí",2009-12-31,314587270,264609350,178057690.97,178041402.97,167809065.49,16288,10232337.48
"41","1502","Municipalidad de Tinguipaya",2009-01-31,23039164,23039164,0,0,0,0,0
"42","1505","Municipalidad de Uncía",2009-01-31,26680975,26680975,0,0,0,0,0
"43","1518","Municipalidad de Vitichi",2009-01-31,11137559,11137559,0,0,0,0,0
"44","1601","Municipalidad de Tarija",2009-12-31,391899796,480803930,404881871.7,332558649.4,328358591.4,72323222.3,4200058
"45","1701","Municipalidad de Santa Cruz de La Sierra",2009-12-31,1806254317,1540157942.45,1364403921.59,1344934305.27,1271691065.36,19469616.32,73243239.91
"46","1715","Municipalidad de Roboré",2009-01-31,11601400,11601400,0,0,0,0,0
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","NO HAY MÁS DATOS DISPONIBLES PARA ESTE AÑO",NA,NA,NA,NA,NA,NA,NA,NA,NA
