"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Autónomo Municipal de Sucre",2012-12-31,470745376,810255671.26,463904276.88,463904276.88,433819090.57,0,30085186.31
"2",1102,"Gobierno Autónomo Municipal de Yotala",2012-12-31,12876746,27253094.9,17639411.23,17639411.23,17558549.69,0,80861.54
"3",1103,"Gobierno Autónomo Municipal de Poroma",2012-12-31,24346500,46644396.44,33736135.1,33736135.1,33493169.41,0,242965.69
"4",1104,"Gobierno Autónomo Municipal de Villa Azurduy",2012-12-31,15351563,32299005.38,17571683.68,17571683.68,17266470.58,0,305213.1
"5",1105,"Gobierno Autónomo Municipal de Tarvita (Villa Orías)",2012-12-31,24364525,43726261.61,30586268.95,30576165.92,29690712.71,10103.03,885453.21
"6",1106,"Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya)",2012-12-31,10562980,21728497.47,13902927.07,13902927.07,13616248.72,0,286678.35
"7",1107,"Gobierno Autónomo Municipal de Presto",2012-12-31,11517333,23773483.04,17881729.38,17881729.38,17666712.71,0,215016.67
"8",1108,"Gobierno Autónomo Municipal de Villa Mojocoya",2012-12-31,11311381,23090292.02,17577748.33,17577748.33,16653836.32,0,923912.01
"9",1109,"Gobierno Autónomo Municipal de Icla",2012-12-31,11611004,25155109.01,17210380.47,17210380.47,16822591.71,0,387788.76
"10",1110,"Gobierno Autónomo Municipal de Padilla",2012-12-31,21039579,39500344.37,29928857.4,29928857.4,29634788.73,0,294068.67
"11",1111,"Gobierno Autónomo Municipal de Tomina",2012-12-31,13151925,29766927.12,21908717.77,21908717.77,20848295.6,0,1060422.17
"12",1112,"Gobierno Autónomo Municipal de Sopachuy",2012-12-31,11786499,27731099.94,18195519,18195519,16849298.79,0,1346220.21
"13",1113,"Gobierno Autónomo Municipal de Villa Alcalá",2012-12-31,6731004,16696843.68,9573542.59,9558935.87,9494210.09,14606.72,64725.78
"14",1114,"Gobierno Autónomo Municipal de El Villar",2012-12-31,7171183,15962808.67,9622556.36,9622556.36,9362598.27,0,259958.09
"15",1115,"Gobierno Autónomo Municipal de Monteagudo",2012-12-31,36957545,97975234.39,49100180.01,49100180.01,47417605.18,0,1682574.83
"16",1116,"Gobierno Autónomo Municipal de San Pablo de Huacareta",2012-12-31,12506610,30599292.22,15336250.24,15336250.24,15154756.72,0,181493.52
"17",1117,"Gobierno Autónomo Municipal de Tarabuco",2012-12-31,29791265,59324236.76,51700756.78,51700756.78,51329103.1,0,371653.68
"18",1118,"Gobierno Autónomo Municipal de Yamparáez",2012-12-31,13473651,29170867.34,23360609.38,23360609.38,22258245.84,0,1102363.54
"19",1119,"Gobierno Autónomo Municipal de Camargo",2012-12-31,24529566,52172893.36,40111749.46,40044784.5,37879166.14,66964.96,2165618.36
"20",1120,"Gobierno Autónomo Municipal de San Lucas",2012-12-31,50763709,96160083.32,62907900.38,62907900.38,60495717.37,0,2412183.01
"21",1121,"Gobierno Autónomo Municipal de Incahuasi",2012-12-31,16338556,32869854.18,20593765.54,20593765.54,20120324.83,0,473440.71
"22",1122,"Gobierno Autónomo Municipal de Villa Serrano",2012-12-31,16826124,35422584.1,27782150.29,27782150.29,26148110.29,0,1634040
"23",1123,"Gobierno Autónomo Municipal de Camataqui (Villa Abecia)",2012-12-31,5913061,14331282.8,9082492.92,9082492.92,8785744.89,0,296748.03
"24",1124,"Gobierno Autónomo Municipal de Culpina",2012-12-31,31586003,52386159.39,42944292.2,42944292.2,42388980.85,0,555311.35
"25",1125,"Gobierno Autónomo Municipal de Las Carreras",2012-12-31,5548645,15126974.53,7155748.34,7155748.34,6968368.82,0,187379.52
"26",1126,"Gobierno Autónomo Municipal de Villa Vaca Guzmán",2012-12-31,14862382,38426602.35,22470544.7,22470544.7,22143343.19,0,327201.51
"27",1127,"Gobierno Autónomo Municipal de Villa de Huacaya",2012-12-31,3239825,14430837.76,5652157.19,5652157.19,5617178.06,0,34979.13
"28",1128,"Gobierno Autónomo Municipal de Machareti",2012-12-31,11699724,24657939.89,16524162.19,16524162.19,16073357.48,0,450804.71
"29",1129,"Gobierno Autónomo Municipal de Villa Charcas",2012-12-31,19997200,35725670.1,22259921.94,22259921.94,21891127.29,0,368794.65
"30",1201,"Gobierno Autónomo Municipal de La Paz",2012-12-31,1628329441,2234498362,1575936728.97,1575936728.97,1420872906.44,0,155063822.53
"31",1202,"Gobierno Autónomo Municipal de Palca",2012-12-31,25749326,40147777.9,24763645.49,24763645.49,22135609.68,0,2628035.81
"32",1203,"Gobierno Autónomo Municipal de Mecapaca",2012-12-31,13291537,25106956,8357625.29,7445230.6,7065163.13,912394.69,380067.47
"33",1204,"Gobierno Autónomo Municipal de Achocalla",2012-12-31,26353372,40710922,31356824.93,31356824.93,27361633.17,0,3995191.76
"34",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",2012-12-31,1002731104,1448689044.44,930157876.92,930157876.92,853683288.97,0,76474587.95
"35",1206,"Gobierno Autónomo Municipal de Viacha",2012-12-31,72399572,128795641.27,77839861.36,74613783.18,72436292.75,3226078.18,2177490.43
"36",1207,"Gobierno Autónomo Municipal de Guaqui",2012-12-31,6717353,14376256.59,11417637.61,11417637.61,11356464.6,0,61173.01
"37",1208,"Gobierno Autónomo Municipal de Tiahuanacu",2012-12-31,21475353,31112540.59,18168123.82,18168123.82,17919949.92,0,248173.9
"38",1209,"Gobierno Autónomo Municipal de Desaguadero",2012-12-31,5704526,9516008.8,6754572.51,6505924.74,6445258.98,248647.77,60665.76
"39",1210,"Gobierno Autónomo Municipal de Caranavi",2012-12-31,77966103,117254371.61,61168022.35,61168022.35,59709821.53,0,1458200.82
"40",1211,"Gobierno Autónomo Municipal de Sica Sica (Villa Aroma)",2012-12-31,26660602,43996765.3,33918947.98,33918947.98,32511923.16,0,1407024.82
"41",1212,"Gobierno Autónomo Municipal de Umala",2012-12-31,10199708,17565945,9408397.49,9408397.49,9194398.88,0,213998.61
"42",1213,"Gobierno Autónomo Municipal de Ayo Ayo",2012-12-31,7273277,15780971,9758591.35,9758591.35,9736352.06,0,22239.29
"43",1214,"Gobierno Autónomo Municipal de Calamarca",2012-12-31,11240641,19901933.17,12278805.59,12278805.59,12022667.89,0,256137.7
"44",1215,"Gobierno Autónomo Municipal de Patacamaya",2012-12-31,19249257,33635586,28125647.3,27688068.96,24038190.28,437578.34,3649878.68
