"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Municipal de Sucre",2003-12-31,52680072,52680072,14394131.2,14394131.2,15044064.99,0,-649933.79
"2",1102,"Gobierno Municipal de Yotala",2003-01-31,2106652,2106652,0,0,0,0,0
"3",1103,"Gobierno Municipal de Poroma",2003-01-31,4789625,4789625,0,0,0,0,0
"4",1104,"Gobierno Municipal de Villa Azurduy",2003-01-31,3153415,3153415,0,0,0,0,0
"5",1105,"Gobierno Municipal de Tarvita (Villa Orías)",2003-01-31,6772592,6772592,0,0,0,0,0
"6",1106,"Gobierno Municipal de Zudañez (Tacopaya)",2003-01-31,2792465,2792465,0,0,0,0,0
"7",1107,"Gobierno Municipal de Presto",2003-01-31,3407178,3407178,0,0,0,0,0
"8",1108,"Gobierno Municipal de Villa Mojocoya",2003-01-31,2575289,2575289,0,0,0,0,0
"9",1109,"Gobierno Municipal de Icla",2003-01-31,4235434,4235434,0,0,0,0,0
"10",1110,"Gobierno Municipal de Padilla",2003-01-31,6759007,6759007,0,0,0,0,0
"11",1111,"Gobierno Municipal de Tomina",2003-01-31,2256265,2256265,0,0,0,0,0
"12",1112,"Gobierno Municipal de Sopachuy",2003-01-31,1903008,1903008,0,0,0,0,0
"13",1113,"Gobierno Municipal de Villa Alcalá",2003-01-31,1230568,1230568,0,0,0,0,0
"14",1114,"Gobierno Municipal de El Villar",2003-01-31,1658616,1658616,0,0,0,0,0
"15",1115,"Gobierno Municipal de Monteagudo",2003-01-31,8620488,8620488,0,0,0,0,0
"16",1116,"Gobierno Municipal de San Pablo de Huacareta",2003-01-31,4923373,4923373,0,0,0,0,0
"17",1117,"Gobierno Municipal de Tarabuco",2003-01-31,6252105,6252105,0,0,0,0,0
"18",1118,"Gobierno Municipal de Yamparáez",2003-01-31,3228730,3228730,0,0,0,0,0
"19",1119,"Gobierno Municipal de Camargo",2003-01-31,6907918,6907918,0,0,0,0,0
"20",1120,"Gobierno Municipal de San Lucas",2003-01-31,10077523,10077523,0,0,0,0,0
"21",1121,"Gobierno Municipal de Incahuasi",2003-01-31,7183635,7183635,0,0,0,0,0
"22",1122,"Gobierno Municipal de Villa Serrano",2003-01-31,2966255,2966255,0,0,0,0,0
"23",1123,"Gobierno Municipal de Camataqui (Villa Abecia)",2003-01-31,1459314,1459314,0,0,0,0,0
"24",1124,"Gobierno Municipal de Culpina",2003-01-31,4591352,4591352,0,0,0,0,0
"25",1125,"Gobierno Municipal de Las Carreras",2003-01-31,1295986,1295986,0,0,0,0,0
"26",1126,"Gobierno Municipal de Villa Vaca Guzmán",2003-01-31,2691679,2691679,0,0,0,0,0
"27",1127,"Gobierno Municipal de Villa de Huacaya",2003-01-31,1591466,1591466,0,0,0,0,0
