"","Ent.","Entidad","Fecha de Datos","Ppto. Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"230",1533,"Gobierno Autónomo Municipal de Arampampa",2019-12-31,8349820,14994986.98,13731029.75,13731029.75,13731029.75,0,0
"231",1534,"Gobierno Autónomo Municipal de Acasio",2019-12-31,7961737,10637261.48,9479171.14,9479171.14,9479112.64,0,58.5
"232",1535,"Gobierno Autónomo Municipal de Llica",2019-12-31,4979737,12282281.5,5261690.69,5261690.69,4563093.24,0,698597.45
"233",1536,"Gobierno Autónomo Municipal de Tahua",2019-12-31,4846097,11428807.53,5318003.84,5318003.84,5314011.84,0,3992
"234",1537,"Gobierno Autónomo Municipal de Villazón",2019-12-31,86458026,128809214.55,94124299.09,94124299.09,94124299.09,0,0
"235",1538,"Gobierno Autónomo Municipal de San Agustín",2019-12-31,5193174,12950017.92,8865138.67,8865138.67,8687013.53,0,178125.14
"236",1539,"Gobierno Autónomo Municipal de Ckochas",2019-12-31,22839811,34155232.82,20243028.2,20243028.2,20243028.2,0,0
"237",1540,"Gobierno Autónomo Municipal de Chuquihuta Ayllu Jucumani",2019-12-31,10853922,14536650.68,12041362.26,12041362.26,12041362.26,0,0
"238",1601,"Gobierno Autónomo Municipal de Tarija",2019-12-31,560781894,780424628.47,577190549.89,556386589.41,555108702.97,20803960.48,1277886.44
"239",1602,"Gobierno Autónomo Municipal de Padcaya",2019-12-31,46122244,79115097.47,56005191.24,56005191.24,56005191.24,0,0
"240",1603,"Gobierno Autónomo Municipal de Bermejo",2019-12-31,81102732,126547355.49,83873987.03,83864050.83,77517468.67,9936.2,6346582.16
"241",1604,"Gobierno Autónomo Municipal de Yacuiba",2019-12-31,268897562,335899370.75,274829108.29,274829108.29,273269108.29,0,1560000
"242",1605,"Gobierno Autónomo Municipal de Caraparí",2019-12-31,106737738,145681190.05,92557881.48,92557881.48,92557881.48,0,0
"243",1606,"Gobierno Autónomo Municipal de Villamontes",2019-12-31,177808219,219049469.6,168622861.39,168622861.39,168521780.12,0,101081.27
"244",1607,"Gobierno Autónomo Municipal de Uriondo (Concepción)",2019-12-31,39657560,58640210.52,29397449.34,29397449.34,29397449.34,0,0
"245",1608,"Gobierno Autónomo Municipal de Yunchara",2019-12-31,22193600,33691646.22,20298935.08,20298935.08,20298935.08,0,0
"246",1609,"Gobierno Autónomo Municipal de San Lorenzo",2019-12-31,57504077,96198425.51,61103425.19,61103425.19,60875962.55,0,227462.64
"247",1610,"Gobierno Autónomo Municipal de El Puente",2019-12-31,27183863,46470796.89,18347891.81,18347891.81,18347891.81,0,0
"248",1611,"Gobierno Autónomo Municipal de Entre Ríos",2019-12-31,47668275,82147984.13,47486823.58,47486823.58,47486708.58,0,115
"249",1701,"Gobierno Autónomo Municipal de Santa Cruz de La Sierra",2019-12-31,3687465676,4078698495.59,3422060262.23,3321232109.22,2970496124.3,100828153.01,350735984.92
"250",1702,"Gobierno Autónomo Municipal de Cotoca",2019-12-31,103393841,166566232.05,108564247.5,108564247.5,105875647.79,0,2688599.71
"251",1703,"Gobierno Autónomo Municipal de Porongo (Ayacucho)",2019-12-31,73319446,101339425.6,79576666.37,79576666.37,79576666.37,0,0
"252",1704,"Gobierno Autónomo Municipal de La Guardia",2019-12-31,203379199,296581254.97,224183903.77,224183903.77,211166766.62,0,13017137.15
"253",1705,"Gobierno Autónomo Municipal de El Torno",2019-12-31,68950650,89177414.89,74688900.34,74688900.34,74688900.34,0,0
"254",1706,"Gobierno Autónomo Municipal de Warnes",2019-12-31,254252348,388223110.73,255916206.72,255916206.72,255268450.38,0,647756.34
"255",1707,"Gobierno Autónomo Municipal de San Ignacio (San Ignacio de Velasco)",2019-12-31,63896769,117584679.79,95128297.69,95128297.69,95128297.69,0,0
"256",1708,"Gobierno Autónomo Municipal de San Miguel (San Miguel de Velasco)",2019-12-31,20928280,29709812.13,24260876.18,24260876.18,24183867.18,0,77009
"257",1709,"Gobierno Autónomo Municipal de San Rafael",2019-12-31,9253208,14223763.92,12255619.21,12255619.21,12255619.21,0,0
"258",1710,"Gobierno Autónomo Municipal de Buena Vista",2019-12-31,19757134,39435149.48,27192250.76,27192250.76,26704709.78,0,487540.98
"259",1711,"Gobierno Autónomo Municipal de San Carlos",2019-12-31,26523134,43765732.17,33184253.84,33184253.84,33184253.84,0,0
"260",1712,"Gobierno Autónomo Municipal de Yapacaní",2019-12-31,75404700,133547269.26,96578981.65,96578981.65,96094042.46,0,484939.19
"261",1713,"Gobierno Autónomo Municipal de San José",2019-12-31,43123168,52069591.02,42869101.95,42406481.59,41734043.55,462620.36,672438.04
"262",1714,"Gobierno Autónomo Municipal de Pailón",2019-12-31,51941493,87849583.56,71250548.92,71250548.92,70927942.32,0,322606.6
"263",1715,"Gobierno Autónomo Municipal de Roboré",2019-12-31,19311598,29584364.24,23834706.08,23834706.08,23834706.08,0,0
"264",1716,"Gobierno Autónomo Municipal de Portachuelo",2019-12-31,35294056,57391442.31,37013003.52,37013003.52,37013003.52,0,0
"265",1717,"Gobierno Autónomo Municipal de Santa Rosa del Sara",2019-12-31,24999969,34811626.6,27050301.18,27050301.18,26598323.65,0,451977.53
"266",1718,"Gobierno Autónomo Municipal de Lagunillas",2019-12-31,6715716,22591893.68,16212711.85,16212711.85,16212711.85,0,0
"267",1720,"Gobierno Autónomo Municipal de Cabezas",2019-12-31,31851440,50818532.83,32817069.04,32817069.04,32817069.04,0,0
"268",1721,"Gobierno Autónomo Municipal de Cuevo",2019-12-31,5291291,14732331.85,9689882.99,9689882.99,9689882.99,0,0
"269",1722,"Gobierno Autónomo Municipal de Gutiérrez",2019-12-31,12747539,18220216.33,15854204.42,15854204.42,15800026.42,0,54178
"270",1723,"Gobierno Autónomo Municipal de Camiri",2019-12-31,53305687,65897779.9,58578140.44,58578140.44,54196881.96,0,4381258.48
"271",1724,"Gobierno Autónomo Municipal de Boyuibe",2019-12-31,6470304,19545410.63,13777332.72,13777332.72,13763782.72,0,13550
"272",1725,"Gobierno Autónomo Municipal de Vallegrande",2019-12-31,30029351,43498495.01,33276488.15,33276488.15,33274471.8,0,2016.35
"273",1726,"Gobierno Autónomo Municipal de Trigal",2019-12-31,3863361,11068686.16,8322626.17,8322626.17,8322056.97,0,569.2
"274",1727,"Gobierno Autónomo Municipal de Moro Moro",2019-12-31,5236940,8308698.08,6346926.76,6346926.76,6272426.46,0,74500.3
"275",1728,"Gobierno Autónomo Municipal de Postrer Valle",2019-12-31,2599671,10162542.96,7196704.47,7196704.47,7145204.47,0,51500
"276",1729,"Gobierno Autónomo Municipal de Pucara",2019-12-31,5434914,9226005.5,5683349.54,5683349.54,5605895.39,0,77454.15
"277",1730,"Gobierno Autónomo Municipal de Samaipata",2019-12-31,16873461,35138797.09,24530421.17,24530421.17,24530421.17,0,0
"278",1731,"Gobierno Autónomo Municipal de Pampa Grande",2019-12-31,12048652,20478560.89,15153118.92,15153118.92,15153118.92,0,0
"279",1732,"Gobierno Autónomo Municipal de Mairana",2019-12-31,12978062,15724131.02,12518019.92,12518019.92,11781098.65,0,736921.27
"280",1733,"Gobierno Autónomo Municipal de Quirusillas",2019-12-31,4749997,9350410.14,4316687.3,4316687.3,4206931.3,0,109756
"281",1734,"Gobierno Autónomo Municipal de Montero",2019-12-31,261178384,364704944.97,289667569.4,289667569.4,282021351.97,0,7646217.43
"282",1735,"Gobierno Autónomo Municipal de General Agustín Saavedra",2019-12-31,17228257,38375408.21,32394571.2,32394571.2,31986986.96,0,407584.24
"283",1736,"Gobierno Autónomo Municipal de Mineros",2019-12-31,31456747,41059470.94,28653295.61,28653295.61,28653295.61,0,0
"284",1737,"Gobierno Autónomo Municipal de Concepción",2019-12-31,27177958,49047211.89,33493153.28,33493153.28,33492953.28,0,200
"285",1738,"Gobierno Autónomo Municipal de San Javier",2019-12-31,15898602,25567070.82,20796027.87,20796027.87,20796027.87,0,0
"286",1739,"Gobierno Autónomo Municipal de San Julián",2019-12-31,87166624,117034695.11,89702470.88,89702470.88,89702470.88,0,0
