"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Municipal de Sucre",2001-12-31,38887527,38887527,26509620.08,26509620.08,26859966.38,0,-350346.3
"2",1102,"Gobierno Municipal de Yotala",2001-01-31,3855903,3855903,0,0,0,0,0
"3",1103,"Gobierno Municipal de Poroma",2001-01-31,7457585,7457585,0,0,0,0,0
"4",1104,"Gobierno Municipal de Villa Azurduy",2001-01-31,2974568,2974568,0,0,0,0,0
"5",1105,"Gobierno Municipal de Tarvita (Villa Orías)",2001-01-31,5874691,5874691,0,0,0,0,0
"6",1106,"Gobierno Municipal de Zudañez (Tacopaya)",2001-01-31,3263560,3263560,0,0,0,0,0
"7",1107,"Gobierno Municipal de Presto",2001-01-31,2590149,2590149,0,0,0,0,0
"8",1108,"Gobierno Municipal de Villa Mojocoya",2001-01-31,3963202,3963202,0,0,0,0,0
"9",1109,"Gobierno Municipal de Icla",2001-01-31,3256409,3256409,0,0,0,0,0
"10",1110,"Gobierno Municipal de Padilla",2001-01-31,5343653,5343653,0,0,0,0,0
"11",1111,"Gobierno Municipal de Tomina",2001-01-31,2708421,2708421,0,0,0,0,0
"12",1112,"Gobierno Municipal de Sopachuy",2001-01-31,1828071,1828071,0,0,0,0,0
"13",1113,"Gobierno Municipal de Villa Alcalá",2001-01-31,2526544,2526544,0,0,0,0,0
"14",1114,"Gobierno Municipal de El Villar",2001-01-31,4492643,4492643,0,0,0,0,0
"15",1115,"Gobierno Municipal de Monteagudo",2001-01-31,11139127,11139127,0,0,0,0,0
"16",1116,"Gobierno Municipal de San Pablo de Huacareta",2001-01-31,4302559,4302559,0,0,0,0,0
"17",1117,"Gobierno Municipal de Tarabuco",2001-01-31,5593216,5593216,0,0,0,0,0
"18",1118,"Gobierno Municipal de Yamparáez",2001-01-31,3164218,3164218,0,0,0,0,0
"19",1119,"Gobierno Municipal de Camargo",2001-01-31,5307651,5307651,0,0,0,0,0
"20",1120,"Gobierno Municipal de San Lucas",2001-01-31,8978000,8978000,0,0,0,0,0
"21",1121,"Gobierno Municipal de Incahuasi",2001-01-31,8016334,8016334,0,0,0,0,0
"22",1122,"Gobierno Municipal de Villa Serrano",2001-01-31,3614868,3614868,0,0,0,0,0
"23",1123,"Gobierno Municipal de Camataqui (Villa Abecia)",2001-01-31,2133878,2133878,0,0,0,0,0
"24",1124,"Gobierno Municipal de Culpina",2001-01-31,5329584,5329584,0,0,0,0,0
"25",1125,"Gobierno Municipal de Las Carreras",2001-01-31,1924867,1924867,0,0,0,0,0
"26",1126,"Gobierno Municipal de Villa Vaca Guzmán",2001-01-31,2714523,2714523,0,0,0,0,0
"27",1127,"Gobierno Municipal de Villa de Huacaya",2001-01-31,2683554,2683554,0,0,0,0,0
"28",1128,"Gobierno Municipal de Machareti",2001-01-31,2856142,2856142,0,0,0,0,0
"29",1201,"Gobierno Municipal de La Paz",2001-01-31,165413906,165413906,0,0,0,0,0
"30",1202,"Gobierno Municipal de Palca",2001-01-31,4482982,4482982,0,0,0,0,0
"31",1203,"Gobierno Municipal de Mecapaca",2001-01-31,2815697,2815697,0,0,0,0,0
"32",1204,"Gobierno Municipal de Achocalla",2001-01-31,4438129,4438129,0,0,0,0,0
"33",1205,"Gobierno Municipal de El Alto de La Paz",2001-01-31,104803875,104803875,0,0,0,0,0
"34",1206,"Gobierno Municipal de Viacha",2001-01-31,16109299,16109299,0,0,0,0,0
"35",1207,"Gobierno Municipal de Guaqui",2001-01-31,1237726,1237726,0,0,0,0,0
"36",1208,"Gobierno Municipal de Tiahuanacu",2001-01-31,3521242,3521242,0,0,0,0,0
"37",1209,"Gobierno Municipal de Desaguadero",2001-01-31,923927,923927,0,0,0,0,0
"38",1210,"Gobierno Municipal de Caranavi",2001-01-31,10024300,10024300,0,0,0,0,0
"39",1211,"Gobierno Municipal de Sicasica (Villa Aroma)",2001-01-31,4331815,4331815,0,0,0,0,0
"40",1212,"Gobierno Municipal de Umala",2001-01-31,1515773,1515773,0,0,0,0,0
"41",1213,"Gobierno Municipal de Ayo Ayo",2001-01-31,2127067,2127067,0,0,0,0,0
"42",1214,"Gobierno Municipal de Calamarca",2001-01-31,3224987,3224987,0,0,0,0,0
"43",1215,"Gobierno Municipal de Patacamaya",2001-01-31,4773911,4773911,0,0,0,0,0
"44",1216,"Gobierno Municipal de Colquencha",2001-01-31,1959674,1959674,0,0,0,0,0
"45",1217,"Gobierno Municipal de Collana",2001-01-31,1344439,1344439,0,0,0,0,0
"46",1218,"Gobierno Municipal de Inquisivi",2001-01-31,3980894,3980894,0,0,0,0,0
"47",1219,"Gobierno Municipal de Quime",2001-01-31,2713295,2713295,0,0,0,0,0
"48",1220,"Gobierno Municipal de Cajuata",2001-01-31,2591056,2591056,0,0,0,0,0
"49",1221,"Gobierno Municipal de Colquiri",2001-01-31,4547452,4547452,0,0,0,0,0
"50",1222,"Gobierno Municipal de Ichoca",2001-01-31,2093701,2093701,0,0,0,0,0
"51",1223,"Gobierno Municipal de Licoma Pampa",2001-01-31,1401426,1401426,0,0,0,0,0
"52",1224,"Gobierno Municipal de Achacachi",2001-01-31,15471232,15471232,0,0,0,0,0
"53",1225,"Gobierno Municipal de Ancoraimes",2001-01-31,3587494,3587494,0,0,0,0,0
"54",1226,"Gobierno Municipal de Sorata",2001-01-31,5380466,5380466,0,0,0,0,0
