"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Municipalidad de Sucre",2010-12-31,361135585,440186603,229859914.7,229859914.7,226259823.68,0,3600091.02
"2",1102,"Municipalidad de Yotala",2010-12-31,9214131,22176828.83,13643681.8,13078267.65,12968524.2,565414.15,109743.45
"3",1103,"Municipalidad de Poroma",2010-12-31,14680009,22165642.06,18011556.16,19820020.22,18036486.89,-1808464.06,1783533.33
"4",1104,"Municipalidad de Villa Azurduy",2010-12-31,13652631,20113311.09,13270067.12,16839725.06,16562384.35,-3569657.94,277340.71
"5",1105,"Municipalidad de Tarvita (Villa Orías)",2010-12-31,15553548,25089745.99,18676146.58,19673276.18,19667157.98,-997129.6,6118.2
"6",1106,"Municipalidad de Villa Zudañez (Tacopaya)",2010-12-31,7870151,11815277.63,9769426.15,10477194.82,10258297.21,-707768.67,218897.61
"7",1107,"Municipalidad de Presto",2010-12-31,8487782,20982604.58,11884830.61,12368103.57,12177739.52,-483272.96,190364.05
"8",1108,"Municipalidad de Villa Mojocoya",2010-12-31,8609212,12868131.82,8195056.25,8919726.07,8799023.28,-724669.82,120702.79
"9",1109,"Municipalidad de Icla",2010-12-31,11191214,12419623.74,7237452.35,7297361.49,7115075.72,-59909.14,182285.77
"10",1110,"Municipalidad de Padilla",2010-12-31,11337600,25509274.86,19079744.12,20745623.83,20021401.34,-1665879.71,724222.49
"11",1111,"Municipalidad de Tomina",2010-12-31,9373511,13779120.8,9155142.77,9551939.28,9009820.77,-396796.51,542118.51
"12",1112,"Municipalidad de Sopachuy",2010-12-31,8049815,12771299.62,10365047.45,10381057.45,10071870.02,-16010,309187.43
"13",1113,"Municipalidad de Villa Alcalá",2010-12-31,3419380,7761930.64,4433849.44,5236013.46,5208551.65,-802164.02,27461.81
"14",1114,"Municipalidad de El Villar",2010-12-31,3993080,6490468.92,5299685.42,5557121.99,5460989.59,-257436.57,96132.4
"15",1115,"Municipalidad de Monteagudo",2010-12-31,26066297,33086057.04,24260346.74,25895779.55,25355937.68,-1635432.81,539841.87
"16",1116,"Municipalidad de San Pablo de Huacareta",2010-12-31,9461873,16746656.23,9916732.74,10958736.94,10831493.96,-1042004.2,127242.98
"17",1117,"Municipalidad de Tarabuco",2010-12-31,18025136,24677785.6,18714919.21,20392869.66,20392869.66,-1677950.45,0
