"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Municipalidad de Sucre",2008-12-31,326939025,343173004,198336227.29,198297427.29,196435512.23,38800,1861915.06
"2",1102,"Municipalidad de Yotala",2008-01-31,7827384,7827384,0,0,0,0,0
"3",1103,"Municipalidad de Poroma",2008-01-31,13802911,13802911,0,0,0,0,0
"4",1104,"Municipalidad de Villa Azurduy",2008-01-31,10525947,10525947,0,0,0,0,0
"5",1105,"Municipalidad de Tarvita (Villa Orías)",2008-01-31,12997923,12997923,0,0,0,0,0
"6",1106,"Municipalidad de Villa Zudañez (Tacopaya)",2008-01-31,6685185,6685185,0,0,0,0,0
"7",1107,"Municipalidad de Presto",2008-01-31,9280627,9280627,0,0,0,0,0
"8",1108,"Municipalidad de Villa Mojocoya",2008-01-31,8553538,8553538,0,0,0,0,0
"9",1109,"Municipalidad de Icla",2008-01-31,7811282,7811282,0,0,0,0,0
"10",1110,"Municipalidad de Padilla",2008-01-31,12172406,12172406,0,0,0,0,0
"11",1111,"Municipalidad de Tomina",2008-01-31,9081373,9081373,0,0,0,0,0
"12",1112,"Municipalidad de Sopachuy",2008-01-31,6532655,6532655,0,0,0,0,0
"13",1113,"Municipalidad de Villa Alcalá",2008-01-31,3354134,3354134,0,0,0,0,0
"14",1114,"Municipalidad de El Villar",2008-01-31,4528898,4528898,0,0,0,0,0
"15",1115,"Municipalidad de Monteagudo",2008-01-31,22294262,22294262,0,0,0,0,0
"16",1116,"Municipalidad de San Pablo de Huacareta",2008-01-31,8409161,8409161,0,0,0,0,0
"17",1117,"Municipalidad de Tarabuco",2008-01-31,16815116,16815116,0,0,0,0,0
"18",1118,"Municipalidad de Yamparáez",2008-01-31,8542563,8542563,0,0,0,0,0
"19",1119,"Municipalidad de Camargo",2008-01-31,11593226,11593226,0,0,0,0,0
"20",1120,"Municipalidad de San Lucas",2008-01-31,28380546,28380546,0,0,0,0,0
"21",1121,"Municipalidad de Incahuasi",2008-01-31,22712831,22712831,0,0,0,0,0
"22",1122,"Municipalidad de Villa Serrano",2008-01-31,13381359,13381359,0,0,0,0,0
"23",1123,"Municipalidad de Camataqui (Villa Abecia)",2008-01-31,3909099,3909099,0,0,0,0,0
"24",1124,"Municipalidad de Culpina",2008-01-31,16214950,16214950,0,0,0,0,0
