"","Ent,","Entidad","Fecha de Datos","Ppto, Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Autónomo Municipal de Sucre",2018-12-31,833754628,998645776.9,770968571.66,770968571.66,746673288.68,0,24295282.98
"2",1102,"Gobierno Autónomo Municipal de Yotala",2018-12-31,14046826,24444826.95,17200139.29,17200139.29,17200139.29,0,0
"3",1103,"Gobierno Autónomo Municipal de Poroma",2018-12-31,23089999,41266807.04,31303101.64,31303101.64,31271471.74,0,31629.9
"4",1104,"Gobierno Autónomo Municipal de Villa Azurduy",2018-12-31,14472212,30412367.02,22558818.6,22558818.6,22558818.6,0,0
"5",1105,"Gobierno Autónomo Municipal de Tarvita (Villa Orías)",2018-12-31,17950970,31842459.6,29417935.81,29417935.81,29417935.81,0,0
"6",1106,"Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya)",2018-12-31,15508999,28107324.32,21862896.93,21862896.93,21862896.93,0,0
"7",1107,"Gobierno Autónomo Municipal de Presto",2018-12-31,17052737,32538377.87,23255206.59,23255206.59,23255206.59,0,0
"8",1108,"Gobierno Autónomo Municipal de Villa Mojocoya",2018-12-31,11389153,25186080.09,21200937.34,21200937.34,19610882.25,0,1590055.09
"9",1109,"Gobierno Autónomo Municipal de Icla",2018-12-31,12419181,22760657.1,18338827.65,18338827.65,18322326.55,0,16501.1
"10",1110,"Gobierno Autónomo Municipal de Padilla",2018-12-31,15296628,28844983.91,22472185.95,22472185.95,22472185.95,0,0
"11",1111,"Gobierno Autónomo Municipal de Tomina",2018-12-31,16912214,28630721.11,24240319.68,24240319.68,24240319.68,0,0
"12",1112,"Gobierno Autónomo Municipal de Sopachuy",2018-12-31,10474292,21372825.26,15148621.43,15148621.43,15148621.43,0,0
"13",1113,"Gobierno Autónomo Municipal de Villa Alcalá",2018-12-31,7311503,22597445.92,13544821.05,13544821.05,13544821.05,0,0
"14",1114,"Gobierno Autónomo Municipal de El Villar",2018-12-31,6985581,19792481.41,15525457.36,15525457.36,15525457.36,0,0
"15",1115,"Gobierno Autónomo Municipal de Monteagudo",2018-12-31,33248500,71916062.04,58387238.18,58387238.18,58387238.18,0,0
"16",1116,"Gobierno Autónomo Municipal de San Pablo de Huacareta",2018-12-31,13023939,32912616.17,28085790.66,28085790.66,28084755.66,0,1035
"17",1117,"Gobierno Autónomo Municipal de Tarabuco",2018-12-31,30139155,51098085.38,41558642.45,41558642.45,41558642.45,0,0
"18",1118,"Gobierno Autónomo Municipal de Yamparáez",2018-12-31,14223731,28751980.61,24271163.46,24271163.46,24271163.46,0,0
"19",1119,"Gobierno Autónomo Municipal de Camargo",2018-12-31,25132282,41720092.33,32026538.48,32026538.48,32026510.48,0,28
"20",1120,"Gobierno Autónomo Municipal de San Lucas",2018-12-31,40480252,66118609.23,51790913.93,51790913.93,51788078.93,0,2835
"21",1121,"Gobierno Autónomo Municipal de Incahuasi",2018-12-31,21459643,38686500.03,28638839.78,28638839.78,28638839.78,0,0
"22",1122,"Gobierno Autónomo Municipal de Villa Serrano",2018-12-31,15635985,33218483.75,25158166.16,25158166.16,25122833.01,0,35333.15
"23",1123,"Gobierno Autónomo Municipal de Camataqui (Villa Abecia)",2018-12-31,5221818,12931549.36,10594496.91,10594496.91,10594496.91,0,0
"24",1124,"Gobierno Autónomo Municipal de Culpina",2018-12-31,37877696,63084210.48,44753576.86,44753576.86,44753576.86,0,0
"25",1125,"Gobierno Autónomo Municipal de Las Carreras",2018-12-31,7113525,18067971.93,11029034.44,11029034.44,11029034.44,0,0
"26",1126,"Gobierno Autónomo Municipal de Villa Vaca Guzmán",2018-12-31,12032794,27669658.37,21872985.11,21872985.11,21222578.16,0,650406.95
"27",1127,"Gobierno Autónomo Municipal de Villa de Huacaya",2018-12-31,5022025,16900587.98,7236958.65,7236958.65,7230798.65,0,6160
"28",1128,"Gobierno Autónomo Municipal de Machareti",2018-12-31,9544961,24833845.04,14015749.98,14015749.98,13790146.44,0,225603.54
"29",1129,"Gobierno Autónomo Municipal de Villa Charcas",2018-12-31,24057733,41530691.83,31665123.4,31665123.4,31665123.4,0,0
"30",1201,"Gobierno Autónomo Municipal de La Paz",2018-12-31,2239055176,2500923438.68,2134863794.9,2134863794.9,1995717948.97,0,139145845.93
"31",1202,"Gobierno Autónomo Municipal de Palca",2018-12-31,25781090,37832665.2,28846894.99,28846894.99,27457900.8,0,1388994.19
"32",1203,"Gobierno Autónomo Municipal de Mecapaca",2018-12-31,24997180,34327550.05,31671309.44,31671309.44,30890072.55,0,781236.89
"33",1204,"Gobierno Autónomo Municipal de Achocalla",2018-12-31,44565980,57966476.33,40517870.71,40517870.71,40507191.25,0,10679.46
"34",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",2018-12-31,1552753310,1725008304.92,1436344407.4,1436344407.4,1320534701.18,0,115809706.22
"35",1206,"Gobierno Autónomo Municipal de Viacha",2018-12-31,133142531,186190810.6,147854290.75,147846219.85,146165738.81,8070.9,1680481.04
"36",1207,"Gobierno Autónomo Municipal de Guaqui",2018-12-31,10357188,26800909.18,12861260.58,12861260.58,12861260.58,0,0
"37",1208,"Gobierno Autónomo Municipal de Tiahuanacu",2018-12-31,13682023,28358896.39,19340348.58,19340348.58,19340348.58,0,0
"38",1209,"Gobierno Autónomo Municipal de Desaguadero",2018-12-31,8887606,26420066.52,22710496.82,22710496.82,22710496.82,0,0
"39",1210,"Gobierno Autónomo Municipal de Caranavi",2018-12-31,82384573,98595573.54,63915677.71,63915677.71,63909740.61,0,5937.1
"40",1211,"Gobierno Autónomo Municipal de Sica Sica (Villa Aroma)",2018-12-31,35342164,43620214.56,37013947.73,37013947.73,30716301.66,0,6297646.07
"41",1212,"Gobierno Autónomo Municipal de Umala",2018-12-31,11703342,18141472.84,12852475.05,12852475.05,12838675.05,0,13800
"42",1213,"Gobierno Autónomo Municipal de Ayo Ayo",2018-12-31,8935162,25712070.53,11473245.07,11473245.07,11360039.39,0,113205.68
"43",1214,"Gobierno Autónomo Municipal de Calamarca",2018-12-31,15598052,28853326.21,25683252.45,25683252.45,25683252.45,0,0
"44",1215,"Gobierno Autónomo Municipal de Patacamaya",2018-12-31,24193911,39813572.1,25601152.59,25601152.59,24859413.79,0,741738.8
"45",1216,"Gobierno Autónomo Municipal de Colquencha",2018-12-31,17575983,22885272.02,13978992.29,13978992.29,13727467.38,0,251524.91
"46",1217,"Gobierno Autónomo Municipal de Collana",2018-12-31,6679943,15811660.51,8081269.27,8081269.27,8081049.27,0,220
"47",1218,"Gobierno Autónomo Municipal de Inquisivi",2018-12-31,16046142,24384167.18,18676506.83,18676506.83,18676506.83,0,0
"48",1219,"Gobierno Autónomo Municipal de Quime",2018-12-31,11534818,18285124.43,11635301.57,11635301.57,11629081.57,0,6220
"49",1220,"Gobierno Autónomo Municipal de Cajuata",2018-12-31,11612789,25899720.95,21270515.4,21270515.4,21270515.4,0,0
"50",1221,"Gobierno Autónomo Municipal de Colquiri",2018-12-31,26204992,66545332.57,47942925.67,47942925.67,45557492.89,0,2385432.78
"51",1222,"Gobierno Autónomo Municipal de Ichoca",2018-12-31,8931083,12022029.13,5453930.17,5453930.17,4815764.82,0,638165.35
"52",1223,"Gobierno Autónomo Municipal de Villa Libertad Licoma",2018-12-31,11651898,27591756.73,16671667.9,16619161.58,16481263.93,52506.32,137897.65
