"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Autónomo Municipal de Sucre",2014-12-31,739040764,1019484525.62,738972130.22,738972130.22,738777960.64,0,194169.58
"2",1102,"Gobierno Autónomo Municipal de Yotala",2014-12-31,15201946,37430783.44,25452876.07,25452876.07,25332688.27,0,120187.8
"3",1103,"Gobierno Autónomo Municipal de Poroma",2014-12-31,29341499,52441151.73,44718107.36,44718107.36,44177076.63,0,541030.73
"4",1104,"Gobierno Autónomo Municipal de Villa Azurduy",2014-12-31,17177338,44780777.65,31413036.1,31413036.1,31031018.81,0,382017.29
"5",1105,"Gobierno Autónomo Municipal de Tarvita (Villa Orías)",2014-12-31,20173198,36539481.15,33890540.21,33890540.21,33752384.81,0,138155.4
"6",1106,"Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya)",2014-12-31,19115614,33025820.56,27267889.69,27267889.69,27267889.69,0,0
"7",1107,"Gobierno Autónomo Municipal de Presto",2014-12-31,21167551,37641475.11,27270932.39,27176197.95,27113372.91,94734.44,62825.04
"8",1108,"Gobierno Autónomo Municipal de Villa Mojocoya",2014-12-31,14791338,29826375.29,23961549.34,23961549.34,23913621.81,0,47927.53
"9",1109,"Gobierno Autónomo Municipal de Icla",2014-12-31,14989417,29441526.62,27958689.11,27958689.11,26585593.67,0,1373095.44
"10",1110,"Gobierno Autónomo Municipal de Padilla",2014-12-31,23453575,52009916.76,48442680.26,48442680.26,48322494.23,0,120186.03
"11",1111,"Gobierno Autónomo Municipal de Tomina",2014-12-31,14232306,31880732.46,29194094.48,29194094.48,28823439.5,0,370654.98
"12",1112,"Gobierno Autónomo Municipal de Sopachuy",2014-12-31,11320846,32950485.93,26405433.04,26405433.04,26128999.84,0,276433.2
"13",1113,"Gobierno Autónomo Municipal de Villa Alcalá",2014-12-31,7884368,30333928.46,22128580.95,22105815.56,22065886.46,22765.39,39929.1
"14",1114,"Gobierno Autónomo Municipal de El Villar",2014-12-31,7192492,22008586.07,18350734.88,18350734.88,18148375.54,0,202359.34
