"","folio","depto","area","s07a_01","s07a_01e","s07a_02","s07a_03","s07a_04","s07a_05","s07a_06","s07a_07_1","s07a_07_2","s07a_07_3","s07a_07_4","upm","estrato","factor"
"1","111-00415128304-A-0021","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","111-00415128304-A",11,94.5347349144176
"2","111-00415128304-A-0031","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-00415128304-A",11,94.5347349144176
"3","111-00415128304-A-0051","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","2. No",NA,"2. No","1. Si","2. No","2. No","111-00415128304-A",11,94.5347349144176
"4","111-00415128304-A-0071","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","2. No",NA,"2. No","1. Si","2. No","2. No","111-00415128304-A",11,94.5347349144176
"5","111-00415128304-A-0081","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","1. Si","1. Si","111-00415128304-A",11,94.5347349144176
"6","111-00415128304-A-0101","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","111-00415128304-A",11,94.5347349144176
"7","111-00415128304-A-0121","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-00415128304-A",11,94.5347349144176
"8","111-00415128304-A-0131","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","1. Si","2. No","1. Si","111-00415128304-A",11,94.5347349144176
"9","111-00415128304-A-0151","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","2. No","1. Si","1. Si","111-00415128304-A",11,94.5347349144176
"10","111-00415128304-A-0171","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","2. No","1. Si","111-00415128304-A",11,94.5347349144176
"11","111-00415128304-A-0181","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","1. Solo fija (la conexion solo puede realizarse en el interior o cerca de la vivienda, incluye la conexion WIFI","2. No","2. No","1. Si","1. Si","111-00415128304-A",11,94.5347349144176
"12","111-00415128304-A-0201","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","1. Si","1. Si","1. Si","111-00415128304-A",11,94.5347349144176
"13","111-00419484924-A-0011","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","1. Si","2. No","1. Si","111-00419484924-A",11,60.0220539139159
"14","111-00419484924-A-0031","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","111-00419484924-A",11,60.0220539139159
"15","111-00419484924-A-0051","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-00419484924-A",11,60.0220539139159
"16","111-00419484924-A-0081","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","1. Si","1. Si","111-00419484924-A",11,60.0220539139159
"17","111-00419484924-A-0101","Chuquisaca","1. Urbana","13. Otro? (Especifique)","EL AGUA QUE EL INFORMANTE TIENE EN SU CASA LO ADQUIERE  DE LA EMPRESA DE AGUAS PURIFICADAS  DE SU PRIMO LA CUAL LO COMPRA POR TU","5. Ninguno (Arbusto/Campo)",NA,"1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","1. Si","111-00419484924-A",11,60.0220539139159
"18","111-00419484924-A-0121","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-00419484924-A",11,60.0220539139159
"19","111-00419484924-A-0141","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","1. Solo fija (la conexion solo puede realizarse en el interior o cerca de la vivienda, incluye la conexion WIFI","1. Si","1. Si","1. Si","1. Si","111-00419484924-A",11,60.0220539139159
"20","111-00419484924-A-0171","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","111-00419484924-A",11,60.0220539139159
"21","111-00419484924-A-0191","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","111-00419484924-A",11,60.0220539139159
"22","111-00419484924-A-0211","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","2. No","2. No","1. Si","111-00419484924-A",11,60.0220539139159
"23","111-00419484924-A-0231","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","1. Si","2. No","111-00419484924-A",11,60.0220539139159
"24","111-00419484924-A-0261","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","1. Si","111-00419484924-A",11,60.0220539139159
"25","111-04187549163-A-0021","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","111-04187549163-A",11,46.2498703103804
"26","111-04187549163-A-0081","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","111-04187549163-A",11,46.2498703103804
"27","111-04187549163-A-0141","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-04187549163-A",11,46.2498703103804
"28","111-04187549163-A-0201","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","1. Si","1. Si","2. No","111-04187549163-A",11,46.2498703103804
"29","111-04187549163-A-0261","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-04187549163-A",11,46.2498703103804
"30","111-04187549163-A-0321","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","111-04187549163-A",11,46.2498703103804
"31","111-04187549163-A-0381","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-04187549163-A",11,46.2498703103804
"32","111-04187549163-A-0441","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-04187549163-A",11,46.2498703103804
"33","111-04187549163-A-0501","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","2. No",NA,"2. No","1. Si","1. Si","2. No","111-04187549163-A",11,46.2498703103804
"34","111-04187549163-A-0561","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","1. Si","111-04187549163-A",11,46.2498703103804
"35","111-04187549163-A-0621","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-04187549163-A",11,46.2498703103804
"36","111-04187549163-A-0691","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","111-04187549163-A",11,46.2498703103804
"37","111-04194261367-A-0011","Chuquisaca","1. Urbana","3. Pileta pública","","2. Letrina de pozo ciego con piso",NA,"1. Si","2. No",NA,"2. No","1. Si","1. Si","2. No","111-04194261367-A",11,119.161430564392
"38","111-04194261367-A-0031","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","2. No",NA,"2. No","1. Si","1. Si","2. No","111-04194261367-A",11,119.161430564392
"39","111-04194261367-A-0041","Chuquisaca","1. Urbana","2. Cañería de red fuera de la vivienda, pero dentro del lote o terreno","","2. Letrina de pozo ciego con piso",NA,"1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-04194261367-A",11,119.161430564392
"40","111-04194261367-A-0071","Chuquisaca","1. Urbana","2. Cañería de red fuera de la vivienda, pero dentro del lote o terreno","","5. Ninguno (Arbusto/Campo)",NA,"1. Si","2. No",NA,"2. No","1. Si","2. No","1. Si","111-04194261367-A",11,119.161430564392
"41","111-04194261367-A-0081","Chuquisaca","1. Urbana","2. Cañería de red fuera de la vivienda, pero dentro del lote o terreno","","5. Ninguno (Arbusto/Campo)",NA,"1. Si","2. No",NA,"2. No","1. Si","1. Si","2. No","111-04194261367-A",11,119.161430564392
"42","111-04194261367-A-0091","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","5. Ninguno (Arbusto/Campo)",NA,"1. Si","2. No",NA,"2. No","1. Si","2. No","2. No","111-04194261367-A",11,119.161430564392
"43","111-04194261367-A-0111","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","5. Ninguno (Arbusto/Campo)",NA,"1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","1. Si","111-04194261367-A",11,119.161430564392
"44","111-04194261367-A-0121","Chuquisaca","1. Urbana","2. Cañería de red fuera de la vivienda, pero dentro del lote o terreno","","5. Ninguno (Arbusto/Campo)",NA,"1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-04194261367-A",11,119.161430564392
"45","111-04194261367-A-0131","Chuquisaca","1. Urbana","2. Cañería de red fuera de la vivienda, pero dentro del lote o terreno","","3. Pozo abierto (pozo ciego sin piso)",NA,"1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-04194261367-A",11,119.161430564392
"46","111-04194261367-A-0151","Chuquisaca","1. Urbana","2. Cañería de red fuera de la vivienda, pero dentro del lote o terreno","","2. Letrina de pozo ciego con piso",NA,"1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-04194261367-A",11,119.161430564392
"47","111-04194261367-A-0161","Chuquisaca","1. Urbana","3. Pileta pública","","5. Ninguno (Arbusto/Campo)",NA,"2. No","2. No",NA,"2. No","2. No","2. No","2. No","111-04194261367-A",11,119.161430564392
"48","111-04194261367-A-0171","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-04194261367-A",11,119.161430564392
"49","112-00417890752-A-0021","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","2. No","1. Si","1. Si","2. No","112-00417890752-A",12,104.907549741142
"50","112-00417890752-A-0031","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","2. No","1. Si","1. Si","2. No","112-00417890752-A",12,104.907549741142
"51","112-00417890752-A-0051","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","1. Si","1. Si","112-00417890752-A",12,104.907549741142
"52","112-00417890752-A-0061","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","112-00417890752-A",12,104.907549741142
"53","112-00417890752-A-0081","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","1. Solo fija (la conexion solo puede realizarse en el interior o cerca de la vivienda, incluye la conexion WIFI","1. Si","1. Si","2. No","1. Si","112-00417890752-A",12,104.907549741142
"54","112-00417890752-A-0091","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","1. Solo fija (la conexion solo puede realizarse en el interior o cerca de la vivienda, incluye la conexion WIFI","1. Si","1. Si","2. No","1. Si","112-00417890752-A",12,104.907549741142
"55","112-00417890752-A-0111","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","1. Solo fija (la conexion solo puede realizarse en el interior o cerca de la vivienda, incluye la conexion WIFI","1. Si","1. Si","2. No","1. Si","112-00417890752-A",12,104.907549741142
"56","112-00417890752-A-0121","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","112-00417890752-A",12,104.907549741142
"57","112-00417890752-A-0141","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","112-00417890752-A",12,104.907549741142
"58","112-00417890752-A-0151","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","1. Si","1. Si","112-00417890752-A",12,104.907549741142
"59","112-00417890752-A-0171","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","112-00417890752-A",12,104.907549741142
"60","112-00417890752-A-0181","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","2. No","1. Si","112-00417890752-A",12,104.907549741142
"61","112-00418650010-A-0011","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","112-00418650010-A",12,122.015550160466
"62","112-00418650010-A-0031","Chuquisaca","1. Urbana","2. Cañería de red fuera de la vivienda, pero dentro del lote o terreno","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","2. No","1. Si","1. Si","2. No","112-00418650010-A",12,122.015550160466
"63","112-00418650010-A-0051","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","1. Si","1. Si","2. No","112-00418650010-A",12,122.015550160466
"64","112-00418650010-A-0071","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","2. No",NA,"1. Si","1. Si","1. Si","2. No","112-00418650010-A",12,122.015550160466
"65","112-00418650010-A-0101","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","112-00418650010-A",12,122.015550160466
"66","112-00418650010-A-0121","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","112-00418650010-A",12,122.015550160466
"67","112-00418650010-A-0141","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","112-00418650010-A",12,122.015550160466
"68","112-00418650010-A-0161","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","1. Si","112-00418650010-A",12,122.015550160466
"69","112-00418650010-A-0181","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","1. Si","1. Si","112-00418650010-A",12,122.015550160466
"70","112-00418650010-A-0201","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","2. No","1. Si","112-00418650010-A",12,122.015550160466
"71","112-00418650010-A-0221","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","112-00418650010-A",12,122.015550160466
"72","112-00418650010-A-0241","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","2. No","1. Si","112-00418650010-A",12,122.015550160466
"73","112-00419037343-A-0021","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","2. No","1. Si","112-00419037343-A",12,118.357235605391
"74","112-00419037343-A-0111","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","2. No",NA,"2. No","1. Si","1. Si","2. No","112-00419037343-A",12,118.357235605391
"75","112-00419037343-A-0151","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","1. Si","1. Si","112-00419037343-A",12,118.357235605391
"76","112-00419037343-A-0191","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","2. No","2. No","2. No","2. No","112-00419037343-A",12,118.357235605391
"77","112-00419037343-A-0241","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","112-00419037343-A",12,118.357235605391
"78","112-00419037343-A-0281","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","112-00419037343-A",12,118.357235605391
"79","112-00419037343-A-0331","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","2. No","2. No","112-00419037343-A",12,118.357235605391
"80","112-00419037343-A-0371","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","1. Si","1. Si","112-00419037343-A",12,118.357235605391
"81","112-00419037343-A-0411","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","2. No","2. No","1. Si","2. No","112-00419037343-A",12,118.357235605391
"82","112-00419037343-A-0461","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","2. No","1. Si","2. No","1. Si","112-00419037343-A",12,118.357235605391
"83","112-00419037343-A-0501","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","112-00419037343-A",12,118.357235605391
"84","112-00419037343-A-0541","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","2. No","1. Si","112-00419037343-A",12,118.357235605391
"85","112-04153030238-A-0021","Chuquisaca","1. Urbana","10. Río/Acequia/Vertiente no protegida","","1. Baño o letrina con descarga de agua","4. A la superficie (calle/quebrada/río)","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","112-04153030238-A",12,103.609608028368
"86","112-04153030238-A-0041","Chuquisaca","1. Urbana","7. Pozo excavado cubierto, sin bomba","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","112-04153030238-A",12,103.609608028368
"87","112-04153030238-A-0061","Chuquisaca","1. Urbana","7. Pozo excavado cubierto, sin bomba","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","112-04153030238-A",12,103.609608028368
